UDAQ_mixing_height_m_15min_avg,UDAQ_mixing_height_m_15min_avg_smoothed,Time_start_15min_local
100,0,3803824800
100,0,3803825700
100,0,3803826600
100,0,3803827500
100,0,3803828400
100,0,3803829300
100,0,3803830200
100,0,3803831100
100,0,3803832000
100,0,3803832900
100,0,3803833800
100,0,3803834700
101.16666,0,3803835600
103.66666,0,3803836500
106.16666,0,3803837400
108.66666,0,3803838300
173,0,3803839200
308,0,3803840100
443,0,3803841000
578,0,3803841900
630.16669,0,3803842800
587.66669,0,3803843700
545.16669,0,3803844600
502.66666,0,3803845500
466,385.87088,3803846400
436,385.87088,3803847300
406,385.87088,3803848200
376,385.7399,3803849100
333.16666,385.22125,3803850000
275.66666,384.70428,3803850900
218.16667,384.18735,3803851800
160.66667,383.67041,3803852700
141.66667,383.15344,3803853600
166.66667,382.63651,3803854500
191.66667,382.11954,3803855400
216.66667,381.6026,3803856300
239.33333,380.95642,3803857200
259.33334,380.31024,3803858100
279.33334,379.79327,3803859000
299.33334,379.27634,3803859900
319.33334,378.7594,3803860800
339.33334,378.24243,3803861700
359.33334,377.72549,3803862600
379.33334,377.20853,3803863500
399.33334,376.69159,3803864400
419.33334,376.17465,3803865300
439.33334,375.65768,3803866200
459.33334,375.50818,3803867100
470,376.13446,3803868000
470,378.43777,3803868900
470,382.54898,3803869800
470,389.45438,3803870700
517.83331,399.90887,3803871600
620.33331,414.6221,3803872500
722.83331,434.22006,3803873400
825.33331,459.211,3803874300
832.16669,489.95712,3803875200
729.66669,526.65344,3803876100
627.16669,569.31403,3803877000
524.66669,617.76636,3803877900
470,686.16388,3803878800
470,761.46906,3803879700
470,826.28015,3803880600
470,894.02777,3803881500
552.83331,963.73926,3803882400
730.33331,1034.3833,3803883300
907.83331,1104.9049,3803884200
1085.3334,1174.2603,3803885100
1196.3334,1241.4512,3803886000
1231.3334,1305.5566,3803886900
1266.3334,1365.7612,3803887800
1301.3334,1421.3788,3803888700
1373.6666,1483.3538,3803889600
1488.6666,1537.2146,3803890500
1603.6666,1573.5977,3803891400
1718.6666,1604.2502,3803892300
1762.5,1629.3555,3803893200
1725,1649.2306,3803894100
1687.5,1664.3054,3803895000
1650,1675.0958,3803895900
1646.3334,1682.1736,3803896800
1681.3334,1686.1342,3803897700
1716.3334,1687.5645,3803898600
1751.3334,1687.0092,3803899500
1745.5,1684.1796,3803900400
1693,1679.7885,3803901300
1640.5,1675.3037,3803902200
1588,1670.0485,3803903100
1535.5,1663.9139,3803904000
1483,1656.6437,3803904900
1430.5,1647.8446,3803905800
1378,1637.0048,3803906700
1337.75,1623.5211,3803907600
1311.5,1606.7327,3803908500
1285.25,1585.9606,3803909400
1259,1560.5532,3803910300
1232.75,1521.1046,3803911200
1206.5,1473.2694,3803912100
1180.25,1427.9885,3803913000
1154,1376.7053,3803913900
1079.3334,1319.6998,3803914800
949.33331,1257.5168,3803915700
819.33331,1190.9652,3803916600
689.33331,1121.1014,3803917500
559.33331,1049.194,3803918400
429.33334,976.66888,3803919300
299.33334,905.03741,3803920200
169.33333,835.8075,3803921100
135,755.04333,3803922000
210,681.91449,3803922900
285,630.52759,3803923800
360,585.58765,3803924700
429.16666,546.90112,3803925600
491.66666,513.85059,3803926500
554.16669,485.52209,3803927400
616.66669,460.95959,3803928300
619.66669,439.58542,3803929200
554.66669,421.83575,3803930100
489.66666,408.66754,3803931000
424.66666,395.64087,3803931900
376,355.51987,3803932800
346,355.51987,3803933700
316,355.51987,3803934600
286,355.39923,3803935500
271.16666,354.92136,3803936400
273.66666,354.44507,3803937300
276.16666,353.96878,3803938200
278.66666,353.49249,3803939100
274.16666,353.0162,3803940000
261.66666,352.53992,3803940900
249.16667,352.06363,3803941800
236.66667,351.58734,3803942700
235.83333,350.99197,3803943600
248.33333,350.39661,3803944500
260.83334,349.92032,3803945400
273.33334,349.44403,3803946300
277.66666,348.96774,3803947200
272.66666,348.49146,3803948100
267.66666,348.01517,3803949000
262.66666,347.53888,3803949900
260,347.06259,3803950800
260,346.5863,3803951700
260,346.11002,3803952600
260,345.97229,3803953500
314.83334,346.54929,3803954400
432.33334,348.67145,3803955300
549.83331,352.45926,3803956200
667.33331,358.82153,3803957100
654.16669,368.4537,3803958000
491.66666,382.00964,3803958900
329.16666,400.06613,3803959800
166.66667,423.09137,3803960700
266.66666,451.41913,3803961600
666.66669,485.22906,3803962500
1066.6666,524.53418,3803963400
1466.6666,569.17548,3803964300
1619.3334,632.19312,3803965200
1489.3334,701.57507,3803966100
1359.3334,761.28839,3803967000
1229.3334,823.70728,3803967900
