Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:30  	876.8 	27.8  	26    	4.3      	112   	-3.9       	1.6        	1288      	6.5
2         	17:00:32  	874.9 	27.9  	23    	3.2      	355   	0.3        	-3.2       	1307      	5.0
4         	17:00:34  	873.1 	27.7  	22    	3.2      	355   	0.3        	-3.2       	1326      	4.4
6         	17:00:36  	871.2 	27.6  	23    	3.2      	355   	0.3        	-3.2       	1344      	4.8
8         	17:00:38  	869.8 	27.5  	24    	2.2      	027   	-1.0       	-2.0       	1363      	5.1
10        	17:00:40  	868.5 	27.5  	24    	2.2      	027   	-1.0       	-2.0       	1379      	5.2
12        	17:00:42  	867.1 	27.4  	25    	2.2      	027   	-1.0       	-2.0       	1386      	5.5
14        	17:00:44  	866.4 	27.4  	25    	2.2      	027   	-1.0       	-2.0       	1393      	5.6
16        	17:00:46  	865.8 	27.2  	25    	2.2      	027   	-1.0       	-2.0       	1400      	5.7
18        	17:00:48  	865.1 	27.2  	26    	2.1      	028   	-1.0       	-1.9       	1406      	5.7
20        	17:00:50  	864.5 	27.1  	26    	1.9      	036   	-1.1       	-1.5       	1413      	5.9
22        	17:00:52  	863.9 	27.1  	26    	1.8      	043   	-1.2       	-1.3       	1419      	6.0
24        	17:00:54  	863.3 	27.1  	26    	1.7      	045   	-1.2       	-1.2       	1425      	6.1
26        	17:00:56  	862.8 	27.1  	26    	1.7      	045   	-1.2       	-1.2       	1430      	6.2
28        	17:00:58  	862.3 	27.1  	27    	1.7      	050   	-1.3       	-1.1       	1435      	6.2
30        	17:01:00  	861.8 	27.0  	27    	1.6      	055   	-1.3       	-0.9       	1441      	6.2
32        	17:01:02  	861.2 	27.0  	27    	1.4      	056   	-1.2       	-0.8       	1446      	6.2
34        	17:01:04  	860.7 	26.9  	27    	1.4      	056   	-1.2       	-0.8       	1451      	6.1
36        	17:01:06  	860.2 	26.7  	27    	1.4      	054   	-1.1       	-0.8       	1457      	6.1
38        	17:01:08  	859.7 	26.7  	27    	1.4      	054   	-1.1       	-0.8       	1462      	6.1
40        	17:01:10  	859.2 	26.7  	27    	1.4      	054   	-1.1       	-0.8       	1466      	6.1
42        	17:01:12  	858.8 	26.8  	27    	1.4      	054   	-1.1       	-0.8       	1471      	6.2
44        	17:01:14  	858.2 	26.7  	27    	1.4      	054   	-1.1       	-0.8       	1477      	6.2
46        	17:01:16  	857.7 	26.6  	27    	1.4      	054   	-1.1       	-0.8       	1482      	6.2
48        	17:01:18  	857.2 	26.6  	27    	1.2      	055   	-1.0       	-0.7       	1487      	6.3
50        	17:01:20  	856.7 	26.5  	27    	1.2      	055   	-1.0       	-0.7       	1492      	6.3
52        	17:01:22  	856.2 	26.5  	28    	1.1      	056   	-0.9       	-0.6       	1497      	6.3
54        	17:01:24  	855.7 	26.5  	28    	1.1      	056   	-0.9       	-0.6       	1502      	6.3
56        	17:01:26  	855.2 	26.4  	28    	1.1      	056   	-0.9       	-0.6       	1507      	6.3
58        	17:01:28  	854.8 	26.4  	28    	0.9      	058   	-0.8       	-0.5       	1512      	6.3
60        	17:01:30  	854.3 	26.3  	28    	0.9      	058   	-0.8       	-0.5       	1517      	6.2
62        	17:01:32  	853.8 	26.3  	28    	0.9      	063   	-0.8       	-0.4       	1522      	6.2
64        	17:01:34  	853.4 	26.2  	28    	0.9      	063   	-0.8       	-0.4       	1527      	6.2
66        	17:01:36  	852.9 	26.2  	28    	0.9      	063   	-0.8       	-0.4       	1531      	6.2
68        	17:01:38  	852.5 	26.2  	28    	0.9      	063   	-0.8       	-0.4       	1536      	6.2
70        	17:01:40  	852.0 	26.2  	28    	0.9      	063   	-0.8       	-0.4       	1541      	6.2
72        	17:01:42  	851.6 	26.1  	28    	0.8      	067   	-0.7       	-0.3       	1545      	6.1
74        	17:01:44  	851.1 	26.1  	28    	0.7      	074   	-0.7       	-0.2       	1550      	6.1
76        	17:01:46  	850.7 	26.0  	28    	0.6      	081   	-0.6       	-0.1       	1555      	6.1
78        	17:01:48  	850.2 	26.0  	28    	0.6      	090   	-0.6       	-0.0       	1559      	6.1
80        	17:01:50  	849.8 	26.0  	28    	0.5      	101   	-0.5       	0.1        	1563      	6.1
82        	17:01:52  	849.4 	25.9  	28    	0.5      	112   	-0.5       	0.2        	1568      	6.1
84        	17:01:54  	848.9 	25.9  	28    	0.6      	121   	-0.5       	0.3        	1573      	6.1
86        	17:01:56  	848.5 	25.8  	28    	0.6      	129   	-0.5       	0.4        	1577      	6.1
88        	17:01:58  	848.0 	25.8  	28    	0.8      	140   	-0.5       	0.6        	1582      	6.0
90        	17:02:00  	847.5 	25.7  	28    	0.9      	139   	-0.6       	0.7        	1587      	6.0
92        	17:02:02  	847.0 	25.7  	28    	1.1      	139   	-0.7       	0.8        	1592      	6.0
94        	17:02:04  	846.5 	25.6  	28    	1.1      	135   	-0.8       	0.8        	1597      	5.9
96        	17:02:06  	846.1 	25.6  	28    	1.2      	132   	-0.9       	0.8        	1602      	5.9
98        	17:02:08  	845.6 	25.5  	28    	1.3      	122   	-1.1       	0.7        	1607      	5.9
100       	17:02:10  	845.1 	25.5  	28    	1.5      	118   	-1.3       	0.7        	1612      	5.9
102       	17:02:12  	844.6 	25.5  	28    	1.6      	112   	-1.5       	0.6        	1617      	5.8
104       	17:02:14  	844.1 	25.5  	28    	1.7      	107   	-1.6       	0.5        	1622      	5.8
106       	17:02:16  	843.6 	25.4  	28    	1.7      	100   	-1.7       	0.3        	1628      	5.8
108       	17:02:18  	843.1 	25.4  	28    	1.8      	096   	-1.8       	0.2        	1633      	5.7
110       	17:02:20  	842.5 	25.3  	28    	2.0      	093   	-2.0       	0.1        	1639      	5.7
112       	17:02:22  	841.9 	25.3  	28    	2.1      	087   	-2.1       	-0.1       	1646      	5.6
114       	17:02:24  	841.3 	25.2  	28    	2.2      	085   	-2.2       	-0.2       	1652      	5.6
116       	17:02:26  	840.7 	25.1  	28    	2.3      	083   	-2.3       	-0.3       	1658      	5.6
118       	17:02:28  	840.2 	25.1  	28    	2.3      	083   	-2.3       	-0.3       	1663      	5.5
120       	17:02:30  	839.7 	25.1  	28    	2.3      	083   	-2.3       	-0.3       	1668      	5.5
122       	17:02:32  	839.2 	25.0  	28    	2.3      	083   	-2.3       	-0.3       	1674      	5.5
124       	17:02:34  	838.6 	24.9  	28    	2.2      	085   	-2.2       	-0.2       	1680      	5.4
126       	17:02:36  	838.0 	24.9  	28    	2.1      	085   	-2.1       	-0.2       	1686      	5.4
128       	17:02:38  	837.5 	24.9  	28    	2.0      	087   	-2.0       	-0.1       	1692      	5.4
130       	17:02:40  	836.9 	24.9  	28    	1.9      	090   	-1.9       	-0.0       	1697      	5.4
132       	17:02:42  	836.4 	24.9  	28    	1.8      	093   	-1.8       	0.1        	1703      	5.3
134       	17:02:44  	835.9 	24.8  	28    	1.7      	097   	-1.7       	0.2        	1708      	5.3
136       	17:02:46  	835.4 	24.8  	28    	1.6      	097   	-1.6       	0.2        	1713      	5.2
138       	17:02:48  	834.9 	24.8  	28    	1.5      	098   	-1.5       	0.2        	1718      	5.1
140       	17:02:50  	834.4 	24.7  	28    	1.4      	098   	-1.4       	0.2        	1724      	4.9
142       	17:02:52  	833.9 	24.8  	27    	1.3      	099   	-1.3       	0.2        	1729      	4.8
144       	17:02:54  	833.5 	24.8  	27    	1.2      	095   	-1.2       	0.1        	1734      	4.6
146       	17:02:56  	833.0 	24.8  	27    	1.2      	090   	-1.2       	-0.0       	1738      	4.5
148       	17:02:58  	832.6 	24.8  	27    	1.1      	085   	-1.1       	-0.1       	1742      	4.4
150       	17:03:00  	832.2 	24.8  	26    	1.0      	073   	-1.0       	-0.3       	1747      	4.2
152       	17:03:02  	831.7 	24.8  	26    	1.0      	061   	-0.9       	-0.5       	1752      	4.0
154       	17:03:04  	831.2 	24.8  	26    	1.1      	049   	-0.8       	-0.7       	1757      	3.9
156       	17:03:06  	830.7 	24.9  	26    	1.1      	041   	-0.7       	-0.8       	1763      	3.9
158       	17:03:08  	830.2 	25.1  	25    	1.1      	038   	-0.7       	-0.9       	1768      	4.0
160       	17:03:10  	829.7 	25.3  	25    	1.2      	031   	-0.6       	-1.0       	1773      	4.0
162       	17:03:12  	829.2 	25.3  	25    	1.2      	035   	-0.7       	-1.0       	1779      	3.9
164       	17:03:14  	828.6 	25.3  	25    	1.3      	039   	-0.8       	-1.0       	1785      	3.8
166       	17:03:16  	828.0 	25.2  	25    	1.4      	045   	-1.0       	-1.0       	1791      	3.7
168       	17:03:18  	827.4 	25.1  	25    	1.4      	051   	-1.1       	-0.9       	1798      	3.6
170       	17:03:20  	826.8 	25.1  	25    	1.5      	058   	-1.3       	-0.8       	1804      	3.5
172       	17:03:22  	826.3 	25.0  	25    	1.7      	062   	-1.5       	-0.8       	1810      	3.4
174       	17:03:24  	825.7 	25.0  	24    	1.9      	074   	-1.8       	-0.5       	1816      	3.3
176       	17:03:26  	825.2 	25.2  	24    	2.2      	082   	-2.2       	-0.3       	1822      	3.4
178       	17:03:28  	824.6 	25.2  	24    	2.7      	088   	-2.7       	-0.1       	1827      	3.3
180       	17:03:30  	824.1 	25.2  	24    	3.1      	094   	-3.1       	0.2        	1833      	3.2
182       	17:03:32  	823.7 	25.3  	24    	3.3      	095   	-3.3       	0.3        	1838      	3.1
184       	17:03:34  	823.2 	25.3  	24    	3.5      	098   	-3.5       	0.5        	1843      	3.0
186       	17:03:36  	822.7 	25.3  	23    	3.9      	100   	-3.8       	0.7        	1847      	3.0
188       	17:03:38  	822.3 	25.4  	23    	4.3      	102   	-4.2       	0.9        	1852      	2.9
190       	17:03:40  	821.8 	25.5  	23    	4.7      	103   	-4.6       	1.1        	1857      	2.8
192       	17:03:42  	821.3 	25.5  	23    	5.2      	105   	-5.0       	1.3        	1862      	2.7
194       	17:03:44  	820.8 	25.4  	23    	5.4      	104   	-5.2       	1.3        	1867      	2.5
196       	17:03:46  	820.3 	25.4  	22    	5.6      	105   	-5.4       	1.4        	1873      	2.4
198       	17:03:48  	819.8 	25.4  	22    	5.7      	104   	-5.5       	1.4        	1878      	2.4
200       	17:03:50  	819.4 	25.4  	22    	6.0      	105   	-5.8       	1.5        	1883      	2.3
202       	17:03:52  	819.0 	25.4  	22    	6.3      	105   	-6.1       	1.6        	1888      	2.3
204       	17:03:54  	818.6 	25.4  	22    	6.6      	104   	-6.4       	1.6        	1892      	2.2
206       	17:03:56  	818.1 	25.4  	22    	6.8      	104   	-6.6       	1.7        	1897      	2.1
208       	17:03:58  	817.6 	25.3  	22    	6.9      	104   	-6.7       	1.7        	1902      	2.0
210       	17:04:00  	817.1 	25.3  	22    	7.1      	104   	-6.9       	1.7        	1907      	1.9
212       	17:04:02  	816.7 	25.3  	22    	7.2      	104   	-7.0       	1.8        	1912      	1.8
214       	17:04:04  	816.2 	25.2  	21    	7.4      	103   	-7.2       	1.7        	1917      	1.7
216       	17:04:06  	815.8 	25.2  	21    	7.6      	103   	-7.4       	1.7        	1922      	1.6
218       	17:04:08  	815.4 	25.2  	21    	7.7      	103   	-7.5       	1.7        	1926      	1.5
220       	17:04:10  	815.0 	25.2  	21    	7.8      	103   	-7.6       	1.7        	1930      	1.5
222       	17:04:12  	814.6 	25.2  	21    	7.9      	102   	-7.7       	1.7        	1935      	1.5
224       	17:04:14  	814.2 	25.1  	21    	8.0      	102   	-7.8       	1.6        	1939      	1.4
226       	17:04:16  	813.7 	25.1  	21    	8.1      	101   	-7.9       	1.6        	1944      	1.4
228       	17:04:18  	813.3 	25.1  	21    	8.1      	101   	-8.0       	1.5        	1948      	1.4
230       	17:04:20  	812.9 	25.1  	21    	8.2      	100   	-8.1       	1.5        	1953      	1.4
232       	17:04:22  	812.4 	25.0  	21    	8.3      	100   	-8.2       	1.4        	1958      	1.4
234       	17:04:24  	811.9 	25.0  	21    	8.3      	100   	-8.2       	1.4        	1963      	1.4
236       	17:04:26  	811.5 	24.9  	21    	8.3      	100   	-8.2       	1.4        	1968      	1.4
238       	17:04:28  	811.0 	24.9  	21    	8.4      	100   	-8.3       	1.4        	1973      	1.4
240       	17:04:30  	810.6 	24.9  	21    	8.5      	099   	-8.4       	1.4        	1978      	1.4
242       	17:04:32  	810.1 	24.8  	22    	8.5      	099   	-8.4       	1.3        	1983      	1.4
244       	17:04:34  	809.7 	24.8  	22    	8.6      	099   	-8.5       	1.3        	1988      	1.4
246       	17:04:36  	809.2 	24.7  	22    	8.6      	099   	-8.5       	1.3        	1993      	1.5
248       	17:04:38  	808.7 	24.7  	22    	8.6      	099   	-8.5       	1.3        	1998      	1.5
250       	17:04:40  	808.3 	24.6  	22    	8.6      	099   	-8.5       	1.3        	2002      	1.6
252       	17:04:42  	807.8 	24.6  	22    	8.6      	099   	-8.5       	1.3        	2008      	1.6
254       	17:04:44  	807.4 	24.5  	22    	8.5      	099   	-8.4       	1.3        	2013      	1.7
