Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:01:54  	868.5 	23.9  	29    	15.6     	135   	-11.1      	11.1       	1288      	4.8
2         	17:01:56  	865.1 	23.8  	23    	19.5     	173   	-2.3       	19.4       	1322      	1.2
4         	17:01:58  	861.7 	23.7  	23    	19.5     	173   	-2.3       	19.4       	1356      	1.4
6         	17:02:00  	858.3 	23.5  	23    	19.5     	173   	-2.3       	19.4       	1390      	1.4
8         	17:02:02  	855.0 	23.5  	23    	19.5     	173   	-2.3       	19.4       	1425      	1.5
10        	17:02:04  	851.6 	23.5  	24    	19.5     	173   	-2.3       	19.4       	1459      	1.6
12        	17:02:06  	848.3 	23.3  	24    	19.5     	173   	-2.3       	19.4       	1493      	1.6
14        	17:02:08  	845.7 	23.2  	24    	19.5     	173   	-2.3       	19.4       	1527      	1.6
16        	17:02:10  	843.1 	23.1  	24    	19.5     	173   	-2.3       	19.4       	1561      	1.5
18        	17:02:12  	840.5 	23.0  	24    	19.5     	173   	-2.3       	19.4       	1573      	1.5
20        	17:02:14  	839.6 	22.9  	24    	22.2     	173   	-2.6       	22.0       	1584      	1.5
22        	17:02:16  	838.7 	22.9  	24    	24.4     	173   	-2.9       	24.2       	1593      	1.5
24        	17:02:18  	837.8 	22.8  	25    	25.6     	173   	-3.0       	25.4       	1601      	1.6
26        	17:02:20  	837.0 	22.8  	25    	26.4     	173   	-3.1       	26.2       	1609      	1.6
28        	17:02:22  	836.3 	22.7  	25    	26.9     	173   	-3.2       	26.7       	1617      	1.6
30        	17:02:24  	835.6 	22.6  	25    	29.8     	173   	-3.5       	29.6       	1624      	1.6
32        	17:02:26  	835.0 	22.6  	25    	29.8     	173   	-3.5       	29.6       	1631      	1.7
34        	17:02:28  	834.4 	22.5  	25    	29.8     	173   	-3.5       	29.6       	1637      	1.8
36        	17:02:30  	833.8 	22.5  	26    	29.8     	173   	-3.5       	29.6       	1643      	1.8
38        	17:02:32  	833.2 	22.5  	26    	29.8     	173   	-3.5       	29.6       	1648      	1.9
40        	17:02:34  	832.7 	22.5  	26    	29.8     	173   	-3.5       	29.6       	1654      	2.0
42        	17:02:36  	832.1 	22.4  	26    	29.4     	173   	-3.6       	29.2       	1660      	2.0
44        	17:02:38  	831.6 	22.3  	26    	29.2     	173   	-3.6       	29.0       	1666      	2.1
46        	17:02:40  	831.1 	22.3  	26    	29.1     	173   	-3.7       	28.9       	1671      	2.1
48        	17:02:42  	830.5 	22.2  	27    	28.9     	173   	-3.7       	28.7       	1677      	2.1
50        	17:02:44  	829.9 	22.2  	27    	28.6     	173   	-3.7       	28.4       	1683      	2.1
