-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0      1                                                               
  925.0    720                                                               
  869.0   1289   34.4    3.4     14   5.65    165      9  320.1  338.7  321.2
  865.0   1330   33.2   -2.8     10   3.61    161     13  319.3  331.4  320.0
  857.0   1413   32.4   -3.6     10   3.43    153     20  319.3  330.9  320.0
  854.0   1444   31.5   -3.3     10   3.54    150     23  318.7  330.5  319.3
  850.0   1486   30.2   -2.8     12   3.68    160     22  317.8  330.0  318.5
  849.0   1496   30.1   -2.8     12   3.68    160     22  317.8  330.0  318.5
  826.0   1734   27.8   -3.1     13   3.69    175     23  317.8  330.1  318.5
  820.0   1797   27.2   -3.2     13   3.69    175     23  317.8  330.1  318.5
  806.0   1946   25.7   -3.5     14   3.69    180     21  317.9  330.1  318.6
  793.0   2087   24.3   -3.7     15   3.70    175     19  317.9  330.1  318.6
  775.0   2285   22.4   -3.9     17   3.70    185     17  317.9  330.2  318.6
  763.0   2420   21.1   -4.1     18   3.71    180     18  317.9  330.2  318.6
  752.0   2546   19.9   -4.3     19   3.71    185     17  317.9  330.2  318.6
  700.0   3166   13.8   -5.2     26   3.73    205     22  317.7  330.1  318.4
  692.0   3259   12.9   -5.4     27   3.70    205     21  317.8  330.1  318.5
  681.0   3390   11.7   -5.8     29   3.67    200     20  317.8  330.0  318.5
  670.0   3522   10.4   -6.1     31   3.63    200     22  317.9  330.0  318.6
  659.0   3656    9.1   -6.5     33   3.60    205     19  317.9  329.9  318.6
  650.0   3768    8.0   -6.7     34   3.57    200     17  318.0  329.9  318.7
  642.0   3869    7.0   -7.0     36   3.54    200     17  318.0  329.8  318.7
  618.0   4179    4.0   -7.8     42   3.46    210     13  318.1  329.6  318.7
  597.0   4459    1.3   -8.5     48   3.39    220     17  318.1  329.4  318.7
  557.0   5023   -4.1   -9.9     64   3.25    230     21  318.0  328.9  318.7
  547.0   5170   -5.5  -10.3     69   3.21    227     20  318.0  328.7  318.6
  540.0   5271   -6.0  -12.9     58   2.63    225     20  318.6  327.5  319.1
  506.0   5778   -8.3  -26.3     22   0.89    243     31  321.8  325.0  321.9
  503.0   5824   -8.6  -26.6     22   0.87    245     32  321.9  325.1  322.1
  500.0   5870   -8.9  -26.9     22   0.85    245     32  322.1  325.2  322.3
  496.0   5932   -9.5  -26.7     23   0.88    240     32  322.2  325.4  322.4
  491.0   6010  -10.2  -26.4     25   0.91    240     32  322.3  325.6  322.4
  490.0   6026  -10.3  -26.3     26   0.92    240     32  322.3  325.6  322.4
  475.0   6265  -12.1  -31.1     19   0.60    245     31  322.9  325.2  323.0
  474.0   6281  -12.1  -32.1     17   0.55    245     31  323.1  325.2  323.2
  472.0   6314  -12.1  -34.1     14   0.45    243     33  323.5  325.2  323.6
  470.0   6346  -12.2  -35.0     13   0.42    240     35  323.8  325.4  323.9
  467.0   6395  -12.3  -36.3     12   0.37    244     36  324.2  325.7  324.3
  466.0   6412  -12.4  -36.4     12   0.37    245     36  324.4  325.8  324.4
  464.0   6444  -12.5  -36.5     12   0.36    243     36  324.6  326.0  324.7
  462.0   6477  -12.7  -36.9     11   0.35    240     36  324.8  326.1  324.8
  455.0   6594  -13.4  -38.3     10   0.31    245     38  325.3  326.5  325.4
  454.0   6611  -13.5  -38.5     10   0.30    244     38  325.4  326.6  325.4
  451.0   6660  -13.9  -38.5     11   0.31    240     40  325.4  326.6  325.5
  438.0   6880  -15.8  -38.4     12   0.32    230     36  325.8  327.1  325.9
  433.0   6966  -16.5  -38.4     13   0.32    230     37  325.9  327.2  326.0
  427.0   7071  -17.4  -38.4     14   0.33    235     36  326.1  327.4  326.2
  422.0   7159  -18.2  -38.4     15   0.33    235     34  326.2  327.5  326.3
  402.0   7523  -21.3  -38.3     20   0.35    249     35  326.8  328.1  326.8
  400.0   7560  -21.7  -38.7     20   0.34    250     35  326.7  328.0  326.8
  398.0   7597  -22.0  -39.0     20   0.33    250     36  326.8  328.1  326.8
  390.0   7746  -23.3  -40.3     20   0.29    251     40  327.0  328.1  327.0
  382.0   7897  -24.7  -41.7     19   0.26    253     44  327.1  328.1  327.1
  359.0   8347  -27.3  -54.3      6   0.07    257     56  329.4  329.7  329.5
  344.0   8654  -28.7  -53.7      7   0.07    260     64  331.6  331.9  331.6
  342.0   8695  -29.0  -53.6      7   0.08    260     65  331.7  332.1  331.7
  329.0   8969  -31.0  -53.2      9   0.08    260     69  332.6  333.0  332.6
  321.0   9144  -32.3  -53.0     11   0.09    260     70  333.2  333.6  333.2
  308.0   9436  -34.5  -52.5     14   0.10    257     72  334.1  334.5  334.1
  305.0   9505  -34.7  -53.7     13   0.08    256     72  334.8  335.1  334.8
  300.0   9620  -35.3  -52.3     16   0.10    255     73  335.5  335.9  335.5
  290.0   9854  -37.1  -53.2     17   0.09    255     77  336.2  336.6  336.2
  289.0   9878  -37.3  -53.3     17   0.09    255     77  336.2  336.7  336.3
  281.0  10069  -38.5  -55.9     14   0.07    255     78  337.2  337.5  337.2
  263.0  10519  -41.3  -62.1      9   0.03    260     74  339.5  339.7  339.5
  262.0  10545  -41.5  -62.5      8   0.03    260     74  339.6  339.8  339.7
  252.0  10806  -43.0  -64.8      7   0.02    260     77  341.2  341.4  341.2
  250.0  10860  -43.3  -65.3      7   0.02    255     79  341.6  341.7  341.6
  249.0  10887  -43.5  -65.5      7   0.02    255     80  341.7  341.8  341.7
  242.0  11078  -44.6  -66.6      7   0.02    255     79  342.8  342.9  342.8
  239.0  11162  -45.1  -67.1      7   0.02    255     82  343.3  343.4  343.3
  227.0  11505  -46.8  -67.1      8   0.02    260     80  345.8  345.9  345.8
  225.0  11564  -47.1  -67.1      8   0.02    260     81  346.2  346.3  346.2
  221.0  11682  -47.5  -68.2      7   0.02    260     84  347.4  347.5  347.4
  212.0  11956  -48.3  -70.8      6   0.01    260     75  350.2  350.3  350.2
  204.0  12209  -49.1  -73.3      4   0.01    260     81  352.9  352.9  352.9
  201.0  12307  -49.4  -74.2      4   0.01    260     76  353.9  353.9  353.9
  200.0  12340  -49.5  -74.5      4   0.01    260     75  354.2  354.3  354.2
  199.0  12373  -49.5  -74.5      4   0.01    260     74  354.7  354.8  354.7
  195.0  12506  -49.1  -77.1      2   0.01    260     71  357.4  357.5  357.4
  193.0  12573  -49.1  -78.1      2   0.00    259     72  358.5  358.5  358.5
  186.0  12814  -50.7  -79.7      2   0.00    255     74  359.7  359.7  359.7
  181.0  12992  -51.9  -80.9      2   0.00    259     71  360.6  360.6  360.6
  175.0  13209  -52.9  -81.9      2   0.00    264     67  362.4  362.4  362.4
  174.0  13246  -52.9  -81.9      2   0.00    265     66  363.0  363.0  363.0
  173.0  13284  -52.9  -81.9      2   0.00    263     64  363.6  363.6  363.6
  170.0  13396  -52.5  -80.5      2   0.00    258     57  366.1  366.1  366.1
  167.0  13511  -52.3  -81.3      2   0.00    253     51  368.3  368.3  368.3
  165.0  13589  -52.7  -81.5      2   0.00    250     46  368.9  368.9  368.9
  160.0  13786  -53.7  -81.9      2   0.00    250     52  370.5  370.5  370.5
  157.0  13907  -54.3  -82.1      2   0.00    250     52  371.5  371.5  371.5
  150.0  14200  -55.7  -82.7      2   0.00    265     44  373.9  373.9  373.9
  148.0  14285  -56.2  -83.2      2   0.00    265     38  374.5  374.5  374.5
  146.0  14372  -56.7  -83.7      2   0.00    263     37  375.1  375.1  375.1
  140.0  14635  -58.5  -85.0      2   0.00    255     32  376.5  376.5  376.5
  138.0  14725  -59.0  -85.5      2   0.00    245     33  377.0  377.0  377.0
  135.0  14863  -60.0  -86.2      2   0.00    240     32  377.8  377.8  377.8
  133.0  14957  -60.6  -86.7      2   0.00    240     39  378.3  378.3  378.3
  132.0  15004  -60.9  -86.9      2   0.00    243     37  378.5  378.6  378.5
  131.0  15051  -60.9  -86.9      2   0.00    246     35  379.4  379.4  379.4
  126.0  15292  -61.6  -87.2      2   0.00    260     24  382.4  382.4  382.4
  124.0  15391  -61.9  -87.3      2   0.00    240     23  383.6  383.7  383.6
  120.0  15594  -62.4  -87.6      2   0.00    225     28  386.2  386.2  386.2
  118.0  15698  -62.7  -87.7      2   0.00    225     30  387.6  387.6  387.6
  116.0  15803  -62.4  -87.4      2   0.00    235     31  390.1  390.1  390.1
  112.0  16020  -61.7  -86.7      2   0.00    250     25  395.2  395.2  395.2
