NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
A3O2,True,CH3CH2CH2OO,Primary peroxy radical from C3H8,75.1,"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",NC3H7O2,,,,,,,,,,,,,
ACET,True,CH3C(O)CH3,Acetone,58.09,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,,,,,,,,,,,,,,
ACO3,True,C3H3O3,Peroxyacetyl radical for APAN,87.054,"InChI=1S/C3H3O3/c1-2-3(4)6-5/h2H,1H2",ACO3,,,,,,,,,,,,,
ACR,True,C3H4O,Acrolein,56.06,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",,,,,,,,,,,,,,
ACRO2,True,C3H5O4,Peroxy radical from ACR,105.07,"InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,5H,2H2",,,,,,,,,,,,,,
ACTA,True,CH3C(O)OH,Acetic acid,60.06,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",,,,,,,,,,,,,,
AERI,True,I-,Iodine on aerosol,126.9,InChI=1S/HI/h1H/p-1,,,,,,,,,,,,,,
ALD2,True,CH3CHO,Acetaldehyde,44.06,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",,,,,,,,,,,,,,
ALK4,False,,Lumped C4+C5 Alkanes,58.12,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",,,*,,,,,,,,,,,
ALK4N1,False,C4H8NO5,Peroxy radical from ALK4N2,150.13,,,,,,,,,,,,,,,
ALK4N2,False,RO2NO,Lumped alkyl nitrate from ALK4,119.1,"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3;InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3;InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3;InChI=1S/C4H9NO3/c1-4(2,3)8-5(6)7/h1-3H3",,Same as R4N2?,,,,,,,,,,,,
ALK4O2,False,C4H9O2,Peroxy radical from ALK4,89.13,,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3;",,,,,,,,,,,,,
ALK4P,False,CH3CH2CH2CH2OOH,Peroxide from ALK4O2 (R4O2),90.14,"InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3;InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3;InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3;InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3",NC4H9OOH;SC4H9OOH;IC4H9OOH;TC4H9OOH,"Same as R4O2… Is RO2, has OOH group on it, has right # of Cs n Hs",,,,,,,,,,,,
ALK6,False,C7H16,Lumped >= C6 Alkanes,100.2,,,,*,,,,,,,,,,,
AONITA,False,C6H6O6N,Aerosol-phase organonitrates from aromatics,189.12,,,,,,,,,,,,,,,
APAN,True,C3H3NO5,Peroxyacryloyl nitrate   (iupac=nitro prop-2-eneperoxoate),133.06,"InChI=1S/C3H3NO5/c1-2-3(5)8-9-4(6)7/h2H,1H2",ACRPAN,,,,,,,,,,,,,
APINN,False,C10H17NO4,1st gen organic nitrate from APIN,215.28,,,,,,,,,,,,,,,
APINO2,idk,C10H17O3,Peroxy radical from APIN,185.27,,,,,,,,,,,,,,,
APINP,idk,C10H18O3,Hydroperoxide from APIN,186.28,,,,,,,,,,,,,,,
AROMCHO,True,C5H6O4,ACCOMECHO from MCM,130.1,"InChI=1S/C5H6O4/c1-4(7)9-5(8)2-3-6/h3H,2H2,1H3",,,,,,,,,,,,,,
AROMCO3,False,C5H5O6,Lumped aromatic peroxyacetyl radical,161.09,,,,,,,,,,,,,,,
AROMP4,False,C4H4O2,Generic C4 product of aromatics,68.08,"InChI=1S/C4H4O2/c1-2-4(6)3-5/h2-3H,1H2;InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H",,,*,,,,,,,,,,,
AROMP5,False,C5H6O2,C5 unsaturated dicarbonyl,98.1,"InChI=1S/C5H6O2/c1-5(4-7)2-3-6/h2-4H,1H3;InChI=1S/C5H6O2/c1-5(7)3-2-4-6/h2-4H,1H3",,,*,,,,,,,,,,,
AROMPN,False,C5H5NO8,Lumped PN from aromatics,207.1,,,,,,,,,,,,,,,
AROMRO2,False,C6H7O3,hydroxy-peroxy radical from aromatics,127,,,,,,,,,,,,,,,
ATO2,True,CH3C(O)CH2O2,Peroxy radical from acetone,89.08,"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3",CH3COCH2O2,,,,,,,,,,,,,
ATOOH,True,CH3C(O)CH2OOH,ATO2 peroxide,90.09,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3",HYPERACET,,,,,,,,,,,,,
B3O2,True,CH3CH(OO)CH3,Isopropyl Peroxy radical ,75.1,"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3",IC3H7O2,,,,,,,,,,,,,
BALD,True,C7H6O,Benzaldehyde,106.12,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,,,,,,,,,,,,,,
BENZ,True,C6H6,Benzene,78.12,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,,,,,,,,,,,,
BENZO,False,C6H5O,alkoxy radical from aromatics,93,InChI=1S/C6H5O/c7-6-4-2-1-3-5-6/h1-5H,,,,,,,,,,,,,,
BENZO2,False,C6H5O2,peroxy radical from aromatics,109,InChI=1S/C6H5O2/c7-8-6-4-2-1-3-5-6/h1-5H,,,*,,,,,,,,,,,
BENZP,True,C6H6O2,Phenyl hydroperoxide,110.11,"InChI=1S/C6H6O2/c7-8-6-4-2-1-3-5-6/h1-5,7H",,,,,,,,,,,,,,
BPINN,False,C10H17NO4,Saturated 1st gen BPIN organic nitrate,215.28,,,,,,,,,,,,,,,
BPINO,idk,C9H14O,Ketone from BPIN,186.28,,,,,,,,,,,,,,,
BPINO2,idk,C10H17O3,Peroxy radical from BPIN,185.27,,,,,,,,,,,,,,,
BPINON,False,C9H13NO4,Saturated 2nd gen BPIN organic nitrate,215.28,,,,,,,,,,,,,,,
BPINOO2,False,C10H17O3,2nd-gen peroxy radical from BPIN,185.27,,,,,,,,,,,,,,,
BPINOOH,idk,C9H14O3,2nd-gen peroxide from BPIN,186.28,,,,,,,,,,,,,,,
BPINP,idk,C10H18O3,Peroxide from BPIN,186.28,,,,,,,,,,,,,,,
Br,True,Br,Atomic bromine,79.9,InChI=1S/Br,,,,,,,,,,,,,,
Br2,True,Br2,Molecular Bromine,159.8,InChI=1S/Br2/c1-2,,,,,,,,,,,,,,
BrCl,True,BrCl,Bromine chloride,115.45,InChI=1S/BrCl/c1-2,,,,,,,,,,,,,,
BrNO2,True,BrNO2,Nitryl bromide,125.91,InChI=1S/BrNO2/c1-4-2-3,,,,,,,,,,,,,,
BrNO3,True,BrNO3,Bromine nitrate,141.91,InChI=1S/BrNO3/c1-5-2(3)4,,,,,,,,,,,,,,
BrO,True,BrO,Bromine monoxide,95.9,InChI=1S/BrO/c1-2,,,,,,,,,,,,,,
BRO2,True,C6H7O5,Peroxy radical from BENZ oxidation,159.13,InChI=1S/C6H7O5/c7-5-3-1-2-4(9-8)6(5)11-10-3/h1-7H,,,,,,,,,,,,,,
BrSALA,True,Br,Fine sea salt bromine,79.9,InChI=1S/BrH/h1H/p-1,,,,,,,,,,,,,,
BrSALC,True,Br,Coarse sea salt bromine,79.9,InChI=1S/BrH/h1H/p-1,,,,,,,,,,,,,,
BUTDI,True,C4H4O2,Butenedial,84.07,InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H/b2-1+,,,,,,,,,,,,,,
BUTN,idk,C4H7NO4,C4H6 alkyl nitrate,133.1,,,,,,,,,,,,,,,
BUTO2,False,C4H7O3,peroxy radical from C4H6,103.097,"InChI=1S/C4H7O3/c5-3-1-2-4-7-6/h1-2,5H,3-4H2;InChI=1S/C4H7O3/c1-2-4(3-5)7-6/h2,4-5H,1,3H2;InChI=1S/C4H7O3/c1-2-4(5)3-7-6/h2,4-5H,1,3H2",BUTDAO2;BUTDBO2;BUTDCO2;,,,,,,,,,,,,,
BZCO3,True,C7H5O3,Acyl peroxy radical from benzaldehyde,137,InChI=1S/C7H5O3/c8-7(10-9)6-4-2-1-3-5-6/h1-5H,,,,,,,,,,,,,,
BZCO3H,True,C6H5CO3H,Perbenzoic acid,138.12,"InChI=1S/C7H6O3/c8-7(10-9)6-4-2-1-3-5-6/h1-5,9H",,,,,,,,,,,,,,
BZPAN,True,C7H5O5N,Peroxybenzoylnitrate,183.12,InChI=1S/C7H3NO6/c9-7(12-8(10)11)4-2-1-3-5-6(4)14-13-5/h1-3H,,,,,,,,,,,,,,
C2H2,True,C2H2,Acetylene (aka Ethyne),26.05,InChI=1S/C2H2/c1-2/h1-2H,,,,,,,,,,,,,,
C2H4,True,C2H4,Ethylene,28.05,InChI=1S/C2H4/c1-2/h1-2H2,,,,,,,,,,,,,,
C2H6,True,C2H6,Ethane,30.08,InChI=1S/C2H6/c1-2/h1-2H3,,,,,,,,,,,,,,
C3H8,True,C3H8,Propane,44.11,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",,,,,,,,,,,,,,
C4H6,True,C4H6,"1,3-butadiene",54.09,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",,,,,,,,,,,,,,
C4HVP1,idk,C4H7O3,C4 hydroxy-vinyl peroxy radicals from HPALDS,103.11,"InChI=1S/C4H7O3/c1-4(7-6)2-3-5/h2,5H,3H2,1H3/b4-2+;InChI=1S/C4H7O3/c1-4(7-6)2-3-5/h2,5H,3H2,1H3/b4-2-",,,,,,,,,,,,,,
C4HVP2,idk,C4H7O3,C4 hydroxy-vinyl peroxy radicals from HPALDS,103.11,"InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h3,5H,2H2,1H3/b4-3+;InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h3,5H,2H2,1H3/b4-3-",,,,,,,,,,,,,,
C96N,False,C9H15NO4,Saturated 2nd gen monoterpene organic nitrate,215.28,"InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12)/t6-/m0/s1;InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12);InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12)/t6-/m1/s1;",,,,,,,,,,,,,,
C96O2,False,C10H17O3,2nd-gen peroxy radical from APIN,185.27,,,,,,,,,,,,,,,
C96O2H,False,C9H16O3,Peroxide from APIN 2nd gen,186.28,"InChI=1S/C9H16O3/c1-2-12-8(11)9(7-10)5-3-4-6-9/h10H,2-7H2,1H3",,,,,,,,,,,,,,
CCl4,True,CCl4,Carbon tetrachloride,153.82,"InChI=1S/CCl4/c2-1(3,4)5",,,,,,,,,,,,,,
CFC11,True,CCl3F,CFC-11,137.37,"InChI=1S/CCl3F/c2-1(3,4)5",,,,,,,,,,,,,,
