Parameter,ParameterCode,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,MethodType,ReferenceMethodID,EquivalentMethod,FederalMDL,MinValue,MaxValue,Digits,RoundTruncateIndicator,Units,CarbonNumber,ChemicalFormula,APP_A_PARAMETERS,AQIPOLLUTANTS,BPOIL,COMBINABLE,CORE_HAPS,CRITERIA,CRITERIAGAS,CRITERIAPM,CSNCARBON,CSNDART,CSNIONS,CSNTRACEELEMENTS,CYLINDER_GASES,DESIGNVALUE,HAPS,IMPROVECARBON,IMPROVE_SPECIATION,KEYSAT,MET,NATTSCOREHAPS,NATTSREQUIRED,NPAPGASES,PAH,PAMS,PAMS_VOC,PEP,PMCOARSE,PM10SPECIATION,PM10_METAL,PM2.5CONTNONREF,PM2.5MASSALLMETHODS,PM2.5MASS/QA,PMP_REQUIRED,QUICKLOOK,SANDWICH,SATWEB,SCHOOLAIRTOXICS,SPECIATION,SPECIATIONCARBON,SPECIATIONCATION/ANION,SPECIATIONMETALS,TARGETSVOC,UATMPCARBONYL,UATMPVOC,VOC,Param-Method,NAAQS
Ammonia (precip),62604,17,Intermittent,ANDERSON RAINFALL BUCKET,AUTOMATED PHENATE VIA TRAACS 800,MET,,,,0.01,0,,2,R,Milligrams/liter,0,H3N,,,,,,,,,,,,,,,,,,,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,62604-017,FALSE
Ammonia (precip),62604,18,Intermittent,AEROCHEM RAINFALL BUCKET (MOD),FLOW INJECTION (COLORIMETRIC),MET,,,,0.01,0,,2,R,Milligrams/liter,0,H3N,,,,,,,,,,,,,,,,,,,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,62604-018,FALSE
Wind Speed - Scalar,61101,20,Continuous,INSTRUMENTAL,SPOT READING,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-020,FALSE
Wind Speed - Scalar,61101,21,Continuous,INSTRUMENTAL,SPOT READING LEVEL 1,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-021,FALSE
Wind Speed - Scalar,61101,22,Continuous,INSTRUMENTAL,SPOT READING LEVEL 2,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-022,FALSE
Wind Speed - Scalar,61101,23,Continuous,INSTRUMENTAL,SPOT READING LEVEL 3,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-023,FALSE
Wind Speed - Scalar,61101,24,Continuous,MODEL 425AH,ULTRA SONIC WIND SENSOR,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-024,FALSE
Wind Speed - Scalar,61101,30,Continuous,INSTRUMENTAL,TVA ARITHMETIC AVERAGE,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-030,FALSE
Wind Speed - Scalar,61101,31,Continuous,INSTRUMENTAL,TVA ARITHMETIC AVERAGE LEVEL 1,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-031,FALSE
Wind Speed - Scalar,61101,32,Continuous,INSTRUMENTAL,TVA ARITHMETIC AVERAGE LEVEL 2,MET,,,,0.1,0,90,1,R,Knots,,,,,,,,,,,,,,,,,,,,,MET,,,,,PAMS,,,,,,,,,,,,,,,,,,,,,,61101-032,FALSE
