Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",8784,8784,8784
"Valid Ambient Hours (N)",6085,5423,3336
"Valid Ambient Recovery","69.273679417122 %","61.737249544627 %","37.978142076503 %"
Mean,0.4647,0.1314,0.081
Median,0.1385,0,0
Deviation,1.2123,0.312,0.1218

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-01-01 0",0.5097,0,0
"2024-01-01 1",0.5156,0.0872,0
"2024-01-01 4",0.2678,0,0
"2024-01-01 5",0.2114,0,0
"2024-01-01 6",0.1919,0,0
"2024-01-01 7",0.3068,0,0
"2024-01-01 8",0.3444,0,0
"2024-01-01 9",0.2194,0,0
"2024-01-01 10",0.0406,0,0
"2024-01-01 11",0.0427,0,0
"2024-01-01 12",0.0379,0,0
"2024-01-01 13",0.0424,0.1379,0
"2024-01-01 14",0.0593,0.2111,0
"2024-01-01 15",0.0434,0.1711,0
"2024-01-01 16",0.0562,0,0
"2024-01-01 17",0.0532,0,0
"2024-01-01 18",0.124,0,0
"2024-01-01 19",0.3069,0,0
"2024-01-01 20",0.4536,0,0
"2024-01-01 21",0.5184,0.103,0
"2024-01-01 22",0.4139,0.1425,0
"2024-01-01 23",0.405,0,0
"2024-01-02 2",0.2096,0,0
"2024-01-02 3",0.1913,0,0
"2024-01-02 4",0.2056,0,0
"2024-01-02 5",0.1901,0,0
"2024-01-02 6",0.3289,0,0
"2024-01-02 7",0.4084,0,0
"2024-01-02 8",0.9521,0.2373,0
"2024-01-02 9",0.3298,0,0
"2024-01-02 10",0.0504,0,0
"2024-01-02 11",0.0415,0,0
"2024-01-02 12",0.045,0,0
"2024-01-02 13",0.0483,0,0
"2024-01-02 14",0.0217,0,0
"2024-01-02 15",0.0389,0.2319,0
"2024-01-02 16",0.0755,0.1678,0
"2024-01-02 17",0.2986,0.1017,0
"2024-01-02 18",0.1192,0,0
"2024-01-02 19",0.2554,0,0
"2024-01-02 20",0.3056,0,0
"2024-01-02 21",0.4839,0.1041,0
"2024-01-02 22",0.571,0.1116,0
"2024-01-02 23",0.2858,0,0
"2024-01-03 0",0.1925,0,0
"2024-01-03 1",0.2338,0,0
"2024-01-03 4",0.2432,0,0
"2024-01-03 5",0.2179,0,0
"2024-01-03 6",0.1277,0,0
"2024-01-03 7",0.3286,0,0
"2024-01-03 8",0.275,0,0
"2024-01-03 9",0.2405,0,0
"2024-01-03 10",0.0816,0,0
"2024-01-03 11",0.0514,0,0
"2024-01-03 12",0.0422,0,0
"2024-01-03 13",0.1622,0,0
"2024-01-03 14",0.0959,0.1999,0
"2024-01-03 15",0.1156,0.2141,0
"2024-01-03 16",0.0987,0,0
"2024-01-03 17",0.0658,0,0
"2024-01-03 18",0.0641,0,0
"2024-01-03 19",0.1427,0,0
"2024-01-03 20",0.1797,0,0
"2024-01-03 21",0.1354,0,0
"2024-01-03 22",0.188,0,0
"2024-01-03 23",0.176,0,0
"2024-01-04 2",0.044,0,0
"2024-01-04 3",0.0522,0,0
"2024-01-04 4",0.0801,0,0
"2024-01-04 5",0.0727,0,0
"2024-01-04 6",0.0345,0,0
"2024-01-04 7",0.0697,0,0
"2024-01-04 8",0.0743,0,0
"2024-01-04 9",0.0673,0,0
"2024-01-04 10",0.0223,0,0
"2024-01-04 11",0.021,0,0
"2024-01-04 12",0.0094,0,0
"2024-01-04 13",0,0,0
"2024-01-04 14",0,0,0
"2024-01-04 15",0,0,0
"2024-01-04 16",0.0383,0,0
"2024-01-04 17",0.0348,0,0
"2024-01-04 18",0.0443,0,0
"2024-01-04 19",0.0382,0,0
"2024-01-04 20",0.0433,0,0
"2024-01-04 21",0.0372,0,0
"2024-01-04 22",0.0537,0,0
"2024-01-04 23",0.0584,0,0
"2024-01-05 0",0.0715,0,0
"2024-01-05 1",0.0595,0,0
"2024-01-05 4",0.1448,0,0
"2024-01-05 5",0.1772,0,0
"2024-01-05 6",0.2109,0,0
"2024-01-05 7",0.1394,0,0
"2024-01-05 8",0.0938,0,0
"2024-01-05 9",0.1121,0,0
"2024-01-05 10",0.0508,0,0
"2024-01-05 11",0.0204,0,0
"2024-01-05 12",0.0378,0,0
"2024-01-05 13",0.0397,0,0
"2024-01-05 14",0.0366,0,0
"2024-01-05 15",0.0557,0,0
"2024-01-05 16",0.0268,0,0
"2024-01-05 17",0.0444,0,0
"2024-01-05 18",0.0485,0,0
"2024-01-05 19",0.0598,0,0
"2024-01-05 20",0.0688,0,0
"2024-01-05 21",0.059,0,0
"2024-01-05 22",0.0266,0,0
"2024-01-05 23",0.076,0,0
"2024-01-06 2",0.1211,0,0
"2024-01-06 3",0.093,0,0
"2024-01-06 4",0.0904,0,0
"2024-01-06 5",0.0453,0,0
"2024-01-06 6",0.0489,0,0
"2024-01-06 7",0.1314,0,0
"2024-01-06 8",0.184,0,0
"2024-01-06 9",0.0764,0,0
"2024-01-06 10",0.0465,0,0
"2024-01-06 11",0.0174,0,0
"2024-01-06 12",0,0,0
"2024-01-06 13",0,0,0
"2024-01-06 14",0,0,0
"2024-01-06 15",0,0,0
"2024-01-06 16",0,0,0
"2024-01-06 17",0.0244,0,0
"2024-01-06 18",0.0498,0,0
