Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",10992,10992,10992
"Valid Ambient Hours (N)",8636,8636,8636
"Valid Ambient Recovery","78.566229985444 %","78.566229985444 %","78.566229985444 %"
Mean,0.2902,0.1542,0.1387
Median,0.1215,0.0865,0.0797
Deviation,0.5883,0.2539,0.1846

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-01 0",0,0.0611,0.1721
"2023-10-01 1",0.0179,0.1916,0.2019
"2023-10-01 5",0.0253,0.0993,0.2123
"2023-10-01 6",0.0275,0.1077,0.1959
"2023-10-01 7",0.0279,0.0744,0.2006
"2023-10-01 8",0.0955,0.0831,0.1926
"2023-10-01 9",0.1261,0.0768,0.1632
"2023-10-01 10",0.0515,0.0598,0.1517
"2023-10-01 11",0.1079,0.0671,0.1226
"2023-10-01 12",0.1369,0.0778,0.1072
"2023-10-01 18",0.1232,0.0671,0.1597
"2023-10-01 19",0.2115,0.0891,0.1652
"2023-10-01 20",0.2163,0.1875,0.2246
"2023-10-01 21",0.1753,0.0923,0.2069
"2023-10-01 22",0.1031,0.0814,0.2103
"2023-10-01 23",0.0246,0.1225,0.1185
"2023-10-02 2",0.0957,0.1762,0.1965
"2023-10-02 3",0.0615,0.143,0.244
"2023-10-02 4",0.0412,0.091,0.1753
"2023-10-02 5",0.0841,0.0701,0.1964
"2023-10-02 6",0.09,0.0698,0.2228
"2023-10-02 7",0.0891,0.0934,0.1909
"2023-10-02 8",0.1123,0.08,0.1819
"2023-10-02 9",0.0912,0.091,0.1855
"2023-10-02 10",0.1208,0.0765,0.1663
"2023-10-02 11",0.0944,0.0798,0.1289
"2023-10-02 12",0.0781,0.0634,0.1555
"2023-10-02 13",0.0741,0.056,0.1857
"2023-10-02 14",0.1363,0.1108,0.1596
"2023-10-02 15",0.1656,0.1016,0.1481
"2023-10-02 16",0.1124,0.0772,0.1509
"2023-10-02 17",0.1583,0.0947,0.1913
"2023-10-02 23",0.1132,0.2103,0.1834
"2023-10-03 0",0.0427,0.1433,0.1176
"2023-10-03 1",0.0704,0.1167,0.166
"2023-10-03 4",0.1472,0.1471,0.0757
"2023-10-03 5",0.0443,0.123,0.1491
"2023-10-03 6",0.1611,0.1212,0.1957
"2023-10-03 7",0.1944,0.1688,0.2377
"2023-10-03 8",0.1832,0.14,0.1134
"2023-10-03 9",0.1542,0.1463,0.2423
"2023-10-03 10",0.0844,0.0827,0.1302
"2023-10-03 11",0.1287,0.0808,0.1223
"2023-10-03 12",0.2181,0.0895,0.1302
"2023-10-03 13",0.1849,0.1107,0.1182
"2023-10-03 14",0.1387,0.0637,0.1143
"2023-10-03 15",0.1292,0.0898,0.087
"2023-10-03 16",0.0636,0.0737,0.1003
"2023-10-03 17",0.1029,0.0414,0.1134
"2023-10-03 18",0.1314,0.1144,0.1353
"2023-10-03 19",0.1413,0.1185,0.2031
"2023-10-03 20",0.1691,0.1195,0.1962
"2023-10-03 21",0.1545,0.1308,0.1686
"2023-10-03 22",0.1711,0.1312,0.2568
"2023-10-03 23",0.145,0.1574,0.0314
"2023-10-04 2",0.1068,0.1643,0.2423
"2023-10-04 3",0.0789,0.1417,0.1962
"2023-10-04 4",0.0657,0.0985,0.1225
"2023-10-04 5",0.1016,0.0798,0.2328
"2023-10-04 6",0.1236,0.1001,0.195
"2023-10-04 7",0.1922,0.1512,0.2184
"2023-10-04 8",0.2176,0.1707,0.307
"2023-10-04 9",0.1506,0.1402,0.1732
"2023-10-04 10",0.1627,0.14,0.1642
"2023-10-04 11",0.1068,0.1895,0.0993
"2023-10-04 12",0.0797,0.0911,0.0732
"2023-10-04 13",0.1223,0.0709,0.0691
"2023-10-04 14",0.2031,0.0765,0.0721
"2023-10-04 15",0.1519,0.0804,0.0747
"2023-10-04 16",0.0958,0.0688,0.0773
"2023-10-04 17",0.1384,0.0988,0.1029
"2023-10-04 18",0.1036,0.0965,0.1177
"2023-10-04 19",0.1268,0.0929,0.107
"2023-10-04 20",0.3466,0.166,0.5429
"2023-10-04 21",0.3086,0.2225,0.6661
"2023-10-04 22",0.3164,0.1478,0.616
"2023-10-04 23",0.2382,0.1727,0.0453
"2023-10-05 0",0.269,0.1701,0.4996
"2023-10-05 1",0.1706,0.1445,0.4073
"2023-10-05 4",0.3766,0.2185,0.1497
"2023-10-05 5",0.4435,0.2604,0.1282
"2023-10-05 6",0.5396,0.2271,0.1212
"2023-10-05 7",0.4006,0.2576,0.5244
"2023-10-05 8",0.3653,0.2533,0.4794
"2023-10-05 9",0.3404,0.2422,0.0772
"2023-10-05 10",0.1371,0.1744,0.1446
"2023-10-05 11",0.0999,0.1299,0.1473
"2023-10-05 12",0.1063,0.0847,0.0914
"2023-10-05 13",0.0952,0.0726,0.0896
"2023-10-05 14",0.1293,0.0995,0.1241
"2023-10-05 15",0.1,0.0959,0.1166
"2023-10-05 16",0.1078,0.0284,0.1184
"2023-10-05 17",0.1358,0.0818,0.0967
"2023-10-05 18",0.1844,0.0978,0.0793
"2023-10-05 19",0.1542,0.1205,0.1172
"2023-10-05 20",0.216,0.1256,0.1548
"2023-10-05 21",0.3665,0.2541,0.3132
"2023-10-05 22",0.5074,0.2906,0.3722
"2023-10-05 23",0.3736,0.2706,0.4134
"2023-10-06 2",0.4861,0.3535,0.1538
"2023-10-06 3",0.475,0.2911,0.186
"2023-10-06 4",0.3916,0.253,0.5369
"2023-10-06 5",0.3591,0.2517,0.4359
"2023-10-06 6",0.4079,0.2824,0.4577
"2023-10-06 7",0.4642,0.3164,0.5557
"2023-10-06 8",0.3083,0.2852,0.4423
"2023-10-06 9",0.2181,0.2405,0.1873
"2023-10-06 10",0.1126,0.7841,0.2571
"2023-10-06 11",0.0928,0.1594,0.1006
"2023-10-06 12",0.1111,0.0965,0.1185
"2023-10-06 13",0.131,0.2074,0.1225
"2023-10-06 14",0.1126,0.143,0.1358
"2023-10-06 15",0.1387,0.096,0.1422
"2023-10-06 16",0.125,0.0903,0.0928
"2023-10-06 17",0.2063,0.0844,0.0916
"2023-10-06 18",0.1976,0.091,0.1013
"2023-10-06 19",0.1527,0.1538,0.209
"2023-10-06 20",0.4803,0.2384,0.3612
"2023-10-06 21",0.4998,0.2926,0.3545
"2023-10-06 22",0.466,0.2954,0.0947
"2023-10-06 23",0.3006,0.2422,0.1272
"2023-10-07 0",0.2577,0.2297,0.4521
"2023-10-07 1",0.1865,0.1814,0.032
"2023-10-07 4",0.1343,0.2709,0.2743
"2023-10-07 5",0.1698,0.2167,0.1358
"2023-10-07 6",0.2746,0.2635,0.0407
"2023-10-07 7",0.3249,0.3137,0.0599
"2023-10-07 8",0.2919,0.2985,0.2972
"2023-10-07 10",0.0904,0.2725,0.164
"2023-10-07 11",0.0324,0.2771,0.2458
"2023-10-07 12",0.0614,0.2249,0.1785
"2023-10-07 13",0.0598,0.1131,0.1427
"2023-10-07 14",0.058,0.1532,0.1515
"2023-10-07 15",0.1074,0.0949,0.1437
"2023-10-07 16",0.0918,0.0995,0.1638
"2023-10-07 17",0.1219,0.1098,0.1663
"2023-10-07 18",0.2358,0.123,0.1548
"2023-10-07 19",0.2186,0.1617,0.201
"2023-10-07 20",0.509,0.2919,0.3834
"2023-10-07 21",0.4361,0.3274,0.4167
"2023-10-08 0",0.2154,0.1947,0.3088
"2023-10-08 4",0.1034,0.243,0.3062
"2023-10-08 5",0.1158,0.2412,0.2804
"2023-10-08 6",0.138,0.2423,0.2906
"2023-10-08 7",0.1632,0.211,0.188
"2023-10-08 8",0.1543,0.2198,0.1822
"2023-10-08 9",0.2229,0.1931,0.1606
"2023-10-08 10",0.1513,0.1528,0.1392
"2023-10-08 11",0.0899,0.133,0.1082
"2023-10-08 12",0.0234,0.1594,0.1249
"2023-10-08 13",0.0565,0.1455,0.1545
"2023-10-08 14",0.054,0.2656,0.2366
"2023-10-08 15",0.1616,0.1965,0.1895
"2023-10-08 16",0.1857,0.0698,0.1689
"2023-10-08 17",0.2468,0.1327,0.1658
"2023-10-08 18",0.2887,0.1822,0.1461
"2023-10-08 19",0.5731,0.3646,0.5314
