Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",6360,6360,6360
"Valid Ambient Hours (N)",5056,5056,5056
"Valid Ambient Recovery","79.496855345912 %","79.496855345912 %","79.496855345912 %"
Mean,0.6154,0.2158,0.1138
Median,0.1058,0.1561,0.0807
Deviation,9.8614,0.2412,0.2955

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-01 2",0.0479,0,0
"2025-01-01 3",0.0713,0,0
"2025-01-01 4",0.0716,0,0
"2025-01-01 5",0.0509,0,0
"2025-01-01 6",0.0211,0,0
"2025-01-01 7",0.038,0,0
"2025-01-01 8",0.0264,0,0
"2025-01-01 9",0.0477,0,0
"2025-01-01 10",0,0,0
"2025-01-01 11",0.0295,0,0
"2025-01-01 12",0,0,0
"2025-01-01 13",0,0,0
"2025-01-01 14",0.0218,0,0
"2025-01-01 15",0.0223,0,0.0179
"2025-01-01 16",0,0,0
"2025-01-01 17",0,0,0
"2025-01-01 18",0.1002,0,0
"2025-01-01 19",0.1206,0,0
"2025-01-01 20",0.09,0,0
"2025-01-01 21",0.0575,0,0
"2025-01-01 22",0.0507,0,0
"2025-01-01 23",0.0309,0,0
"2025-01-02 0",0.0389,0,0
"2025-01-02 1",0.0513,0,0
"2025-01-02 4",0.0957,0,0.0191
"2025-01-02 5",0.0252,0,0
"2025-01-02 6",0,0,0
"2025-01-02 7",0,0,0
"2025-01-02 8",0.0272,0,0
"2025-01-02 9",0.2744,0.098,0.0534
"2025-01-02 10",0.1193,0,0.0259
"2025-01-02 11",0.0879,0,0
"2025-01-02 12",0.0439,0,0.022
"2025-01-02 13",0,0,0.0443
"2025-01-02 14",0,0,0.033
"2025-01-02 15",0,0,0
"2025-01-02 16",0.0431,0,0.0254
"2025-01-02 17",0.0818,0,0.0215
"2025-01-02 18",0.1208,0,0.0235
"2025-01-02 19",0.082,0,0.0275
"2025-01-02 20",0.0773,0,0
"2025-01-02 21",0.077,0,0
"2025-01-02 22",0.0895,0,0
"2025-01-02 23",0.0748,0,0.0225
"2025-01-03 2",0,0,0
"2025-01-03 3",0.0334,0,0
"2025-01-03 4",0.0663,0,0
"2025-01-03 5",0.0929,0,0.0225
"2025-01-03 6",0.0364,0,0
"2025-01-03 7",0.0631,0,0
"2025-01-03 8",0.0666,0,0
"2025-01-03 9",0.0609,0,0
"2025-01-03 10",0.042,0,0
"2025-01-03 11",0.0563,0,0.0192
"2025-01-03 14",0.0731,0,0
"2025-01-03 15",0.1077,0,0
"2025-01-03 16",0.1438,0,0
"2025-01-03 17",0.0441,0,0.0311
"2025-01-03 18",0.2197,0,0.0462
"2025-01-03 19",0,0,0
"2025-01-03 20",0.0204,0,0
"2025-01-03 21",0,0,0.0173
"2025-01-03 22",0,0,0
"2025-01-03 23",0,0,0.0287
"2025-01-04 0",0,0,0
"2025-01-04 1",0,0,0
"2025-01-04 4",0,0,0
"2025-01-04 5",0,0,0
"2025-01-04 6",0,0,0.0244
"2025-01-04 7",0,0,0
"2025-01-04 8",0.0348,0,0
"2025-01-04 9",0,0,0.0237
"2025-01-04 10",0.2061,0.0525,0.0275
"2025-01-04 11",0,0,0
"2025-01-04 12",0.0709,0,0.0324
"2025-01-04 13",0.0257,0,0.0271
"2025-01-04 14",0,0,0
"2025-01-04 15",0.0207,0,0
"2025-01-04 16",0.0188,0,0
"2025-01-04 17",0.1104,0,0
"2025-01-04 18",0.1161,0.0397,0.0311
"2025-01-04 19",0.2594,0.0486,0.0352
"2025-01-04 20",0.3583,0.0812,0.1264
"2025-01-04 23",0.1638,0,0.0273
"2025-01-05 3",0.1393,0,0.0196
"2025-01-05 4",0.1004,0,0
"2025-01-05 5",0.1758,0.108,0.0328
"2025-01-05 6",0.1143,0,0.0242
"2025-01-05 7",0.1049,0.0233,0.0232
"2025-01-05 8",0.1565,0.0529,0.1215
"2025-01-05 9",0.089,0,0
"2025-01-05 10",0.0884,0,0
"2025-01-05 11",0.065,0,0
"2025-01-05 12",0.0427,0,0
"2025-01-05 13",0.0388,0,0
"2025-01-05 14",0.0202,0,0
"2025-01-05 15",0.0216,0,0
"2025-01-05 16",0.0234,0,0
"2025-01-05 17",0.0609,0,0
"2025-01-05 18",0.0986,0,0
"2025-01-05 19",0.1,0,0
"2025-01-05 20",0.1433,0,0.0271
"2025-01-05 21",0.0982,0,0.0237
"2025-01-05 22",0.0704,0,0.0283
"2025-01-05 23",0.0556,0,0
"2025-01-06 0",0.1027,0,0
"2025-01-06 1",0.0854,0,0
"2025-01-06 4",0.082,0,0
"2025-01-06 5",0.1352,0,0
"2025-01-06 6",0.0766,0,0
"2025-01-06 7",0.0831,0,0
"2025-01-06 8",0.0906,0,0
"2025-01-06 9",0.0597,0,0
"2025-01-06 10",0.0479,0,0
"2025-01-06 11",0.0441,0,0
"2025-01-06 12",0.0507,0,0.0266
"2025-01-06 13",0.0375,0,0
"2025-01-06 14",0.0239,0,0
"2025-01-06 15",0.0298,0,0
"2025-01-06 16",0,0,0
"2025-01-06 17",0.0211,0,0
"2025-01-06 18",0.0254,0,0
"2025-01-06 19",0,0,0
"2025-01-06 20",0,0,0
"2025-01-06 21",0,0,0
"2025-01-06 22",0,0,0
"2025-01-06 23",0,0,0
"2025-01-07 2",0.0432,0,0
"2025-01-07 3",0.0302,0,0
"2025-01-07 4",0.0654,0,0
"2025-01-07 5",0.0431,0,0
"2025-01-07 6",0.1166,0,0
"2025-01-07 7",0.2615,0,0
"2025-01-07 8",0.0732,0.1166,0.0922
"2025-01-07 9",0.1888,0,0
"2025-01-07 10",0.0741,0,0
"2025-01-07 11",0,0,0
"2025-01-07 12",0,0.0182,0
"2025-01-07 13",0,0,0
"2025-01-07 14",0,0,0
"2025-01-07 15",0.0216,0,0
"2025-01-07 16",0.0261,0,0
"2025-01-07 17",0.0266,0,0
"2025-01-07 18",0,0,0
"2025-01-07 19",0,0,0
"2025-01-07 20",0.0865,0,0
"2025-01-07 21",0.2136,0,0
"2025-01-07 22",0.0393,0,0
"2025-01-07 23",0.0327,0,0
"2025-01-08 0",0.075,0,0
"2025-01-08 1",0.0561,0,0
"2025-01-08 4",0.0604,0,0
"2025-01-08 5",0.3798,0.0518,0.0311
"2025-01-08 6",0.2379,0.1545,0.1497
"2025-01-08 7",0.3276,0.0872,0.1087
"2025-01-08 8",0.1509,0,0
"2025-01-08 9",0.2194,0.1161,0.0841
"2025-01-08 10",0.1352,0.0488,0
"2025-01-08 11",0.04,0,0
"2025-01-08 12",0.0214,0,0.0252
"2025-01-08 13",0,0,0
"2025-01-08 14",0,0,0
"2025-01-08 15",0,0,0
"2025-01-08 16",0,0,0
"2025-01-08 17",0.0264,0,0
"2025-01-08 18",0.0431,0,0
"2025-01-08 19",0.0386,0,0
"2025-01-08 20",0.0379,0,0
"2025-01-08 21",0.0263,0,0
"2025-01-08 22",0.0448,0,0
"2025-01-08 23",0.0475,0,0
"2025-01-09 2",0,0,0
"2025-01-09 3",0.0216,0,0
"2025-01-09 4",0.0348,0,0
"2025-01-09 5",0.0411,0,0
"2025-01-09 6",0.1113,0,0
"2025-01-09 7",0.04,0,0
"2025-01-09 8",0.268,0,0
"2025-01-09 9",0,0,0
"2025-01-09 10",0,0,0
"2025-01-09 11",0,0,0.0233
"2025-01-09 12",0,0,0
"2025-01-09 13",0,0,0
"2025-01-09 14",0,0,0
"2025-01-09 15",0,0,0.0187
"2025-01-09 16",0,0,0
"2025-01-09 17",0.0561,0,0
"2025-01-09 18",0.064,0,0
"2025-01-09 19",0.1972,0,0.0287
"2025-01-09 20",0.1454,0,0
"2025-01-09 21",0.1781,0,0
"2025-01-09 22",0.1926,0,0
"2025-01-09 23",0.0804,0,0
"2025-01-10 0",0.2821,0.058,0.1384
"2025-01-10 1",0.112,0.0728,0.1095
"2025-01-10 4",0.2026,0.1147,0.058
"2025-01-10 5",0.1013,0,0
"2025-01-10 6",0.1161,0,0
"2025-01-10 7",0.1127,0,0
"2025-01-10 8",0.2056,0,0
"2025-01-10 9",0.125,0,0
"2025-01-10 10",BK,BK,BK
"2025-01-10 14",0,0,0.0822
"2025-01-10 15",0,0,0
"2025-01-10 16",0,0,0
"2025-01-10 17",0,0,0
"2025-01-10 18",0.0268,0,0
"2025-01-10 19",0.0327,0,0
"2025-01-10 20",0.0214,0,0.0204
"2025-01-10 21",0,0,0
"2025-01-10 22",0,0,0.0199
"2025-01-10 23",0.0238,0,0
"2025-01-11 2",0.0368,0,0
"2025-01-11 3",0,0,0.0179
"2025-01-11 4",0,0,0
"2025-01-11 5",0,0,0
"2025-01-11 6",0,0,0
"2025-01-11 7",0,0,0
"2025-01-11 8",0.0491,0,0
"2025-01-11 9",0,0,0
"2025-01-11 10",0.0341,0,0
"2025-01-11 11",0,0,0
"2025-01-11 12",0,0,0
"2025-01-11 13",0,0,0
"2025-01-11 14",0.0238,0,0
"2025-01-11 15",0,0,0
