Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",6360,6360,6360
"Valid Ambient Hours (N)",5373,5310,5310
"Valid Ambient Recovery","84.481132075472 %","83.490566037736 %","83.490566037736 %"
Mean,0.9771,0.7424,0.1651
Median,0.1366,0.7067,0.129
Deviation,2.117,0.2661,0.17

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-01 2",0.0942,0.3978,0
"2025-01-01 3",0.0935,0.4616,0
"2025-01-01 4",0.095,0.4249,0
"2025-01-01 5",0.0775,0.474,0
"2025-01-01 6",0.1092,0.475,0
"2025-01-01 7",0.1081,0.3375,0
"2025-01-01 8",0.1252,0.5132,0.121
"2025-01-01 9",0.1208,0.3255,0.1135
"2025-01-01 10",0.1303,0.2948,0
"2025-01-01 11",0.114,0.3567,0
"2025-01-01 14",0.1079,0.4493,0.0835
"2025-01-01 15",0.1117,0.5187,0
"2025-01-01 16",0.1449,0.306,0
"2025-01-01 17",0.0929,0.491,0
"2025-01-01 18",0.0978,0.4993,0
"2025-01-01 19",0.0912,0.5055,0
"2025-01-01 20",0.0792,0.5256,0
"2025-01-01 21",0.0935,0.4502,0
"2025-01-01 22",0.094,0.4622,0
"2025-01-01 23",0.1009,0.4404,0.0984
"2025-01-02 0",0.1083,0.3025,0
"2025-01-02 1",0.0978,0.4837,0
"2025-01-02 4",0.0807,0.2167,0.1251
"2025-01-02 5",0.0902,0.4315,0.1326
"2025-01-02 6",0.0874,0.475,0.1359
"2025-01-02 7",0.0975,0.4539,0.1208
"2025-01-02 8",0.147,0.3203,0.1135
"2025-01-02 9",0.125,0.15,0.1444
"2025-01-02 10",0.1001,0.4904,0.0849
"2025-01-02 11",0.0771,0.4558,0.0851
"2025-01-02 12",0.0767,0.4842,0.1073
"2025-01-02 13",0.0982,0.537,0.1458
"2025-01-02 14",0.0874,0.4906,0.1365
"2025-01-02 15",0.1001,0.5071,0.0967
"2025-01-02 16",0.1467,0.5718,0.1222
"2025-01-02 17",0.0995,0.4518,0.1204
"2025-01-02 18",0.0857,0.4984,0
"2025-01-02 19",0.0978,0.4796,0
"2025-01-02 20",0.0849,0.4829,0
"2025-01-02 21",0.0952,0.4529,0
"2025-01-02 22",0.0819,0.5055,0.0947
"2025-01-02 23",0.0855,0.5063,0
"2025-01-03 2",0.0798,0.4253,0
"2025-01-03 3",0.0794,0.427,0
"2025-01-03 4",0.0912,0.4307,0
"2025-01-03 5",0.1068,0.3501,0
"2025-01-03 6",0.0878,0.4369,0
"2025-01-03 7",0.0925,0.4371,0
"2025-01-03 8",0.0838,0.469,0
"2025-01-03 9",0.1472,0.3754,0.1069
"2025-01-03 10",0.1068,0.5078,0
"2025-01-03 11",0.1231,0.5308,0.0928
"2025-01-03 12",0.1089,0.5248,0
"2025-01-03 13",0.1104,0.5538,0
"2025-01-03 14",0.1294,0.5844,0
"2025-01-03 15",0.1206,0.571,0
"2025-01-03 16",0.1178,0.6368,0
"2025-01-03 17",0.137,0.5691,0
"2025-01-03 18",0.113,0.5852,0
"2025-01-03 19",0.1075,0.5457,0
"2025-01-03 20",0.0967,0.542,0
"2025-01-03 21",0.0982,0.5782,0
"2025-01-03 22",0.1011,0.548,0
"2025-01-03 23",0.1197,0.5415,0
"2025-01-04 0",0.0948,0.538,0
"2025-01-04 13",BK,BK,BK
"2025-01-04 14",BK,BK,BK
"2025-01-04 15",BK,BK,BK
"2025-01-04 16",BK,BK,BK
"2025-01-04 19",0.1003,0.4549,0.1471
"2025-01-04 20",0.0925,0.3895,0.0945
"2025-01-04 23",0.0992,0.3348,0.1156
"2025-01-05 3",0.0868,0.3422,0
"2025-01-05 4",0.0908,0.4351,0.0905
"2025-01-05 5",0.0895,0.4837,0.0893
"2025-01-05 6",0.0838,0.4672,0
"2025-01-05 7",0.0788,0.4817,0
"2025-01-05 8",0.0876,0.5009,0
"2025-01-05 9",0.1066,0.3922,0
"2025-01-05 10",0.1085,0.5049,0
"2025-01-05 11",0.0916,0.4844,0
"2025-01-05 12",0.0855,0.4825,0
"2025-01-05 13",0.1051,0.5643,0
"2025-01-05 14",0.0927,0.5393,0
"2025-01-05 15",0.0887,0.5658,0
"2025-01-05 16",0.0895,0.6109,0
"2025-01-05 17",0.0885,0.5395,0
"2025-01-05 18",0.0938,0.4889,0
"2025-01-05 19",0.091,0.4475,0.0885
"2025-01-05 20",0.0817,0.5241,0
"2025-01-05 21",0.1037,0.4991,0.0996
"2025-01-05 22",0.1011,0.4839,0
"2025-01-05 23",0.0908,0.4595,0
"2025-01-06 0",0,0.5096,0
"2025-01-06 1",0.0817,0.4622,0
"2025-01-06 4",0.0893,0.3741,0.0967
"2025-01-06 5",0.1035,0.4309,0
"2025-01-06 6",0.1098,0.4767,0
"2025-01-06 7",0.1335,0.41,0.1216
"2025-01-06 8",0.0967,0.4817,0
"2025-01-06 9",0.1271,0.4607,0
"2025-01-06 10",0.0952,0.4937,0
"2025-01-06 11",0.1953,0.5092,0.1175
"2025-01-06 12",0.167,0.5761,0
"2025-01-06 13",0.1919,0.6337,0
"2025-01-06 14",0.1934,0.6692,0
"2025-01-06 15",0.1742,0.6901,0.1166
