Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",6360,6360,6360
"Valid Ambient Hours (N)",5329,5326,5326
"Valid Ambient Recovery","83.789308176101 %","83.74213836478 %","83.74213836478 %"
Mean,0.0981,0.145,0.1256
Median,0.0313,0.0762,0.0636
Deviation,0.2037,0.2365,0.2442

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-01 0",0,0,0.0039
"2025-01-01 1",0,0,0
"2025-01-01 4",0,0,0
"2025-01-01 5",0,0.0109,0
"2025-01-01 6",0,0,0
"2025-01-01 7",0,0,0.0267
"2025-01-01 8",0,0.0197,0.0107
"2025-01-01 9",0,0.0042,0
"2025-01-01 10",0,0,0
"2025-01-01 11",0,0,0
"2025-01-01 12",0,0.0061,0.0096
"2025-01-01 13",0,0,0
"2025-01-01 14",0,0.0467,0
"2025-01-01 15",0,0.0138,0.0227
"2025-01-01 16",0,0.0087,0.0454
"2025-01-01 17",0,0.0284,0.0295
"2025-01-01 18",0,0.0035,0.0491
"2025-01-01 19",0,0.0048,0.035
"2025-01-01 20",0,0,0.0889
"2025-01-01 21",0,0,0.0199
"2025-01-01 22",0,0.0118,0
"2025-01-01 23",0,0,0
"2025-01-02 2",0,0,0
"2025-01-02 3",0,0.0138,0.0041
"2025-01-02 4",0,0.0079,0.0218
"2025-01-02 5",0,0,0.0234
"2025-01-02 6",0,0.0096,0
"2025-01-02 7",0,0,0
"2025-01-02 8",0,0,0
"2025-01-02 9",0,0.0177,0.0098
"2025-01-02 10",0.1027,0.0164,0
"2025-01-02 11",0.0675,0.0415,0
"2025-01-02 12",0,0,0
"2025-01-02 13",0,0,0
"2025-01-02 14",0,0.0024,0
"2025-01-02 15",0,0.0413,0
"2025-01-02 16",0,0.0312,0
"2025-01-02 17",0,0.0172,0.0044
"2025-01-02 18",0.038,0.0288,0.0072
"2025-01-02 19",0,0.0325,0
"2025-01-02 20",0,0.009,0
"2025-01-02 21",0,0,0
"2025-01-02 22",0,0,0
"2025-01-02 23",0,0,0
"2025-01-03 0",0,0.005,0
"2025-01-03 1",0,0,0
"2025-01-03 4",0,0.0172,0
"2025-01-03 5",0,0,0.0138
"2025-01-03 6",0,0.0042,0
"2025-01-03 7",0,0.0042,0
"2025-01-03 8",0,0.0048,0.0083
