Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",8040,8040,8040
"Valid Ambient Hours (N)",6002,6002,6002
"Valid Ambient Recovery","74.651741293532 %","74.651741293532 %","74.651741293532 %"
Mean,0.1473,0.1233,0.0692
Median,0.0253,0,0
Deviation,0.3598,0.3343,0.1702

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-02-01 0",AS,AS,AS
"2024-02-01 1",AS,AS,AS
"2024-02-01 4",AS,AS,AS
"2024-02-01 5",AS,AS,AS
"2024-02-01 6",AS,AS,AS
"2024-02-01 7",AS,AS,AS
"2024-02-01 8",AS,AS,AS
"2024-02-01 9",AS,AS,AS
"2024-02-01 10",AS,AS,AS
"2024-02-01 11",AS,AS,AS
"2024-02-01 12",AS,AS,AS
"2024-02-01 13",AS,AS,AS
"2024-02-01 14",AS,AS,AS
"2024-02-01 15",AS,AS,AS
"2024-02-01 16",AS,AS,AS
"2024-02-01 17",AS,AS,AS
"2024-02-01 18",AS,AS,AS
"2024-02-01 19",AS,AS,AS
"2024-02-01 20",AS,AS,AS
"2024-02-01 21",AS,AS,AS
"2024-02-01 22",AS,AS,AS
"2024-02-01 23",AS,AS,AS
"2024-02-02 2",AS,AS,AS
"2024-02-02 3",AS,AS,AS
"2024-02-02 4",AS,AS,AS
"2024-02-02 5",AS,AS,AS
"2024-02-02 6",AS,AS,AS
"2024-02-02 7",AS,AS,AS
"2024-02-02 8",AS,AS,AS
"2024-02-02 9",AS,AS,AS
"2024-02-02 10",AS,AS,AS
"2024-02-02 11",AS,AS,AS
"2024-02-02 12",AS,AS,AS
"2024-02-02 13",AS,AS,AS
"2024-02-02 14",AS,AS,AS
"2024-02-02 15",AS,AS,AS
"2024-02-02 16",AS,AS,AS
"2024-02-02 17",AS,AS,AS
"2024-02-02 18",AS,AS,AS
"2024-02-02 19",AS,AS,AS
"2024-02-02 20",AS,AS,AS
"2024-02-02 21",AS,AS,AS
"2024-02-02 22",AS,AS,AS
"2024-02-02 23",AS,AS,AS
"2024-02-03 0",AS,AS,AS
"2024-02-03 1",AS,AS,AS
"2024-02-03 4",AS,AS,AS
"2024-02-03 5",AS,AS,AS
"2024-02-03 6",AS,AS,AS
"2024-02-03 7",AS,AS,AS
"2024-02-03 8",AS,AS,AS
"2024-02-03 9",AS,AS,AS
"2024-02-03 10",AS,AS,AS
"2024-02-03 11",AS,AS,AS
"2024-02-03 12",AS,AS,AS
"2024-02-03 13",AS,AS,AS
"2024-02-03 14",AS,AS,AS
"2024-02-03 15",AS,AS,AS
"2024-02-03 16",AS,AS,AS
"2024-02-03 17",AS,AS,AS
"2024-02-03 18",AS,AS,AS
"2024-02-03 19",AS,AS,AS
"2024-02-03 20",AS,AS,AS
"2024-02-03 23",AS,AS,AS
"2024-02-04 3",AS,AS,AS
"2024-02-04 4",AS,AS,AS
"2024-02-04 5",AS,AS,AS
"2024-02-04 6",AS,AS,AS
"2024-02-04 7",AS,AS,AS
"2024-02-04 8",AS,AS,AS
"2024-02-04 9",AS,AS,AS
"2024-02-04 10",AS,AS,AS
"2024-02-04 11",AS,AS,AS
"2024-02-04 12",AS,AS,AS
"2024-02-04 13",AS,AS,AS
"2024-02-04 14",AS,AS,AS
"2024-02-04 15",AS,AS,AS
"2024-02-04 16",AS,AS,AS
"2024-02-04 17",AS,AS,AS
"2024-02-04 18",AS,AS,AS
"2024-02-04 19",AS,AS,AS
"2024-02-04 20",AS,AS,AS
"2024-02-04 21",AS,AS,AS
"2024-02-04 22",AS,AS,AS
"2024-02-04 23",AS,AS,AS
"2024-02-05 0",AS,AS,AS
"2024-02-05 1",AS,AS,AS
"2024-02-05 4",AS,AS,AS
"2024-02-05 5",AS,AS,AS
"2024-02-05 6",AS,AS,AS
"2024-02-05 7",AS,AS,AS
"2024-02-05 8",AS,AS,AS
"2024-02-05 9",AS,AS,AS
"2024-02-05 10",AS,AS,AS
"2024-02-05 11",AS,AS,AS
"2024-02-05 12",AS,AS,AS
"2024-02-05 13",AS,AS,AS
"2024-02-05 14",AS,AS,AS
"2024-02-05 15",AS,AS,AS
"2024-02-05 16",AS,AS,AS
"2024-02-05 17",AS,AS,AS
"2024-02-05 18",AS,AS,AS
"2024-02-05 19",AS,AS,AS
"2024-02-05 20",AS,AS,AS
"2024-02-05 21",AS,AS,AS
"2024-02-05 22",AS,AS,AS
"2024-02-05 23",AS,AS,AS
"2024-02-06 2",AT,AT,AT
"2024-02-06 3",AT,AT,AT
"2024-02-06 4",AT,AT,AT
"2024-02-06 5",AT,AT,AT
"2024-02-06 6",AY,AY,AY
"2024-02-06 7",AY,AY,AY
"2024-02-06 8",AS,AS,AS
"2024-02-06 9",AS,AS,AS
"2024-02-06 10",AS,AS,AS
"2024-02-06 11",AS,AS,AS
"2024-02-06 12",AS,AS,AS
"2024-02-06 14",AS,AS,AS
"2024-02-06 15",AS,AS,AS
"2024-02-06 16",AS,AS,AS
"2024-02-06 17",AS,AS,AS
"2024-02-06 18",AS,AS,AS
"2024-02-06 19",AS,AS,AS
"2024-02-06 20",AS,AS,AS
"2024-02-06 21",AS,AS,AS
"2024-02-06 22",AS,AS,AS
"2024-02-06 23",AS,AS,AS
"2024-02-07 0",AS,AS,AS
"2024-02-07 1",AS,AS,AS
"2024-02-07 4",AS,AS,AS
"2024-02-07 5",AS,AS,AS
"2024-02-07 6",AS,AS,AS
"2024-02-07 7",AS,AS,AS
"2024-02-07 8",AS,AS,AS
"2024-02-07 9",AS,AS,AS
"2024-02-07 10",AS,AS,AS
"2024-02-07 11",AS,AS,AS
"2024-02-07 12",AS,AS,AS
"2024-02-07 13",AS,AS,AS
"2024-02-07 14",AS,AS,AS
"2024-02-07 15",AS,AS,AS
"2024-02-07 16",AS,AS,AS
"2024-02-07 17",AS,AS,AS
"2024-02-07 18",AS,AS,AS
"2024-02-07 19",AS,AS,AS
"2024-02-07 20",AS,AS,AS
"2024-02-07 21",AS,AS,AS
"2024-02-07 22",AS,AS,AS
"2024-02-07 23",AS,AS,AS
"2024-02-08 2",0,1.0309,0.8452
"2024-02-08 3",0.0222,0.8045,0.7288
"2024-02-08 4",0.0207,1.2684,0.5824
"2024-02-08 5",0,1.1359,0.5398
"2024-02-08 6",0,0.2316,0.0968
"2024-02-08 7",0.0379,0,0.2047
"2024-02-08 8",0,0.0505,0
"2024-02-08 9",0,0.5268,0.1677
"2024-02-08 10",0.0236,0.6901,0.3071
"2024-02-08 11",0,0.3836,0.1359
"2024-02-08 12",0.0176,0.0633,0.2806
"2024-02-08 13",0,0.0194,0.1888
"2024-02-08 14",0.019,0.0883,0.1716
"2024-02-08 15",0,0.1755,0.2188
"2024-02-08 16",0,0.0887,0.0935
"2024-02-08 17",0.0121,0.2921,0.1738
"2024-02-08 18",0.0827,0.552,0.0576
"2024-02-08 19",0,1.4526,0.3001
"2024-02-08 20",0.0201,2.0816,0.5107
"2024-02-08 21",0.0439,2.9241,0.6161
"2024-02-08 22",0.0316,2.6003,0.7479
"2024-02-08 23",0.0412,3.6929,0.6775
"2024-02-09 0",0.0282,5.4139,0.8378
"2024-02-09 1",0.0169,1.4691,0.6512
"2024-02-09 8",0,0.3767,0.2205
"2024-02-09 9",0.0245,0.2192,0.1742
"2024-02-09 10",0,0.234,0.122
"2024-02-09 11",0,0.1727,0.1429
"2024-02-09 12",0,0.259,0.0635
"2024-02-09 13",0,0.2934,0.1148
"2024-02-09 14",0,0.1675,0
"2024-02-09 15",0,0.1827,0.0846
"2024-02-09 16",0,0.1266,0.1209
"2024-02-09 17",0,0.122,0.0805
"2024-02-09 18",0,0.1372,0.0642
"2024-02-09 19",0.0379,0.3595,0.177
"2024-02-09 20",0.023,3.0476,0.4702
"2024-02-09 21",0.0126,3.9665,1.2816
"2024-02-09 22",0.028,2.9187,1.1196
"2024-02-09 23",0,1.8923,0.6214
"2024-02-10 2",0.018,2.2523,0.8154
"2024-02-10 3",0.0184,1.647,0.7364
"2024-02-10 4",0,2.8734,0.9961
"2024-02-10 5",0.0197,1.1346,0.5004
"2024-02-10 6",0.0098,0.2099,0.1405
"2024-02-10 7",0,1.1616,0.405
"2024-02-10 8",0.0157,0.7656,0.1738
"2024-02-10 9",0,0.371,0.2747
"2024-02-10 10",0,0.167,0.0957
"2024-02-10 16",0,0.1744,0
"2024-02-10 17",0,0.1538,0.0615
"2024-02-10 18",0,0.092,0.1216
"2024-02-10 19",0.0144,0.1264,0.0098
"2024-02-10 20",0.0205,0.0789,0.0344
"2024-02-10 23",0,1.2347,0.3915
"2024-02-11 0",0,0.8123,0.2964
"2024-02-11 1",0,1.3075,0.3891
"2024-02-11 5",0,0.9604,0.2088
"2024-02-11 6",0,0.7721,0.197
"2024-02-11 7",0,1.169,0.2503
"2024-02-11 8",0,0.818,0.2725
"2024-02-11 9",0,0.686,0.1949
"2024-02-11 10",0,0.3441,0.1142
"2024-02-11 11",0,0.2079,0.0581
"2024-02-11 12",0,0.1324,0.1646
"2024-02-11 13",0,0,0.0448
"2024-02-11 14",0,0.0315,0.0722
"2024-02-11 15",0,0.0722,0.0759
"2024-02-11 16",0,0,0.0622
"2024-02-11 17",0,0,0.1155
"2024-02-11 18",0,0.0602,0.0676
"2024-02-12 2",0,0.4002,0.1179
"2024-02-12 3",0,0.1912,0.0639
"2024-02-12 4",0,0.326,0.0546
"2024-02-12 5",0,0.2344,0.1268
"2024-02-12 6",0,0.3573,0.0833
"2024-02-12 7",0.0592,0.3734,0.0779
"2024-02-12 8",0,0.2884,0.0918
"2024-02-12 9",0,0.2734,0.0189
"2024-02-12 10",0,0.159,0.1177
"2024-02-12 11",0,0.2538,0
"2024-02-12 12",0.0232,0.0811,0.1694
"2024-02-12 13",0,0.1185,0.0381
"2024-02-12 14",0,0.1405,0
