Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",8568,8568,8568
"Valid Ambient Hours (N)",4590,4590,4590
"Valid Ambient Recovery","53.571428571429 %","53.571428571429 %","53.571428571429 %"
Mean,0.3932,0.5268,0.3013
Median,0.1677,0.4241,0.1879
Deviation,0.605,0.365,0.442

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-02-06 10",0.1658,0,6.4585
"2025-02-06 11",0,0.5647,0.0145
"2025-02-06 12",0,0.0773,2.1807
"2025-02-06 13",0,0.0307,1.7547
"2025-02-06 14",0.0452,0,0.9008
"2025-02-06 15",0.405,0.059,1.3831
"2025-02-06 16",0.0718,0.018,0.8987
"2025-02-06 18",0.0633,0.0288,2.2293
"2025-02-06 19",0.1563,0.0992,1.1697
"2025-02-06 20",0,1.1763,2.0715
"2025-02-06 21",0,0.3878,1.0945
"2025-02-06 22",0,0.4885,1.1357
"2025-02-06 23",0,0.012,0.9872
"2025-02-07 2",0,0.0406,0.9702
"2025-02-07 3",0,0.1009,0.9691
"2025-02-07 4",0,0,0
"2025-02-07 5",0,0.0909,0.9057
"2025-02-07 6",0,0.1001,0.8763
"2025-02-07 7",0,0.0352,0.0178
"2025-02-07 8",0.0967,0.2254,2.1879
"2025-02-07 9",16.1998,1.1407,2.9298
"2025-02-07 10",0.0131,0.2138,0.8571
"2025-02-07 11",0.1047,0.7943,3.3056
"2025-02-07 12",0.0661,0.7597,2.9869
"2025-02-07 13",0.0729,0.7085,2.7578
"2025-02-07 14",0.1282,0.747,2.5788
"2025-02-07 20",0.099,0.6058,1.793
"2025-02-08 1",0.0756,0.5119,1.4999
"2025-02-08 4",0.1856,0.5784,1.2915
"2025-02-08 5",0.0304,0.6163,1.2003
"2025-02-08 6",0.0376,0.6232,1.149
"2025-02-08 7",0.0123,0.6259,1.0663
"2025-02-08 8",0.019,0.5954,1.0976
"2025-02-08 9",0,0.5745,1.3613
"2025-02-08 10",0,0.5022,1.3261
"2025-02-08 11",0,0.4794,1.4891
"2025-02-08 12",0,0.4127,1.6016
"2025-02-08 13",0,0.3874,1.6172
"2025-02-08 14",0,0.4533,1.7309
"2025-02-08 16",0,0.4338,2.2036
"2025-02-08 17",0,0.3541,1.7243
"2025-02-08 18",0,0.392,1.7238
"2025-02-08 19",0.0156,0.4313,1.6147
"2025-02-08 20",0.0192,0.4777,1.5672
"2025-02-08 23",0.0173,0.4974,1.1181
"2025-02-09 3",0.0826,0.1359,0.1858
"2025-02-09 4",0.0967,0.6979,0.2279
"2025-02-09 5",0.0952,0.5786,1.0131
"2025-02-09 10",0.0897,1.2041,2.9472
"2025-02-09 12",0,0.3998,1.1622
"2025-02-09 13",0,0.3789,1.2886
"2025-02-09 14",0,0.3058,1.3081
"2025-02-09 15",0,0.3037,1.3186
"2025-02-09 16",0,0.3443,1.3534
"2025-02-09 17",0,0.301,1.2677
"2025-02-09 18",0,0.3282,1.2401
"2025-02-09 19",0,0.3516,1.179
"2025-02-09 20",0.0224,0.4172,1.1829
"2025-02-09 21",0.0338,0.4775,1.1191
"2025-02-09 22",0,0.4384,0.9956
"2025-02-09 23",0.0469,0.4286,1.0545
"2025-02-10 8",1.8837,0.8624,1.1146
"2025-02-10 9",0.1149,0.1245,0.1465
"2025-02-10 10",0.1122,0.4296,0.6658
"2025-02-10 11",0.0592,0.3796,0.7241
"2025-02-10 12",0.0464,0.2998,0.9085
"2025-02-10 13",0.043,0.2768,0.8865
"2025-02-10 14",0.0393,0.244,0.9616
"2025-02-10 15",0.0365,0.2779,0.9605
"2025-02-10 16",0.0233,0.2472,0.9937
"2025-02-10 17",0.0444,0.2251,0.957
"2025-02-10 18",0.0641,0.2875,0.8588
"2025-02-10 19",0.1085,0.3524,1.1392
"2025-02-10 20",0.0941,0.346,0.9121
"2025-02-10 21",0.331,0.4336,0.8849
"2025-02-10 22",0.3862,0.4649,0.7665
"2025-02-10 23",0.0657,0.267,0.7194
"2025-02-11 0",0.0452,0.2304,0.718
"2025-02-11 1",0.0454,0.2278,0.7899
"2025-02-11 4",0.0529,0.2215,0.6065
"2025-02-11 5",0.0379,0.2081,0.8195
