site,interval,DATE,Month,Day,Hour,Minute,H2CO,H2CO_30s,H2CO_2min,H2CO_5min,H2O,CH4,NumberOfSecondsInAvg,PhilZero,H2CO_Phil_Zeroes,CH4_Zeros,H2CO_Zero,dt_str,dt,dt_zeroes,H2CO_Values,CH4_Values,H2CO_Zero_Calc,Interpolated_H2CO_Zeroes,H2CO_Corrected
HW,001m,2024-07-15,07,15,00,00,0.118213695,0.14902998,0.112933505,0.17031888,0.048619219,0.002662494,58,TRUE,0.118213695,TRUE,0.118213695,2024-07-15 00:00,2024-07-15 00:00:00,2024-07-15 00:00,,,0.033434264,0.033434264,
HW,001m,2024-07-15,07,15,00,02,2.260034745,2.318543017,1.09593314,0.488122539,1.091267558,1.925923589,56,FALSE,,FALSE,,2024-07-15 00:02,2024-07-15 00:02:00,,2.260034745,1.925923589,,0.034602954,2.225431791
HW,001m,2024-07-15,07,15,00,03,2.505140644,2.403079785,2.170486336,0.947616797,1.125118479,1.9253925,57,FALSE,,FALSE,,2024-07-15 00:03,2024-07-15 00:03:00,,2.505140644,1.9253925,,0.035771644,2.469369
HW,001m,2024-07-15,07,15,00,04,2.198841685,2.346142123,2.391674229,1.421562983,1.136609052,1.925068065,57,FALSE,,FALSE,,2024-07-15 00:04,2024-07-15 00:04:00,,2.198841685,1.925068065,,0.036940334,2.161901351
HW,001m,2024-07-15,07,15,00,05,2.54739335,2.343126009,2.36783761,1.848656419,1.124067772,1.923983715,55,FALSE,,FALSE,,2024-07-15 00:05,2024-07-15 00:05:00,,2.54739335,1.923983715,,0.038109024,2.509284325
HW,001m,2024-07-15,07,15,00,06,2.53972345,2.587508828,2.433099173,2.325455705,1.149205995,1.92666509,56,FALSE,,FALSE,,2024-07-15 00:06,2024-07-15 00:06:00,,2.53972345,1.92666509,,0.039277715,2.500445735
HW,001m,2024-07-15,07,15,00,07,2.89122663,2.748133724,2.605302794,2.457569406,1.177508373,1.925970533,56,FALSE,,FALSE,,2024-07-15 00:07,2024-07-15 00:07:00,,2.89122663,1.925970533,,0.040446405,2.850780225
HW,001m,2024-07-15,07,15,00,08,2.629357409,2.780594754,2.730612928,2.553505016,1.16058341,1.92694147,56,FALSE,,FALSE,,2024-07-15 00:08,2024-07-15 00:08:00,,2.629357409,1.92694147,,0.041615095,2.587742314
HW,001m,2024-07-15,07,15,00,09,2.687796505,2.621840257,2.731081159,2.592599655,1.142209779,1.926068004,56,FALSE,,FALSE,,2024-07-15 00:09,2024-07-15 00:09:00,,2.687796505,1.926068004,,0.042783785,2.64501272
HW,001m,2024-07-15,07,15,00,10,2.524205259,2.649506284,2.638209828,2.662400126,1.162014282,1.930436491,56,FALSE,,FALSE,,2024-07-15 00:10,2024-07-15 00:10:00,,2.524205259,1.930436491,,0.043952475,2.480252784
HW,001m,2024-07-15,07,15,00,11,2.652658046,2.636350317,2.633649198,2.672593067,1.166412176,1.927372649,57,FALSE,,FALSE,,2024-07-15 00:11,2024-07-15 00:11:00,,2.652658046,1.927372649,,0.045121165,2.607536881
HW,001m,2024-07-15,07,15,00,12,2.481955868,2.469412103,2.591885471,2.657056359,1.155463865,1.92652159,56,FALSE,,FALSE,,2024-07-15 00:12,2024-07-15 00:12:00,,2.481955868,1.92652159,,0.046289855,2.435666013
HW,001m,2024-07-15,07,15,00,13,2.210005226,2.24822764,2.414384035,2.546139507,1.051330791,1.925506781,57,FALSE,,FALSE,,2024-07-15 00:13,2024-07-15 00:13:00,,2.210005226,1.925506781,,0.047458545,2.162546681
HW,001m,2024-07-15,07,15,00,14,2.694243201,2.517719042,2.332424374,2.497393924,1.069122854,1.925270424,56,FALSE,,FALSE,,2024-07-15 00:14,2024-07-15 00:14:00,,2.694243201,1.925270424,,0.048627235,2.645615966
HW,001m,2024-07-15,07,15,00,15,2.685981742,2.80964954,2.614732047,2.537278054,1.147074018,1.925900702,56,FALSE,,FALSE,,2024-07-15 00:15,2024-07-15 00:15:00,,2.685981742,1.925900702,,0.049795925,2.636185816
HW,001m,2024-07-15,07,15,00,16,2.319715589,2.312490764,2.620695659,2.492561035,1.110403599,1.925616205,56,FALSE,,FALSE,,2024-07-15 00:16,2024-07-15 00:16:00,,2.319715589,1.925616205,,0.050964615,2.268750974
