time_local,Isoprene,Alphapinene,Betapinene
2024-07-14 18:00:00-06:00,0.39456,,
2024-07-14 18:15:00-06:00,,,
2024-07-14 18:30:00-06:00,,,
2024-07-14 18:45:00-06:00,,,
2024-07-14 19:00:00-06:00,0.61238,,
2024-07-14 19:15:00-06:00,,,
2024-07-14 19:30:00-06:00,,,
2024-07-14 19:45:00-06:00,,,
2024-07-14 20:00:00-06:00,2.18782,,
2024-07-14 20:15:00-06:00,,,
2024-07-14 20:30:00-06:00,,,
2024-07-14 20:45:00-06:00,,,
2024-07-14 21:00:00-06:00,3.2791200000000003,,
2024-07-14 21:15:00-06:00,,,
2024-07-14 21:30:00-06:00,,,
2024-07-14 21:45:00-06:00,,,
2024-07-14 22:00:00-06:00,1.52428,,
2024-07-14 22:15:00-06:00,,,
2024-07-14 22:30:00-06:00,,,
2024-07-14 22:45:00-06:00,,,
2024-07-14 23:00:00-06:00,0.64306,,
2024-07-14 23:15:00-06:00,,,
2024-07-14 23:30:00-06:00,,,
2024-07-14 23:45:00-06:00,,,
2024-07-15 00:00:00-06:00,,,
2024-07-15 00:15:00-06:00,,,
2024-07-15 00:30:00-06:00,,,
2024-07-15 00:45:00-06:00,,,
2024-07-15 01:00:00-06:00,,,
2024-07-15 01:15:00-06:00,,,
2024-07-15 01:30:00-06:00,,,
2024-07-15 01:45:00-06:00,,,
2024-07-15 02:00:00-06:00,0.0237,,
2024-07-15 02:15:00-06:00,,,
2024-07-15 02:30:00-06:00,,,
2024-07-15 02:45:00-06:00,,,
2024-07-15 03:00:00-06:00,0.08036,,
2024-07-15 03:15:00-06:00,,,
2024-07-15 03:30:00-06:00,,,
2024-07-15 03:45:00-06:00,,,
2024-07-15 04:00:00-06:00,0.0739,,
2024-07-15 04:15:00-06:00,,,
2024-07-15 04:30:00-06:00,,,
2024-07-15 04:45:00-06:00,,,
2024-07-15 05:00:00-06:00,0.05904,,
2024-07-15 05:15:00-06:00,,,
2024-07-15 05:30:00-06:00,,,
2024-07-15 05:45:00-06:00,,,
2024-07-15 06:00:00-06:00,0.07176,,
2024-07-15 06:15:00-06:00,,,
2024-07-15 06:30:00-06:00,,,
2024-07-15 06:45:00-06:00,,,
2024-07-15 07:00:00-06:00,0.19382,,
2024-07-15 07:15:00-06:00,,,
2024-07-15 07:30:00-06:00,,,
2024-07-15 07:45:00-06:00,,,
2024-07-15 08:00:00-06:00,0.45974000000000004,,
2024-07-15 08:15:00-06:00,,,
2024-07-15 08:30:00-06:00,,,
2024-07-15 08:45:00-06:00,,,
2024-07-15 09:00:00-06:00,0.26705999999999996,,
2024-07-15 09:15:00-06:00,,,
2024-07-15 09:30:00-06:00,,,
2024-07-15 09:45:00-06:00,,,
2024-07-15 10:00:00-06:00,0.1022,,
2024-07-15 10:15:00-06:00,,,
2024-07-15 10:30:00-06:00,,,
2024-07-15 10:45:00-06:00,,,
2024-07-15 11:00:00-06:00,0.06183999999999999,,
2024-07-15 11:15:00-06:00,,,
2024-07-15 11:30:00-06:00,,,
2024-07-15 11:45:00-06:00,,,
2024-07-15 12:00:00-06:00,0.1479,,
2024-07-15 12:15:00-06:00,,,
2024-07-15 12:30:00-06:00,,,
2024-07-15 12:45:00-06:00,,,
2024-07-15 13:00:00-06:00,0.16255999999999998,,
2024-07-15 13:15:00-06:00,,,
2024-07-15 13:30:00-06:00,,,
2024-07-15 13:45:00-06:00,,,
2024-07-15 14:00:00-06:00,0.18660000000000002,,
2024-07-15 14:15:00-06:00,,,
2024-07-15 14:30:00-06:00,,,
2024-07-15 14:45:00-06:00,,,
2024-07-15 15:00:00-06:00,0.17509999999999998,,
2024-07-15 15:15:00-06:00,,,
2024-07-15 15:30:00-06:00,,,
2024-07-15 15:45:00-06:00,,,
2024-07-15 16:00:00-06:00,0.14728000000000002,,
2024-07-15 16:15:00-06:00,,,
2024-07-15 16:30:00-06:00,,,
2024-07-15 16:45:00-06:00,,,
2024-07-15 17:00:00-06:00,0.22508,,
2024-07-15 17:15:00-06:00,,,
2024-07-15 17:30:00-06:00,,,
2024-07-15 17:45:00-06:00,,,
2024-07-15 18:00:00-06:00,0.24128,,
2024-07-15 18:15:00-06:00,,,
2024-07-15 18:30:00-06:00,,,
2024-07-15 18:45:00-06:00,,,
2024-07-15 19:00:00-06:00,0.26023999999999997,,
2024-07-15 19:15:00-06:00,,,
2024-07-15 19:30:00-06:00,,,
2024-07-15 19:45:00-06:00,,,
2024-07-15 20:00:00-06:00,0.16358,,
2024-07-15 20:15:00-06:00,,,
2024-07-15 20:30:00-06:00,,,
2024-07-15 20:45:00-06:00,,,
2024-07-15 21:00:00-06:00,1.31266,,
2024-07-15 21:15:00-06:00,,,
2024-07-15 21:30:00-06:00,,,
2024-07-15 21:45:00-06:00,,,
2024-07-15 22:00:00-06:00,0.5748,,
2024-07-15 22:15:00-06:00,,,
2024-07-15 22:30:00-06:00,,,
2024-07-15 22:45:00-06:00,,,
2024-07-15 23:00:00-06:00,0.31568,,
2024-07-15 23:15:00-06:00,,,
2024-07-15 23:30:00-06:00,,,
2024-07-15 23:45:00-06:00,,,
2024-07-16 00:00:00-06:00,0.0967,,
2024-07-16 00:15:00-06:00,,,
2024-07-16 00:30:00-06:00,,,
2024-07-16 00:45:00-06:00,,,
2024-07-16 01:00:00-06:00,0.08548,,
2024-07-16 01:15:00-06:00,,,
2024-07-16 01:30:00-06:00,,,
2024-07-16 01:45:00-06:00,,,
2024-07-16 02:00:00-06:00,,,
2024-07-16 02:15:00-06:00,,,
2024-07-16 02:30:00-06:00,,,
2024-07-16 02:45:00-06:00,,,
2024-07-16 03:00:00-06:00,,,
2024-07-16 03:15:00-06:00,,,
2024-07-16 03:30:00-06:00,,,
2024-07-16 03:45:00-06:00,,,
2024-07-16 04:00:00-06:00,0.0937,,
2024-07-16 04:15:00-06:00,,,
2024-07-16 04:30:00-06:00,,,
2024-07-16 04:45:00-06:00,,,
2024-07-16 05:00:00-06:00,0.05384,,
2024-07-16 05:15:00-06:00,,,
2024-07-16 05:30:00-06:00,,,
2024-07-16 05:45:00-06:00,,,
2024-07-16 06:00:00-06:00,0.06352,,
2024-07-16 06:15:00-06:00,,,
2024-07-16 06:30:00-06:00,,,
2024-07-16 06:45:00-06:00,,,
2024-07-16 07:00:00-06:00,0.20051999999999998,,
2024-07-16 07:15:00-06:00,,,
2024-07-16 07:30:00-06:00,,,
2024-07-16 07:45:00-06:00,,,
2024-07-16 08:00:00-06:00,0.38096,,
2024-07-16 08:15:00-06:00,,,
2024-07-16 08:30:00-06:00,,,
2024-07-16 08:45:00-06:00,,,
2024-07-16 09:00:00-06:00,0.47118000000000004,,
2024-07-16 09:15:00-06:00,,,
2024-07-16 09:30:00-06:00,,,
2024-07-16 09:45:00-06:00,,,
2024-07-16 10:00:00-06:00,0.08925999999999999,,
2024-07-16 10:15:00-06:00,,,
2024-07-16 10:30:00-06:00,,,
2024-07-16 10:45:00-06:00,,,
2024-07-16 11:00:00-06:00,0.06338,,
2024-07-16 11:15:00-06:00,,,
2024-07-16 11:30:00-06:00,,,
2024-07-16 11:45:00-06:00,,,
2024-07-16 12:00:00-06:00,0.05702,,
2024-07-16 12:15:00-06:00,,,
2024-07-16 12:30:00-06:00,,,
2024-07-16 12:45:00-06:00,,,
2024-07-16 13:00:00-06:00,0.12856,,
2024-07-16 13:15:00-06:00,,,
2024-07-16 13:30:00-06:00,,,
2024-07-16 13:45:00-06:00,,,
2024-07-16 14:00:00-06:00,0.17042,,
2024-07-16 14:15:00-06:00,,,
2024-07-16 14:30:00-06:00,,,
2024-07-16 14:45:00-06:00,,,
2024-07-16 15:00:00-06:00,0.19678,,
2024-07-16 15:15:00-06:00,,,
2024-07-16 15:30:00-06:00,,,
2024-07-16 15:45:00-06:00,,,
2024-07-16 16:00:00-06:00,0.21366000000000002,,
2024-07-16 16:15:00-06:00,,,
2024-07-16 16:30:00-06:00,,,
2024-07-16 16:45:00-06:00,,,
2024-07-16 17:00:00-06:00,0.18696,,
2024-07-16 17:15:00-06:00,,,
