Parameter,EPA Species,Standard Unit,CAS Number,USOS Mapping,CRACMM Mapping,CRACMM Lumped,CRACMM Notes,GEOS-Chem Mapping,,CB6r5h Mapping,
43102,Total NMOC,ppbC,,,,,,,,,
43141,n-Dodecane,ppbC,"	112-40-3",,,,,,,,
43202,Ethane,ppbC,74-84-0,Ethane_WAS,ETH,E,,,,ETHA,
43203,Ethylene,ppbC,"	74-85-1",Ethene_WAS,ETE,E,,,,ETH,
43204,Propane,ppbC,74-98-6,Propane_WAS,HC3,L,,,,PRPA,
43205,Propylene,ppbC,115-07-1,Propene_WAS,OLT,L,,,,,
43206,Acetylene,ppbC,74-86-2,Ethyne_WAS,ACE,E,,,,ETHY,
43212,n-Butane,ppbC,106-97-8,nButane_WAS,,,,,,,
43214,Isobutane,ppbC,75-28-5,iButane_WAS,,,,,,,
43216,trans-2-Butene,ppbC,624-64-6,,OLI?,L,"Internal alkene, ask Havala?",,,,
43217,cis-2-Butene,ppbC,590-18-1,,OLI?,L,"Internal alkene, ask Havala?",,,,
43218,"1,3-Butadiene",ppbC,106-99-0,,BDE13,E,,,,,
43220,n-Pentane,ppbC,"	109-66-0",nPentane_WAS,HC5,L,,,,,
43221,Isopentane,ppbC,78-78-4,,HC5?,L,,,,,
43224,1-Pentene,ppbC,109-67-1,,OLT?,L,"Terminal alkene, ask Havala?",,,,
43226,trans-2-Pentene,ppbC,646-04-8,,OLI?,L,"Internal alkene, ask Havala?",,,,
43227,cis-2-Pentene,ppbC,"	627-20-3",,OLI?,L,"Internal alkene, ask Havala?",,,,
43230,3-Methylpentane,ppbC,"	96-14-0",,HC5?,L,,,,,
43231,n-Hexane,ppbC,110-54-3,nHexane_WAS,,,Is HC5 only for 5 carbons? Fit kOH rate,,,,
43232,"n-Heptane	",ppbC,"142-82-5	",nHeptane_WAS,,,,,,,
43233,n-Octane,ppbC,111-65-9,nOctane_WAS,,,,,,,
43235,n-Nonane,ppbC,111-84-2,nNonane_WAS,,,,,,,
43238,n-Decane,ppbC,124-18-5,,HC10,L,,,,,
43242,Cyclopentane,ppbC,287-92-3,,HC5,L,,,,,
43243,Isoprene,ppbC,78-79-5,Isoprene_PTR,ISO,E,,,,ISOP,
43244,"2,2-Dimethylbutane",ppbC,75-83-2,,,,,,,,
43245,1-Hexene,ppbC,"592-41-6	",,OLT?,L,"Terminal alkene, ask Havala?",,,,
43247,"2,4-Dimethylpentane",ppbC,108-08-7,,HC5?,L,,,,,
43248,Cyclohexane,ppbC,"	110-82-7",,HC5?,L,,,,,
43249,3-Methylhexane,ppbC,"589-34-4	",,HC5?,L,,,,,
43250,"2,2,4-Trimethylpentane",ppbC,"	540-84-1",,HC5?,L,,,,,
43252,"2,3,4-Trimethylpentane",ppbC,565-75-3,,HC5?,L,,,,,
43253,3-Methylheptane,ppbC,589-81-1,,HC5?,L,,,,,
43261,Methylcyclohexane,ppbC,108-87-2,,HC5?,L,,,,,
43262,Methylcyclopentane,ppbC,"96-37-7	",,HC5?,L,,,,,
43263,2-Methylhexane,ppbC,591-76-4,,HC5?,L,,,,,
43280,1-Butene,ppbC,106-98-9,,OLT?,L,"Terminal alkene, ask Havala?",,,,
43284,"2,3-Dimethylbutane",ppbC,79-29-8,,HC5?,L,,,,,
43285,2-Methylpentane,ppbC,107-83-5,,HC5?,L,,,,,
43291,"2,3-Dimethylpentane",ppbC,565-59-3,,HC5?,L,,,,,
43502,Formaldehyde,ppbC,50-00-0,HCHO_CRDS,HCHO,E,,,,,
43954,n-Undecane,ppbC,"	1120-21-4",,HC10?,L,,,,,
43960,2-Methylheptane,ppbC,592-27-8,,HC5?,L,,,,,
45109,m/p Xylene,ppbC,,m_p_Xylene_WAS,XYL,L,"Xylenes and other volatile aromatics, representative m-xylene",,,XYL,L
45201,Benzene,ppbC,"	71-43-2",Benzene_PTR,BEN,E,,,,BENZ,
45202,Toluene,ppbC,108-88-3,Toluene_PTR,TOL,E,,,,TOL,L
45203,Ethylbenzene,ppbC,100-41-4,Ethyl_WAS,EBZ,L,,,,XYL,L
45204,o-Xylene,ppbC,95-47-6,o_Xylene_WAS,XYL,L,"Xylenes and other volatile aromatics, representative m-xylene",,,,
45207,"1,3,5-Trimethylbenzene",ppbC,108-67-8,x135_TriMethylBenzene_WAS,,,,,,,
45208,"1,2,4-Trimethylbenzene",ppbC,95-63-6,,,,,,,,
45209,n-Propylbenzene,ppbC,103-65-1,,,,,,,,
45210,Isopropylbenzene,ppbC,"98-82-8	",,,,,,,,
45211,"o-Ethyltoluene	",ppbC,"	611-14-3",,,,,,,,
45212,m-Ethyltoluene,ppbC,"620-14-4	",,,,,,,,
45213,p-Ethyltoluene,ppbC,622-96-8,,,,,,,,
45218,m-Diethylbenzene,ppbC,141-93-5,,,,,,,,
45219,p-Diethylbenzene,ppbC,105-05-5,,,,,,,,
45220,Styrene,ppbC,100-42-5,Styrene_PTR,STY,E,,,,,
45225,"1,2,3-Trimethylbenzene",ppbC,526-73-8,,,,,,,,
