ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
42101,Carbon monoxide,54,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Carbon Monoxide,Parts per million
42101,Carbon monoxide,554,Continuous,INSTRUMENTAL,Gas Filter Correlation Thermo Electron 48i-TLE,Carbon Monoxide,Parts per million
42101,Carbon monoxide,593,Continuous,INSTRUMENTAL,Gas Filter Correlation Teledyne API 300 EU,Carbon Monoxide,Parts per million
42401,Sulfur dioxide,100,Continuous,INSTRUMENTAL,ULTRAVIOLET FLUORESCENCE,Sulfur Dioxide,Parts per billion
42401,Sulfur dioxide,600,Continuous,Instrumental,Ultraviolet Fluorescence API 100 EU,Sulfur Dioxide,Parts per billion
42401,Sulfur dioxide,560,Continuous,INSTRUMENTAL,Pulsed Fluorescent 43C-TLE/43i-TLE,Sulfur Dioxide,Parts per billion
42401,Sulfur dioxide,600,Continuous,Instrumental,Ultraviolet Fluorescence API 100 EU,Sulfur Dioxide,Parts per billion
42600,Reactive oxides of nitrogen (NOy),674,Continuous,Instrumental,"Chemiluminescence Thermo Electron 42C-Y, 42i-Y",NOy,Parts per billion
42600,Reactive oxides of nitrogen (NOy),699,Continuous,Instrumental,Chemiluminescence Teledyne API 200 EU/501,NOy,Parts per billion
42601,Nitric oxide (NO),74,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,NO-NO2-NOx,Parts per billion
42601,Nitric oxide (NO),99,Continuous,INSTRUMENTAL,GAS PHASE CHEMILUMINESCENCE,NO-NO2-NOx,Parts per billion
42601,Nitric oxide (NO),674,Continuous,Instrumental,"Chemiluminescence Thermo Electron 42C-Y, 42i-Y",NO-NO2-NOx,Parts per billion
42601,Nitric oxide (NO),699,Continuous,Instrumental,Chemiluminescence Teledyne API 200 EU/501,NO-NO2-NOx,Parts per billion
42601,Nitric oxide (NO),200,Continuous,Teledyne-API Model 200EUP or T200UP,Photolytic-Chemiluminescence,NO-NO2-NOx,Parts per billion
42601,Nitric oxide (NO),256,Continuous,Instrumental - Teledyne API - Model N500,Cavity-Attenuated Phase-Shift (CAPS) spectroscopy Nitrogen Oxides Analyzer,NO-NO2-NOx,Parts per billion
