Parameter,Var_EPA
43102,Total_NMOC
43141,nDodecane
43202,Ethane
43203,Ethylene
43204,Propane
43205,Propylene
43206,Acetylene
43212,nButane
43214,Isobutane
43216,trans2Butene
43217,cis2Butene
43218,x13_Butadiene
43220,nPentane
43221,Isopentane
43224,1Pentene
43226,trans2Pentene
43227,cis2Pentene
43230,3Methylpentane
43231,nHexane
43232,nHeptane
43233,nOctane
43235,nNonane
43238,nDecane
43242,Cyclopentane
43243,Isoprene
43244,x22_Dimethylbutane
43245,1Hexene
43247,x24_Dimethylpentane
43248,Cyclohexane
43249,3-Methylhexane
43250,x224_Trimethylpentane
43252,x234_Trimethylpentane
43253,3Methylheptane
43261,Methylcyclohexane
43262,Methylcyclopentane
43263,2Methylhexane
43280,1Butene
43284,x23_Dimethylbutane
43285,2Methylpentane
43291,x23_Dimethylpentane
43502,Formaldehyde
43954,nUndecane
43960,2Methylheptane
45109,mp_Xylene
45201,Benzene
45202,Toluene
45203,Ethylbenzene
45204,o_Xylene
45207,x135_TriMethylBenzene
45208,x124_TriMethylBenzene
45209,nPropylbenzene
45210,Isopropylbenzene
45211,o_Ethyltoluene
45212,m_Ethyltoluene
45213,p_Ethyltoluene
45218,m_Diethylbenzene
45219,p_Diethylbenzene
45220,Styrene
45225,x123_TriMethylBenzene
