Index,CRACMM_RO2,Description,Specific Precursor or Category,General Precursor or Category,Notes
0,ISOP,Peroxy radicals formed from ISO (Isoprene) +HO,,Isoprene,
1,MO2,Methyl peroxy radical,,Methylperoxy radicals,
2,ETHP,Peroxy radicals formed from ethane and other species,Ethane,Alkanes,
3,HC3P,Peroxy radicals formed from HC3 (Alkanes and other species with HO rate constant less than 3.4x10<sup>-12</sup> cm<sup>3</sup> s<sup>-1</sup>),,Alkanes,
4,HC5P,Peroxy radicals formed from HC5 (Alkanes and other species with HO rate constant between 3.4x10<sup>-12</sup> and 6.8x10<sup>-12</sup> cm<sup>3</sup> s<sup>-1</sup> ),,Alkanes,
5,ETEP,Peroxy radicals formed from ETE (Ethene),Ethene,Alkenes,
6,OLTP,Peroxy radicals formed from OLT (Terminal alkenes),,Alkenes,
7,OLIP,Peroxy radicals formed from OLI (Internal olefins or alkenes),,Alkenes,
8,BENP,Peroxy radicals formed from benzene,Benzene,Aromatics,
9,TOLP,Peroxy radicals from TOL (Toluene),Toluene,Aromatics,
10,XYLP,Peroxy radicals formed from XYL (Xylene),Xylene,Aromatics,
11,EBZP,Peroxy radicals formed from ethylbenzene,Ethylbenzene,Aromatics,
12,APIP1,Peroxy radicals from API+OH (Alpha-pinenes and other cyclic terpenes with one double bond) that do not undergo autoxidation,Alpha-pinene,Terpenes,
13,APIP2,Peroxy radicals from API+OH (Alpha-pinenes and other cyclic terpenes with one double bond) that undergo autoxidation,Alpha-pinene,Terpenes,
14,APINP1,Peroxy radicals from API+NO3 (Alpha-pinenes and other cyclic terpenes with one double bond) that do not undergo autoxidation,Alpha-pinene,Terpenes,
15,APINP2,Peroxy radicals from API+NO3 (Alpha-pinenes and other cyclic terpenes with one double bond) that undergo autoxidation,Alpha-pinene,Terpenes,
16,LIMP1,Peroxy radicals from LIM+OH (Limonene) that do not undergo autoxidation,Limonene,Terpenes,
17,LIMP2,Peroxy radicals from LIM+OH (Limonene) that undergo autoxidation,Limonene,Terpenes,
18,LIMNP1,Peroxy radicals from LIM (Limonene) +NO3 that do not undergo autoxidation,Limonene,Terpenes,
19,LIMNP2,Peroxy radicals from LIM (Limonene) +NO3 that undergo autoxidation,Limonene,Terpenes,
20,ACO3,Acetyl peroxy radicals,,Peroxyacetyl radicals,
21,RCO3,Higher saturated acyl peroxy radicals,,,
22,ACTP,Peroxy radicals formed from ACT (Acetone),Acetone,Ketones,
23,KETP,Peroxy radicals formed from KET (Ketones),,Ketones,
24,MACP,Peroxy radicals formed from MACR+HO,MACR,Aldehydes,
25,MCP,Peroxy radical formed from MACR + HO which does not form MPAN,MACR,Aldehydes,
26,MVKP,Peroxy radicals formed from MVK,MVK,Ketones,
27,UALP,Peroxy radicals formed from UALD (Unsaturated aldehydes),,Aldehydes,
28,BALP,Peroxy radicals formed from BALD (Benzaldehyde and other aromatic aldehydes),Benzaldehyde,Aromatic aldehydes,Has MW 137.0
29,BAL1,Peroxy radicals formed from BALD (Benzaldehyde and other aromatic aldehydes),Benzaldehyde,Aromatic aldehydes,Has MW 123.0
30,ORAP,Peroxy radical formed from ORA2 (Acetic acid and higher acids) + HO reaction,Acetic Acid,Acetic Acid,
31,BDE13P,"Peroxy radicals from BDE13 (1,3-butadiene)","1,3-butadiene",Dienes,
32,FURANO2,Peroxy radicals from FURAN (Furans and other dienes) oxidation,Furans,Dienes,
