value,removed_from,kept_in
HONIT,hydroperoxides_arr,rono2_arr
HONIT,ovocs_arr,rono2_arr
ISON,ovocs_arr,rono2_arr
TRPN,ovocs_arr,rono2_arr
MTN1,carboxylic_acids_arr,ovocs_arr
ROCN1OXY6,carboxylic_acids_arr,ovocs_arr
ROCN2OXY2,carboxylic_acids_arr,ovocs_arr
ROCN2OXY4,carboxylic_acids_arr,ovocs_arr
ROCP1OXY3,carboxylic_acids_arr,ovocs_arr
APIP2,ovocs_arr,hydroperoxides_arr
ELHOM,ovocs_arr,hydroperoxides_arr
HOM,ovocs_arr,hydroperoxides_arr
INALD,ovocs_arr,hydroperoxides_arr
IPX,ovocs_arr,hydroperoxides_arr
ISHP,ovocs_arr,hydroperoxides_arr
ISO4,ovocs_arr,hydroperoxides_arr
ISO5,ovocs_arr,hydroperoxides_arr
LIMP2,ovocs_arr,hydroperoxides_arr
OP3,ovocs_arr,hydroperoxides_arr
OPB,ovocs_arr,hydroperoxides_arr
