value,removed_from,kept_in
BZPAN,ovocs_arr,rono2_arr
ETHLN,ovocs_arr,rono2_arr
ETHN,ovocs_arr,rono2_arr
ICN,ovocs_arr,rono2_arr
IDN,ovocs_arr,rono2_arr
IHN1,ovocs_arr,rono2_arr
IHN2,ovocs_arr,rono2_arr
IHN3,ovocs_arr,rono2_arr
IHN4,ovocs_arr,rono2_arr
INPB,ovocs_arr,rono2_arr
INPD,hydroperoxides_arr,rono2_arr
IONITA,ovocs_arr,rono2_arr
ITCN,ovocs_arr,rono2_arr
ITHN,hydroperoxides_arr,rono2_arr
ITHN,ovocs_arr,rono2_arr
MCRHN,ovocs_arr,rono2_arr
MCRHNB,ovocs_arr,rono2_arr
MONITA,ovocs_arr,rono2_arr
MONITS,ovocs_arr,rono2_arr
MONITU,ovocs_arr,rono2_arr
MVKN,ovocs_arr,rono2_arr
PROPNN,ovocs_arr,rono2_arr
PRPN,hydroperoxides_arr,rono2_arr
HACTA,carboxylic_acids_arr,ovocs_arr
ATOOH,ovocs_arr,hydroperoxides_arr
ETHP,ovocs_arr,hydroperoxides_arr
HMHP,ovocs_arr,hydroperoxides_arr
HPALD1,ovocs_arr,hydroperoxides_arr
HPALD2,ovocs_arr,hydroperoxides_arr
HPALD3,ovocs_arr,hydroperoxides_arr
HPALD4,ovocs_arr,hydroperoxides_arr
HPETHNL,ovocs_arr,hydroperoxides_arr
IDCHP,ovocs_arr,hydroperoxides_arr
IDHDP,ovocs_arr,hydroperoxides_arr
IHPNBOO,ovocs_arr,hydroperoxides_arr
IHPNDOO,ovocs_arr,hydroperoxides_arr
IHPOO1,ovocs_arr,hydroperoxides_arr
IHPOO2,ovocs_arr,hydroperoxides_arr
IHPOO3,ovocs_arr,hydroperoxides_arr
MCRHP,ovocs_arr,hydroperoxides_arr
MVKHP,ovocs_arr,hydroperoxides_arr
MVKPC,ovocs_arr,hydroperoxides_arr
PIP,ovocs_arr,hydroperoxides_arr
PP,ovocs_arr,hydroperoxides_arr
RIPA,ovocs_arr,hydroperoxides_arr
RIPB,ovocs_arr,hydroperoxides_arr
RIPC,ovocs_arr,hydroperoxides_arr
RIPD,ovocs_arr,hydroperoxides_arr
