value,removed_from,kept_in
NO3CH2CO2H,carboxylic_acids_arr,rono2_arr
NO3CH2CO3H,ovocs_arr,rono2_arr
NOA,ovocs_arr,rono2_arr
C918NO3,ovocs_arr,rono2_arr
C4ME2OHNO3,ovocs_arr,rono2_arr
C42OH,ovocs_arr,rono2_arr
C63NO3,ovocs_arr,rono2_arr
C917NO3,ovocs_arr,rono2_arr
CNO3OCL,ovocs_arr,rono2_arr
NEBNZOLOOH,hydroperoxides_arr,rono2_arr
NEBNZOLOOH,ovocs_arr,rono2_arr
NPETOLOH,ovocs_arr,rono2_arr
NC524OOH,hydroperoxides_arr,rono2_arr
NC524OOH,ovocs_arr,rono2_arr
C51NO324CO,ovocs_arr,rono2_arr
C62NO335CO,ovocs_arr,rono2_arr
PXYMUCNO3,ovocs_arr,rono2_arr
C624NO3,ovocs_arr,rono2_arr
C126NO3,ovocs_arr,rono2_arr
NDNPBZLOOH,hydroperoxides_arr,rono2_arr
NDNPBZLOOH,ovocs_arr,rono2_arr
NDNPETLOOH,hydroperoxides_arr,rono2_arr
NDNPETLOOH,ovocs_arr,rono2_arr
C3NO3COOOH,hydroperoxides_arr,rono2_arr
C3NO3COOOH,ovocs_arr,rono2_arr
MTBKNO3,ovocs_arr,rono2_arr
HNC524CO,ovocs_arr,rono2_arr
C5ONO34OOH,hydroperoxides_arr,rono2_arr
C5ONO34OOH,ovocs_arr,rono2_arr
NPHENOOH,hydroperoxides_arr,rono2_arr
NPHENOOH,ovocs_arr,rono2_arr
C1313NO3,ovocs_arr,rono2_arr
C117NO3,ovocs_arr,rono2_arr
H3M3C5NO3,ovocs_arr,rono2_arr
C89NO3,ovocs_arr,rono2_arr
TM135BPNO3,ovocs_arr,rono2_arr
NC41OOA,ovocs_arr,rono2_arr
METACETNO3,ovocs_arr,rono2_arr
C510OH,ovocs_arr,rono2_arr
BUTAL2NO3,ovocs_arr,rono2_arr
EOX2OLBNO3,ovocs_arr,rono2_arr
CNO3CLOOH,hydroperoxides_arr,rono2_arr
BCBNO3,ovocs_arr,rono2_arr
H3M3C6NO3,ovocs_arr,rono2_arr
HO3C106NO3,ovocs_arr,rono2_arr
C65NO3CO3H,ovocs_arr,rono2_arr
HO3C86NO3,ovocs_arr,rono2_arr
C43NO3CO3H,ovocs_arr,rono2_arr
HO2MC5NO3,ovocs_arr,rono2_arr
NPEBQOOH,hydroperoxides_arr,rono2_arr
NPEBQOOH,ovocs_arr,rono2_arr
C4MNO32OOH,hydroperoxides_arr,rono2_arr
HO3C126NO3,ovocs_arr,rono2_arr
IPNNCATOOH,hydroperoxides_arr,rono2_arr
IPNNCATOOH,ovocs_arr,rono2_arr
C916NO3,ovocs_arr,rono2_arr
C928NO3,ovocs_arr,rono2_arr
INANCO3H,ovocs_arr,rono2_arr
ME3BUOLNO3,ovocs_arr,rono2_arr
C830NO3,ovocs_arr,rono2_arr
INB1NBCO3H,ovocs_arr,rono2_arr
NC623OOH,hydroperoxides_arr,rono2_arr
NC623OOH,ovocs_arr,rono2_arr
C623NO3,ovocs_arr,rono2_arr
NPETLQOOH,hydroperoxides_arr,rono2_arr
NPETLQOOH,ovocs_arr,rono2_arr
HO3C5NO3,ovocs_arr,rono2_arr
MO2EOLBNO3,ovocs_arr,rono2_arr
NBCALOH,ovocs_arr,rono2_arr
NAPINBOOH,hydroperoxides_arr,rono2_arr
NDNOETLOOH,hydroperoxides_arr,rono2_arr
