Index,GEOSChem_RO2,Description,Specific Precursor or Category,General Precursor or Category,InChI,Notes
0,MO2,Methylperoxy radical,,Methylperoxy radicals,,
1,MCO3,Peroxyacetyl radical,,Peroxyacetyl radicals,,
2,ETO2,Ethyldioxy,Ethane,Alkanes,,"Unsure if only/main precursors are alkanes, looked at precursors from  https://mcm.york.ac.uk/MCM/species/C2H5O2"
3,OTHRO2,Other C2 RO2 not from C2H6 oxidation,,,,
4,A3O2,Primary peroxy radical from propane,Propane,Alkanes,"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",
5,PO2,Peroxy radical from propene,Propene,Alkenes,,
6,R7O2,Peroxy radical from Lumped >= C6 Alkanes,,Alkanes,,
7,R7N1,Peroxy radical from C7 Lumped alkyl nitrate,Alkyl nitrates?,,,
8,BUTO2,"peroxy radical from 1,3-butadiene","1,3-butadiene",Dienes,,
9,ACRO2,Peroxy radical from Acrolein,,Aldehydes,,
10,ACO3,Peroxyacetyl radical for APAN (Peroxyacrylic nitric anhydride),,,,
11,ALK4O2,Peroxy radical from Lumped C4+C5 Alkanes,,Alkanes,,
12,ALK4N1,Peroxy radical from Lumped alkyl nitrate from Lumped C4+C5 Alkanes,,Alkanes,,
13,R4O2,"Peroxy radical from isoprene and MTPA (a-pinene, b-pinene, sabinene, carene) alkyl generation (& from Lumped C4+C5 Alkanes)",,"Mix of Isoprene, Monoterpenes, Alkanes",,
14,R4N1,Peroxy radical from Lumped alkyl nitrate,Alkyl nitrates?,,,
15,ATO2,Peroxy radical from acetone,Acetone,Ketones,,
16,KO2,Peroxy radical from >3 ketones,,Ketones,,Products: 0.928 NO2 + 0.919 ALD2 + 0.919 MCO3 + 0.072 ALK4N2
17,B3O2,Isopropyl Peroxy radical ,,,,
18,PRN1,Peroxy radical from propene + NO3,Propene,Alkenes,,
19,RCO3,Peroxypropionyl radical,,,,
20,KO2,Peroxy radical from >3 ketones,,Ketones,,Products: 0.930 NO2 + 0.620 ALD2 + 0.620 MCO3 + 0.070 R4N2 + 0.310 MEKCO3 + 0.310 CH2O
21,GCO3,Peroxyacetyl radical for Peroxyhydroxyacetic nitric anhydride (nitro 2-hydroxyethaneperoxoate),,,,Precursor PHAN in MCM: https://mcm.york.ac.uk/MCM/species/PHAN; has many precursors
22,APINO2,Peroxy radical from APIN,Alpha-pinene,Monoterpenes,,
23,PINO3,Acylperoxy radical from APIN,Alpha-pinene,Monoterpenes,,
24,C96O2,2nd-gen peroxy radical from APIN,Alpha-pinene,Monoterpenes,,
25,BPINO2,Peroxy radical from BPIN,Beta-pinene,Monoterpenes,,
26,BPINOO2,2nd-gen peroxy radical from BPIN,Beta-pinene,Monoterpenes,,
27,LIMO2,Peroxy radical from LIMO,Limonene,Monoterpenes,,
28,LIMKO2,2nd-gen peroxy radical from LIMO,Limonene,Monoterpenes,,
29,LIMO3,Acylperoxy radical from LIMO,Limonene,Monoterpenes,,
30,PIO2,"Peroxy radical from MTPA (a-pinene, b-pinene, sabinene, carene)",Alpha-pinene + Beta-pinene,Monoterpenes,,
31,IHOO1,Peroxy radical from OH addition to isoprene at C1,Isoprene,Isoprene,,Products are NO2 + MVK + HO2 + CH2O
32,IHOO1,Peroxy radical from OH addition to isoprene at C1,Isoprene,Isoprene,,Products are NO2 + 0.45 HC5A + 0.45 HO2 + 0.55 MVKHP + 0.55 CO + 0.55 OH
33,IHOO4,Peroxy radical from OH addition to isoprene at C4,Isoprene,Isoprene,,Products: NO2 + MACR + HO2 +CH2O
34,IHOO4,Peroxy radical from OH addition to isoprene at C4,Isoprene,Isoprene,,Products are NO2 + 0.45 HC5A + 0.45 HO2 + 0.55 MCRHP + 0.55 CO + 0.55 OH
35,IHPOO1,Peroxy radical from ISOPOOH (Isoprene hydroxyhydroperoxides),Isoprene,Isoprene,"InChI=1S/C5H11O6/c1-5(3-6,11-9)4(7)2-10-8/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(3-6,11-9)4(7)2-10-8/h4,6-8H,2-3H2,1H3",
36,IHPOO2,Peroxy radical from ISOPOOH (Isoprene hydroxyhydroperoxides),Isoprene,Isoprene,"InChI=1S/C5H11O6/c1-5(7,3-10-8)4(2-6)11-9/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(7,3-10-8)4(2-6)11-9/h4,6-8H,2-3H2,1H3",
37,IHPOO3,Peroxy radical from ISOPOOH (Isoprene hydroxyhydroperoxides),Isoprene,Isoprene,"InChI=1S/C5H11O6/c1-5(3-7,11-9)4(2-6)10-8/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(3-7,11-9)4(2-6)10-8/h4,6-8H,2-3H2,1H3",
38,ICHOO,Peroxy radical from Delta isoprene epoxydiol,,,"InChI=1S/C5H9O5/c1-5(3-7,10-9)4(8)2-6/h6-7H,2-3H2,1H3","Not on PubChem; Precursor InChIs: InChI=1S/C5H10O3/c1-5(3-8-5)4(7)2-6/h4,6-7H,2-3H2,1H3;InChI=1S/C5H10O3/c1-5(7,3-6)4-2-8-4/h4,6-7H,2-3H2,1H3"
39,ISOPNOO1,"Peroxy radicals from Isoprene-b-1,2-hydroxynitrate",Isoprene,Isoprene,,
40,ISOPNOO2,"Peroxy radicals from Isoprene-b-4,3-hydroxynitrate",Isoprene,Isoprene,,
41,IDHNDOO1,Peroxy radicals from Lumped d-hydroperoxy isoprene nitrates,Isoprene,Isoprene,,
42,IDHNDOO2,Peroxy radicals from Lumped d-hydroperoxy isoprene nitrates,Isoprene,Isoprene,,
43,IDHNBOO,Peroxy radicals from Lumped b-hydroperoxy isoprene nitrates,Isoprene,Isoprene,,
44,INO2B,beta-peroxy radicals from isoprene + NO3,Isoprene,Isoprene,"InChI=1S/C5H8NO5/c1-3-5(2,11-9)4-10-6(7)8/h3H,1,4H2,2H3;InChI=1S/C5H8NO5/c1-4(2)5(11-9)3-10-6(7)8/h5H,1,3H2,2H3",
45,INO2D,delta-peroxy radicals from isoprene + NO3,Isoprene,Isoprene,"InChI=1S/C5H8NO5/c1-5(2-3-11-9)4-10-6(7)8/h2H,3-4H2,1H3;InChI=1S/C5H8NO5/c1-5(2-3-11-9)4-10-6(7)8/h2H,3-4H2,1H3/b5-2+;InChI=1S/C5H8NO5/c1-5(4-11-9)2-3-10-6(7)8/h2H,3-4H2,1H3/b5-2+",
46,IHPNBOO,Peroxy radicals from Lumped b-hydroperoxy isoprene nitrates,Isoprene,Isoprene,,
47,IHPNDOO,Peroxy radicals from Lumped d-hydroperoxy isoprene nitrates,Isoprene,Isoprene,,
48,C4HVP1,C4 hydroxy-vinyl peroxy radicals from hydroperoxyaldehyde,,Aldehydes,,
49,C4HVP2,C4 hydroxy-vinyl peroxy radicals from hydroperoxyaldehyde,,Aldehydes,,
50,MVKOHOO,Peroxy radical from MVK + OH,MVK,Ketones,,
