Label,Category
A3O2,Alkanes - Propane
ACO3,Peroxyacetyl radical
ACRO2,Aldehydes
ALK4N1,Alkanes - C4/C5
ALK4O2,Alkanes - C4/C5
APINO2,Terpenes
AROMCO3,Aromatics
AROMRO2,Aromatics
ATO2,Acetone
B3O2,Alkanes - Propane
BENZO2,Aromatics
BPINO2,Terpenes
BPINOO2,Terpenes
BUTO2,Dienes
BZCO3,Aromatic aldehydes
C4HVP1,Aldehydes
C4HVP2,Aldehydes
C96O2,Terpenes
ETO2,Alkanes - Ethane
ETOO,Alkenes - Ethene
GCO3,Peroxyacetyl radical
ICHOO,Isoprene
IDHNBOO,Isoprene
IDHNDOO1,Isoprene
IDHNDOO2,Isoprene
IDNOO,Isoprene
IEPOXAOO,Isoprene
IEPOXBOO,Isoprene
IHOO1,Isoprene
IHOO1,Isoprene
IHOO4,Isoprene
IHOO4,Isoprene
IHPNBOO,Isoprene
IHPNDOO,Isoprene
IHPOO1,Isoprene
IHPOO2,Isoprene
IHPOO3,Isoprene
INO2B,Isoprene
INO2D,Isoprene
ISOPNOO1,Isoprene
ISOPNOO2,Isoprene
KO2,Ketones
LIMKO2,Terpenes
LIMO2,Terpenes
LIMO3,Terpenes
MACR1OO,Isoprene
MACRNO2,Isoprene
MCO3,Peroxyacetyl radical
MCROHOO,Isoprene
MEKCO3,Ketones
MO2,Methylperoxy radicals
MVKOHOO,Isoprene
NRO2,Aromatics
OLND,Terpenes
OLNN,Terpenes
OTHRO2,Alkanes - C2/no Ethane
PINO3,Terpenes
PIO2,Terpenes
PO2,Alkenes - Propene
PRN1,Alkenes - Propene
R4N1,Alkanes - Alkyl nitrates
R4O2,"Mix of Isoprene, Monoterpenes, Alkanes"
R7N1,Alkanes - C7
R7O2,Alkanes - C6
RCO3,Peroxypropionyl radical
TLFUO2,TLFUO2
TRO2,Aromatics
XRO2,Aromatics
ZRO2,Aromatics
