Index,Varname,Duplicate_name,Expected_tracers
0,Br2_CIMS,,BrCl_CIMS; ClNO2_CIMS; N2O5_CIMS; BrO_CIMS; HNO3_CIMS; NOy_LIF; NO2_LIF
1,BrO_CIMS,,Br2_CIMS; BrCl_CIMS; O3_ppbv; ClNO2_CIMS; NOy_LIF
2,Cl2_CIMS,,ClNO2_CIMS; NCl3_CIMS; BrCl_CIMS; N2O5_CIMS; NOy_LIF; NO2_LIF
3,ClNO2_CIMS,,N2O5_CIMS; Cl2_CIMS; BrCl_CIMS; HNO3_CIMS; NOy_LIF; NO2_LIF; NO_LIF
4,BrCl_CIMS,,Br2_CIMS; Cl2_CIMS; ClNO2_CIMS; N2O5_CIMS; BrO_CIMS; NOy_LIF
5,NCl3_CIMS,,Cl2_CIMS; ClNO2_CIMS; BrCl_CIMS; NOy_LIF
6,NO_LIF,NO,CO_Piccaro; NOy_LIF; NO2_LIF; CO2_Piccaro; HONO_CIMS; Benzene_PTR; Benzene_WAS; Benzene; Ethyne_WAS; Acetylene; Ethene_WAS; Ethylene; Acrolein_PTR; Acetaldehyde_PTR; nButane_WAS; nButane; iPentane_WAS; Isopentane
7,NO2_LIF,NO2,NOy_LIF; NO_LIF; HONO_CIMS; PAN_CIMS; HNO3_CIMS; CO_Piccaro; Benzene_PTR; Benzene_WAS; Benzene; Acetaldehyde_PTR; CO2_Piccaro
8,NOy_LIF,NOy,NO2_LIF; NO_LIF; HNO3_CIMS; PAN_CIMS; N2O5_CIMS; PPN_CIMS; APAN_CIMS; ClNO2_CIMS; ISOPN_CIMS; C4H7NO5_CIMS; C5H9NO5_CIMS; C10H17NO4_CIMS; CO_Piccaro; Benzene_PTR; CO2_Piccaro
9,N2O5_CIMS,,ClNO2_CIMS; HNO3_CIMS; NOy_LIF; NO2_LIF; O3_ppbv; Br2_CIMS; BrCl_CIMS
10,C4H7NO5_CIMS,,ISOPN_CIMS; MVK_MACR_PTR; Isoprene_WAS; Isoprene; MACR_WAS; C5H10O3_CIMS; C5H9NO5_CIMS; NOy_LIF; NO2_LIF
11,ISOPN_CIMS,,C4H7NO5_CIMS; MVK_MACR_PTR; Isoprene_WAS; Isoprene; MACR_WAS; C5H10O3_CIMS; C5H9NO5_CIMS; NOy_LIF; NO2_LIF
12,C5H10O3_CIMS,,Isoprene_WAS; Isoprene; MVK_MACR_PTR; MACR_WAS; ISOPN_CIMS; C4H7NO5_CIMS; Monoterpenes_PTR
13,C5H9NO5_CIMS,,ISOPN_CIMS; C4H7NO5_CIMS; Isoprene_WAS; Isoprene; MVK_MACR_PTR; C5H10O3_CIMS; NOy_LIF
14,C10H17NO4_CIMS,,Monoterpenes_PTR; Alpha_Pinene_WAS; Beta_Pinene_WAS; Limonene_WAS; C5H9NO5_CIMS; ISOPN_CIMS; NOy_LIF; NO2_LIF; D5_siloxane_PTR
15,HNO3_CIMS,,NOy_LIF; N2O5_CIMS; NO2_LIF; PAN_CIMS; O3_ppbv; ClNO2_CIMS; CO_Piccaro
