,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
0,Br2_CIMS,[],[],[],[],[],[]
1,BrO_CIMS,[],[],[],[],[],[]
2,Cl2_CIMS,[],[],[],[],[],[]
3,ClNO2_CIMS,[],[],[],[],[],[]
4,BrCl_CIMS,[],[],[],[],[],[]
5,NCl3_CIMS,[],[],[],[],[],[]
6,NO_LIF,[],[],[],[],[],[]
7,NO2_LIF,"['CO2_Piccaro', 'CO_Piccaro']","[0.5094302771006857, 0.5327341222255527]","[0.7404807927731185, 0.7161943550165699]","[72, 43]","[237, 237]","[1433, 1430]"
8,NOy_LIF,['NO2_LIF'],[0.2441365149567239],[0.9403973620647853],[18],[255],[1425]
9,N2O5_CIMS,[],[],[],[],[],[]
10,C4H7NO5_CIMS,[],[],[],[],[],[]
11,ISOPN_CIMS,['MVK_MACR_PTR'],[0.4748965155209142],[0.7744732995460941],[55],[342],[1170]
12,C5H10O3_CIMS,[],[],[],[],[],[]
13,C5H9NO5_CIMS,[],[],[],[],[],[]
14,C10H17NO4_CIMS,[],[],[],[],[],[]
15,HNO3_CIMS,[],[],[],[],[],[]
16,Methanol_PTR,[],[],[],[],[],[]
17,Acetonitrile_PTR,[],[],[],[],[],[]
18,Acetaldehyde_PTR,['Acrolein_PTR'],[0.36627967373460113],[0.8658392006088742],[2],[457],[1223]
19,Ethanol_PTR,[],[],[],[],[],[]
20,Methanethiol_PTR,[],[],[],[],[],[]
21,Acrolein_PTR,['Benzene_WAS'],[0.5927299372295147],[0.6486712215118956],[32],[455],[140]
22,Acetone_Propanal_PTR,[],[],[],[],[],[]
23,DMS_PTR,[],[],[],[],[],[]
24,MVK_MACR_PTR,['MACR_WAS'],[0.3246600315992042],[0.8945958638820037],[32],[455],[140]
25,Benzene_PTR,['Toluene_WAS'],[0.5762989160677958],[0.6678795593390836],[32],[455],[140]
26,Toluene_PTR,['Benzene_WAS'],[0.4519191695785027],[0.7957690641674765],[32],[455],[140]
27,Styrene_PTR,['C8Aromatics_PTR'],[0.4400579896296282],[0.80634896576313],[20],[475],[1205]
28,Benzaldehyde_PTR,[],[],[],[],[],[]
29,C8Aromatics_PTR,['Toluene_WAS'],[0.43470637955003105],[0.8110303635785043],[32],[455],[140]
30,C9Aromatics_PTR,['x135_TriMethylBenzene_WAS'],[0.3948202563043152],[0.8441169652117948],[32],[455],[130]
31,Naphthalene_PTR,['nDecane_WAS'],[0.5549145089129349],[0.6920698877979163],[87],[998],[85]
32,Octanal_PTR,[],[],[],[],[],[]
33,Monoterpenes_PTR,[],[],[],[],[],[]
34,Nonanal_PTR,[],[],[],[],[],[]
35,C7H4ClF3_PTR,[],[],[],[],[],[]
36,D5_siloxane_PTR,['Ethanol_PTR'],[0.5970566508445977],[0.6435233556822322],[1],[456],[1224]
37,PAN_CIMS,[],[],[],[],[],[]
38,APAN_CIMS,['PAN_CIMS'],[0.0746344622590334],[0.994429697043305],[19],[591],[1089]
39,PPN_CIMS,['PAN_CIMS'],[0.037940637891776555],[0.9985605079963651],[8],[580],[1100]
40,HCOOH_CIMS,[],[],[],[],[],[]
41,HONO_CIMS,['CO2_Piccaro'],[0.5333210336322233],[0.7155686750854569],[192],[357],[1313]
42,O3_ppbv,[],[],[],[],[],[]
43,CO2_Piccaro,[],[],[],[],[],[]
44,CH4_Piccaro,[],[],[],[],[],[]
45,CO_Piccaro,[],[],[],[],[],[]
46,H2O_Piccaro,[],[],[],[],[],[]
47,HCHO_CRDS,[],[],[],[],[],[]
48,H2O_CRDS,[],[],[],[],[],[]
49,CH4_CRDS,['Ethane_WAS'],[0.5392898014937823],[0.7091665100047968],[62],[801],[110]
50,Acetone_WAS,[],[],[],[],[],[]
51,Benzene_WAS,"['Toluene_PTR', 'CO_Piccaro']","[0.41884088438148565, 0.45184782941930995]","[0.824572313570535, 0.7958335390490582]","[1085, 1301]","[1508, 1508]","[140, 172]"
52,C2Cl4_WAS,[],[],[],[],[],[]
53,C2HCl3_WAS,[],[],[],[],[],[]
54,CCl4_WAS,[],[],[],[],[],[]
55,CF2Cl2_WAS,[],[],[],[],[],[]
56,CH2Cl2_WAS,[],[],[],[],[],[]
57,Ethyl_WAS,['C8Aromatics_PTR'],[0.49323791158390773],[0.7567163625763453],[1085],[1508],[140]
58,Ethane_WAS,"['CH4_Piccaro', 'CO2_Piccaro']","[0.46867354423433816, 0.5274225863187973]","[0.7803451089348239, 0.7218254154407908]","[1333, 1333]","[1508, 1508]","[172, 172]"
59,Ethene_WAS,"['Propylene', 'CO_Piccaro']","[0.42027896469871295, 0.5282923599319871]","[0.823365591831778, 0.7209071824374919]","[176, 1301]","[1508, 1508]","[111, 172]"
60,Ethyne_WAS,['Ethylene'],[0.5041709364301424],[0.7458116668591532],[176],[1508],[111]
61,Isoprene_WAS,[],[],[],[],[],[]
62,Limonene_WAS,['Alpha_Pinene_WAS'],[0.5774230055833369],[0.6665826726231056],[51],[1559],[121]
63,MACR_WAS,['MVK_MACR_PTR'],[0.31102868132276207],[0.9032611593946237],[1085],[1508],[140]
64,Propane_WAS,[],[],[],[],[],[]
65,Propene_WAS,['Ethylene'],[0.5633183522635794],[0.6826724340030459],[176],[1508],[111]
66,Toluene_WAS,['C8Aromatics_PTR'],[0.44716565158545307],[0.8000428800421572],[1085],[1508],[140]
67,Alpha_Pinene_WAS,[],[],[],[],[],[]
68,Beta_Pinene_WAS,[],[],[],[],[],[]
69,iButane_WAS,['Propane'],[0.46758824131353216],[0.781361236585318],[176],[1508],[111]
70,iPentane_WAS,['nButane'],[0.5729266491093598],[0.6717550547403206],[176],[1508],[111]
71,m_p_Xylene_WAS,['C8Aromatics_PTR'],[0.43037149555584975],[0.8147803758130212],[1085],[1508],[140]
72,nButane_WAS,['Isopentane'],[0.5181998118050894],[0.7314689550451697],[176],[1508],[111]
73,nHeptane_WAS,['nOctane'],[0.32408966653056986],[0.894965888048104],[176],[1508],[111]
74,nHexane_WAS,['nHeptane'],[0.504196210732565],[0.7457861810829228],[176],[1508],[111]
75,nNonane_WAS,[],[],[],[],[],[]
76,nOctane_WAS,['nHeptane'],[0.3978636468079533],[0.8417045185486762],[176],[1508],[111]
77,nPentane_WAS,['nButane'],[0.4623809629516061],[0.7862038450999456],[176],[1508],[111]
78,o_Xylene_WAS,['C8Aromatics_PTR'],[0.45943954900815354],[0.7889153008071845],[1085],[1508],[140]
79,x135_TriMethylBenzene_WAS,['x124_TriMethylBenzene_WAS'],[0.13412389390920126],[0.9820107810826333],[10],[1518],[162]
80,x224_TriMethylPentane_WAS,[],[],[],[],[],[]
81,nDecane_WAS,[],[],[],[],[],[]
82,x3_x4_EthylToluene_WAS,['C9Aromatics_PTR'],[0.3848537664040977],[0.8518875784845803],[1085],[1508],[140]
83,x13_Butadiene_WAS,['Ethene_WAS'],[0.37901209334141855],[0.8563498331009558],[24],[1532],[148]
84,nPropylBenzene_WAS,['C9Aromatics_PTR'],[0.42450622990714715],[0.8197944607700204],[1085],[1508],[140]
85,x2_EthylToluene_WAS,['C9Aromatics_PTR'],[0.44008484271915055],[0.8063253312088605],[1085],[1508],[140]
86,x124_TriMethylBenzene_WAS,['C9Aromatics_PTR'],[0.45730213092490085],[0.7908747610515449],[1085],[1508],[140]
87,iPropylBenzene_WAS,['nPropylBenzene_WAS'],[0.28769713601061964],[0.917230357931287],[21],[1529],[151]
88,x123_TriMethylBenzene_WAS,['x124_TriMethylBenzene_WAS'],[0.15000507293583318],[0.9774984780935154],[6],[1514],[166]
89,MethylCycloPentane_WAS,['nHexane'],[0.4247293843007568],[0.8196049501115],[176],[1508],[111]
90,x3_MethylPentane_WAS,['nHexane'],[0.45547831275052847],[0.7925395066139318],[176],[1508],[111]
91,x2_MethylPentane_WAS,['nHexane'],[0.48942326632713606],[0.7604648663776772],[176],[1508],[111]
92,x1_Butene_WAS,['Propylene'],[0.521731635804124],[0.727796100201153],[176],[1508],[111]
93,CycloPentane_WAS,['nPentane'],[0.47784615256046836],[0.7716630544831575],[176],[1508],[111]
94,x22_DiMethylButane_WAS,[],[],[],[],[],[]
95,x1_Pentene_WAS,['But1ene'],[0.5858824442302881],[0.6567417615427433],[176],[1508],[111]
96,MethylCycloHexane_WAS,['nHeptane'],[0.3791752386307841],[0.856226138409288],[176],[1508],[111]
97,c2Pentene_WAS,[],[],[],[],[],[]
98,t2Pentene_WAS,[],[],[],[],[],[]
99,c2Butene_WAS,['t2Butene_WAS'],[0.06054668746349577],[0.9963340986371978],[4],[1520],[154]
100,t2Butene_WAS,['c2Butene_WAS'],[0.06053684966414725],[0.9963352898327404],[6],[1522],[154]
101,iPropylONO2_WAS,['Propane_WAS'],[0.5796561357608778],[0.6639987642747668],[2],[1510],[170]
102,CFCl3_WAS,[],[],[],[],[],[]
103,nPropylONO2_WAS,['iPropylONO2_WAS'],[0.29729624233465307],[0.9116149442936952],[103],[1613],[67]
104,Furan_WAS,[],[],[],[],[],[]
105,CH3Br_WAS,[],[],[],[],[],[]
106,Ethylene,['Ethyne_WAS'],[0.5450374008435229],[0.7029342316817369],[61],[1393],[111]
107,Acetylene,['CO_Piccaro'],[0.5466176409996863],[0.7012091545479381],[1224],[1393],[249]
108,nDecane,[],[],[],[],[],[]
109,Ethylbenzene,['Toluene'],[0.2688295283244878],[0.9277306847008334],[227],[1620],[60]
110,Ethane,"['CH4_CRDS', 'CO2_Piccaro']","[0.5197509193063056, 0.5488929382066198]","[0.7298589818802501, 0.6987165423869038]","[774, 1249]","[1393, 1393]","[105, 256]"
111,mpEthyltoluene,[],[],[],[],[],[]
112,oXylene,['Toluene'],[0.2820422474519688],[0.9204521706522424],[227],[1620],[60]
113,buta13diene,[],[],[],[],[],[]
114,Styrene,[],[],[],[],[],[]
115,mpXylene,['Toluene'],[0.3130187307708553],[0.9020192741866028],[227],[1620],[60]
116,x135_Trimethylbenzene,[],[],[],[],[],[]
117,nPropylbenzene,[],[],[],[],[],[]
118,oEthyltoluene,[],[],[],[],[],[]
119,x224_Trimethylpentane,[],[],[],[],[],[]
120,Toluene,[],[],[],[],[],[]
121,x124_Trimethylbenzene,[],[],[],[],[],[]
122,Isopropylbenzene,[],[],[],[],[],[]
123,Formaldehyde,[],[],[],[],[],[]
124,Benzene,"['Toluene_WAS', 'CO_Piccaro']","[0.5184752660491452, 0.5416232347996971]","[0.731183398495268, 0.7066442715251122]","[61, 1224]","[1393, 1393]","[111, 249]"
125,x123_Trimethylbenzene,[],[],[],[],[],[]
126,nHeptane,['MethylCycloHexane_WAS'],[0.4042633312902737],[0.8365711589740905],[61],[1393],[111]
127,nNonane,[],[],[],[],[],[]
128,Methylcyclopentane,['x3_MethylPentane_WAS'],[0.5262079000826375],[0.7231052458906211],[61],[1393],[111]
129,Propylene,['Ethene_WAS'],[0.3910282804437916],[0.8470968838931714],[61],[1393],[111]
130,x3_Methylpentane,['MethylCycloPentane_WAS'],[0.4694278075310183],[0.7796375335166211],[61],[1393],[111]
131,nHexane,['MethylCycloPentane_WAS'],[0.4525980222296587],[0.7951550302738013],[61],[1393],[111]
132,x2_Methylpentane,['MethylCycloPentane_WAS'],[0.48133799935399624],[0.7683137303778923],[61],[1393],[111]
133,But1ene,['Ethene_WAS'],[0.5347506140985124],[0.7140417807212638],[61],[1393],[111]
