,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
0,Br2_CIMS,"['HNO3_CIMS', 'NO2_LIF', 'ClNO2_CIMS', 'N2O5_CIMS']","[0.929198267966647, 0.9520156689339001, 0.9787548475680523, 0.9823367744833593]","[0.13659057880778347, 0.09366616610433864, 0.04203894836203903, 0.035014461497629434]","[35, 182, 33, 14]","[377, 377, 377, 377]","[1301, 1261, 1289, 314]"
1,BrO_CIMS,"['Br2_CIMS', 'O3_ppbv', 'ClNO2_CIMS', 'NOy_LIF']","[0.808784144042115, 0.871364073124603, 0.9997492431691322, 0.9999388136405877]","[0.3458682083460636, 0.24072465206770166, 0.0005014507827475478, 0.00012236897505402133]","[165, 358, 208, 348]","[552, 552, 552, 552]","[1095, 1068, 1114, 1077]"
2,Cl2_CIMS,"['NCl3_CIMS', 'NOy_LIF', 'N2O5_CIMS']","[0.9766417469706691, 0.9957587317513165, 0.9987030642343384]","[0.046170898074080036, 0.008464548141009831, 0.0025921894889430197]","[1, 149, 0]","[344, 344, 344]","[1174, 1276, 328]"
3,ClNO2_CIMS,"['NO2_LIF', 'N2O5_CIMS', 'HNO3_CIMS']","[0.8907270995130319, 0.9018318521445366, 0.9763744516330987]","[0.20660523419310117, 0.18669931045755472, 0.046692930198166005]","[160, 10, 9]","[358, 358, 358]","[1278, 318, 1317]"
4,BrCl_CIMS,"['BrO_CIMS', 'Br2_CIMS', 'N2O5_CIMS', 'NOy_LIF', 'Cl2_CIMS', 'ClNO2_CIMS']","[0.8652875481546073, 0.8951125506362436, 0.914744468048429, 0.9899108829114033, 0.9967472823547904, 0.9989852085511921]","[0.2512774590085882, 0.19877352169347828, 0.1632425581747966, 0.020076443893566, 0.006494855118339582, 0.002028553095931307]","[25, 22, 3, 174, 29, 28]","[371, 371, 371, 371, 371, 371]","[1103, 1281, 325, 1251, 1307, 1294]"
5,NCl3_CIMS,['NOy_LIF'],[0.9554466479665384],[0.0871217028895056],[305],[505],[1120]
6,NO_LIF,['NOy_LIF'],[0.5304798194814341],[0.7185911611229452],[0],[237],[1425]
7,NO2_LIF,"['NOy_LIF', 'HONO_CIMS']","[0.2418737086450998, 0.8484401118850113]","[0.9414971090662654, 0.28014937654454963]","[0, 34]","[237, 237]","[1425, 1280]"
8,NOy_LIF,"['NO2_LIF', 'C5H9NO5_CIMS', 'ClNO2_CIMS']","[0.2441365149567239, 0.9411031726294546, 0.9668506553223417]","[0.9403973620647853, 0.11432481846677489, 0.06519981030275834]","[18, 60, 60]","[255, 255, 255]","[1425, 1278, 1262]"
9,N2O5_CIMS,"['NO2_LIF', 'O3_ppbv', 'HNO3_CIMS']","[0.9081474791845525, 0.9456710416016499, 0.9591755885668716]","[0.17526815605074297, 0.10570628107605029, 0.07998219029739528]","[1120, 1093, 979]","[1352, 1352, 1352]","[323, 274, 328]"
10,C4H7NO5_CIMS,"['ISOPN_CIMS', 'C5H10O3_CIMS', 'C5H9NO5_CIMS', 'Isoprene_WAS', 'NOy_LIF']","[0.7436825049252872, 0.8956396843845394, 0.9083617548172881, 0.9890413077839539, 0.9988995648952984]","[0.44693633186805015, 0.1978295557555626, 0.17487892238525682, 0.021797291497006044, 0.00219965925198351]","[0, 2, 0, 11, 146]","[341, 341, 341, 341, 341]","[1338, 1338, 1338, 161, 1279]"
11,ISOPN_CIMS,"['MVK_MACR_PTR', 'Isoprene', 'C5H10O3_CIMS', 'NOy_LIF']","[0.4748965155209142, 0.8488791742684165, 0.8538893932726845, 0.9985677804320483]","[0.7744732995460941, 0.27940414749337117, 0.2708729040564065, 0.002862387883012296]","[55, 48, 2, 147]","[342, 342, 342, 342]","[1170, 239, 1338, 1278]"
12,C5H10O3_CIMS,"['MVK_MACR_PTR', 'Isoprene_WAS', 'Monoterpenes_PTR']","[0.7551867789739451, 0.8999531474715261, 0.9753718244912498]","[0.42969292886295785, 0.19008433235609368, 0.04864980398861063]","[53, 11, 53]","[340, 340, 340]","[1172, 161, 1172]"
13,C5H9NO5_CIMS,"['C4H7NO5_CIMS', 'MVK_MACR_PTR', 'NOy_LIF', 'C5H10O3_CIMS', 'Isoprene_WAS']","[0.7519490676680356, 0.8351578629354286, 0.9397598761517919, 0.9426704225371977, 0.9895894565635484]","[0.4345725996331721, 0.3025113439771281, 0.11685137517516853, 0.11137247447354115, 0.020712707458261037]","[1, 55, 147, 2, 11]","[342, 342, 342, 342, 342]","[1338, 1170, 1278, 1338, 161]"
14,C10H17NO4_CIMS,"['NO2_LIF', 'Beta_Pinene_WAS', 'C5H9NO5_CIMS', 'ISOPN_CIMS', 'Limonene_WAS']","[0.8296436110395529, 0.865787567863397, 0.90906882763583, 0.947488374512981, 0.9817055732978549]","[0.311691478661251, 0.25041188733318376, 0.17359386662081755, 0.1022657801627489, 0.036254167355930234]","[151, 12, 3, 3, 7]","[345, 345, 345, 345, 345]","[1292, 160, 1335, 1335, 114]"
15,HNO3_CIMS,"['O3_ppbv', 'NO2_LIF', 'PAN_CIMS']","[0.684278827155162, 0.9946996916166703, 0.9996949514076665]","[0.5317624867071559, 0.01057252349770088, 0.0006100041300232117]","[141, 151, 3]","[344, 344, 344]","[1277, 1292, 1105]"
16,Methanol_PTR,"['CO_Piccaro', 'H2O_Piccaro']","[0.7694296277398232, 0.9703900875315465]","[0.4079780479561571, 0.058343078020517414]","[259, 289]","[455, 455]","[1214, 1216]"
17,Acetonitrile_PTR,"['CO_Piccaro', 'Benzene_PTR', 'CO2_Piccaro']","[0.666783510881285, 0.8224173427538252, 0.9360137616377957]","[0.5553997496168275, 0.32362971433773735, 0.12387823802466347]","[259, 0, 289]","[455, 455, 455]","[1214, 1225, 1216]"
18,Acetaldehyde_PTR,"['Acrolein_PTR', 'CO2_Piccaro', 'HCHO_CRDS']","[0.36627967373460113, 0.6547048221647132, 0.7441759355544125]","[0.8658392006088742, 0.5713615958342713, 0.4462021769417148]","[2, 291, 194]","[457, 457, 457]","[1223, 1214, 644]"
19,Ethanol_PTR,"['D5_siloxane_PTR', 'Methanol_PTR']","[0.5982065907179679, 0.7528270344537303]","[0.6421488748215857, 0.433251456195602]","[0, 0]","[455, 455]","[1224, 1225]"
20,Methanethiol_PTR,"['DMS_PTR', 'CH4_CRDS']","[0.7110653249638673, 0.847788885981393]","[0.4943861036340297, 0.2812540048064288]","[3, 236]","[460, 460]","[1192, 643]"
21,Acrolein_PTR,"['Acetaldehyde_PTR', 'Acetylene', 'Benzene_PTR']","[0.34427801210256037, 0.7619524360627857, 0.7813810523927744]","[0.8814726503827093, 0.4194284851779865, 0.3894436509615603]","[0, 44, 0]","[455, 455, 455]","[1223, 243, 1225]"
22,Acetone_Propanal_PTR,"['Acetone_WAS', 'CO_Piccaro', 'Methanol_PTR', 'H2O_Piccaro']","[0.7579449482479618, 0.8017137506436502, 0.8894952543876147, 0.9895285608627785]","[0.4255194554253946, 0.357255062028891, 0.20879819242191244, 0.02083322723683856]","[32, 259, 0, 289]","[455, 455, 455, 455]","[140, 1214, 1225, 1216]"
23,DMS_PTR,"['H2O_Piccaro', 'Methanethiol_PTR', 'CH4_CRDS']","[0.8272336759911976, 0.9457809415926874, 0.9904342222267212]","[0.3156844453060905, 0.10549841052004938, 0.01904005144215004]","[246, 14, 242]","[485, 485, 485]","[1186, 1192, 637]"
24,MVK_MACR_PTR,"['MACR_WAS', 'HCHO_CRDS', 'Isoprene']","[0.3246600315992042, 0.7330034996456597, 0.9993356370136405]","[0.8945958638820037, 0.4627058695072154, 0.0013282845945412625]","[32, 237, 44]","[455, 455, 455]","[140, 644, 243]"
25,Benzene_PTR,"['Toluene_WAS', 'CO_Piccaro', 'nButane_WAS', 'CO2_Piccaro']","[0.5762989160677958, 0.720466078357789, 0.7933882601931683, 0.8162295770417698]","[0.6678795593390836, 0.48092862993574825, 0.3705350685876574, 0.33376927756221353]","[32, 259, 32, 289]","[455, 455, 455, 455]","[140, 1214, 140, 1216]"
26,Toluene_PTR,"['C8Aromatics_PTR', 'nButane_WAS', 'CO_Piccaro']","[0.4462158974009536, 0.6930723985982268, 0.7481817479603936]","[0.8008913729066617, 0.5196506503013006, 0.4402240720189301]","[0, 32, 259]","[455, 455, 455]","[1225, 140, 1214]"
27,Styrene_PTR,['C8Aromatics_PTR'],[0.4400579896296282],[0.80634896576313],[20],[475],[1205]
28,Benzaldehyde_PTR,"['O3_ppbv', 'Toluene_WAS', 'CO_Piccaro']","[0.9817801096845367, 0.9881776307019384, 0.9994845053574835]","[0.03610781622781922, 0.023504970180303286, 0.0010307235503063117]","[921, 105, 925]","[1131, 1131, 1131]","[505, 67, 548]"
29,C8Aromatics_PTR,['Toluene_PTR'],[0.42363173498768325],[0.8205361531113253],[0],[455],[1225]
30,C9Aromatics_PTR,['x135_TriMethylBenzene_WAS'],[0.3948202563043152],[0.8441169652117948],[32],[455],[130]
31,Naphthalene_PTR,"['nDecane_WAS', 'x3_Methylheptane']","[0.5549145089129349, 0.9882763084102384]","[0.6920698877979163, 0.023309938235031136]","[87, 151]","[998, 998]","[85, 136]"
32,Octanal_PTR,"['Nonanal_PTR', 'nOctane_WAS', 'CO_Piccaro', 'O3_ppbv', 'Benzaldehyde_PTR']","[0.5129180736602272, 0.7432114688276625, 0.7958101026757355, 0.8988982860929218, 0.9846317136701782]","[0.7369150497126817, 0.4476367126030283, 0.36668628047923557, 0.19198187125920774, 0.030500388434928083]","[0, 32, 259, 257, 0]","[455, 455, 455, 455, 455]","[1225, 140, 1214, 1169, 549]"
33,Monoterpenes_PTR,"['Beta_Pinene_WAS', 'Isoprene', 'H2O_Piccaro']","[0.7642691394823437, 0.8554938859954583, 0.9834089137924307]","[0.41589268243491784, 0.2681302110243897, 0.03290690827359177]","[32, 44, 289]","[455, 455, 455]","[140, 243, 1216]"
34,Nonanal_PTR,"['Octanal_PTR', 'CO_Piccaro', 'nOctane_WAS', 'O3_ppbv', 'nNonane', 'Benzaldehyde_PTR']","[0.5271842535461937, 0.8061189465977716, 0.83774801949642, 0.9235948917080496, 0.9652391189153842, 0.9926518754239155]","[0.7220767628129425, 0.35017224393609914, 0.29817825582982593, 0.14697247601079622, 0.06831344331545297, 0.014642254217383188]","[0, 259, 32, 257, 11, 0]","[455, 455, 455, 455, 455, 455]","[1225, 1214, 140, 1169, 49, 549]"
35,C7H4ClF3_PTR,['Toluene_WAS'],[0.8702933079555347],[0.2425895581278127],[32],[464],[140]
36,D5_siloxane_PTR,"['Ethanol_PTR', 'CO_Piccaro', 'Methanol_PTR', 'C7H4ClF3_PTR']","[0.5970566508445977, 0.6367628004051473, 0.6844451816158144, 0.9323178588506219]","[0.6435233556822322, 0.5945331360201944, 0.5315347933628949, 0.13078341006819183]","[1, 255, 0, 1]","[456, 456, 456, 456]","[1224, 1213, 1224, 1215]"
37,PAN_CIMS,"['PPN_CIMS', 'Acetaldehyde_PTR', 'O3_ppbv']","[0.03796727733625206, 0.9176106383871683, 0.999995686283525]","[0.9985584858516722, 0.15799071631869366, 8.627414341821904e-06]","[0, 268, 374]","[572, 572, 572]","[1100, 955, 1052]"
38,APAN_CIMS,"['PAN_CIMS', 'Acrolein_PTR', 'Benzene_PTR', 'NOy_LIF']","[0.0746344622590334, 0.922123213667609, 0.9294992508999724, 0.9999070376450837]","[0.994429697043305, 0.14968877881532128, 0.13603114257639026, 0.0001859160678331362]","[19, 287, 287, 392]","[591, 591, 591, 591]","[1089, 938, 938, 1033]"
39,PPN_CIMS,"['PAN_CIMS', 'Acetone_Propanal_PTR', 'Acetone_WAS', 'NOy_LIF']","[0.037940637891776555, 0.868432297134954, 0.9362627175548268, 0.9998768369549522]","[0.9985605079963651, 0.24582534529290712, 0.12341212371685051, 0.0002463109209601688]","[8, 277, 49, 381]","[580, 580, 580, 580]","[1100, 948, 123, 1044]"
