,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
0,Br2_CIMS,"['HNO3_CIMS', 'ClNO2_CIMS', 'NO2_LIF', 'N2O5_CIMS']","[0.9579461300156703, 0.9965177780958608, 0.9972006885616711, 0.9999530895978597]","[0.08233921198800054, 0.006952317938888619, 0.005590786732129205, 9.381860369483963e-05]","[8, 8, 143, 3]","[162, 162, 162, 162]","[1489, 1493, 1491, 1353]"
1,BrO_CIMS,"['Br2_CIMS', 'O3_ppbv', 'BrCl_CIMS', 'NOy_LIF', 'ClNO2_CIMS']","[0.933507244514304, 0.9353988272341098, 0.9753560276703737, 0.9898379525890078, 0.992089965277718]","[0.12856422443931137, 0.12502903400905196, 0.04868061928706935, 0.020220827614401693, 0.015757500795256507]","[278, 392, 276, 417, 282]","[436, 436, 436, 436, 436]","[1216, 1172, 1216, 1218, 1219]"
2,Cl2_CIMS,"['NCl3_CIMS', 'NOy_LIF', 'N2O5_CIMS', 'ClNO2_CIMS']","[0.9285912002043527, 0.9476345359487993, 0.9791008619824021, 0.9979542526464771]","[0.13771838290303962, 0.10198878627710362, 0.04136150206531708, 0.00408730962481163]","[2, 137, 2, 2]","[156, 156, 156, 156]","[1482, 1498, 1354, 1499]"
3,ClNO2_CIMS,"['N2O5_CIMS', 'NO2_LIF', 'HNO3_CIMS', 'NO_LIF']","[0.6995814456167034, 0.9086474932445596, 0.9880874154105405, 0.9992016360941788]","[0.5105858009488434, 0.174359733020378, 0.02368325950731809, 0.0015960904267162679]","[0, 99, 1, 132]","[155, 155, 155, 155]","[1356, 1499, 1496, 1499]"
4,BrCl_CIMS,"['Br2_CIMS', 'Cl2_CIMS', 'NOy_LIF', 'N2O5_CIMS', 'ClNO2_CIMS']","[0.9171454186848973, 0.9462947329393043, 0.9638615222835051, 0.9920708126206991, 0.9999640885373459]","[0.15884428098530423, 0.10452627841133078, 0.07097096586132423, 0.01579550274610575, 7.182163567509559e-05]","[8, 10, 145, 3, 10]","[164, 164, 164, 164, 164]","[1486, 1490, 1490, 1353, 1491]"
5,NCl3_CIMS,['NOy_LIF'],[0.875011676165326],[0.2343545665743466],[153],[172],[1482]
6,NO_LIF,"['NOy_LIF', 'CO_Piccaro', 'Acetaldehyde_PTR', 'CO2_Piccaro']","[0.8597588470945472, 0.9944302433927636, 0.9985595703649242, 0.9985932393206635]","[0.2608147248426549, 0.01110849102580913, 0.00287878443261802, 0.0028115423830643582]","[1, 4, 2, 4]","[22, 22, 22, 22]","[1634, 1615, 1405, 1615]"
7,NO2_LIF,"['NOy_LIF', 'CO2_Piccaro', 'CO_Piccaro', 'Acetaldehyde_PTR']","[0.20333710189968152, 0.727346035515222, 0.7540465289782764, 0.9483042318452322]","[0.9586540229910385, 0.47096774462028956, 0.43141383213581364, 0.1007190838644243]","[1, 4, 4, 2]","[22, 22, 22, 22]","[1634, 1615, 1615, 1405]"
8,NOy_LIF,"['NO2_LIF', 'CO2_Piccaro', 'CO_Piccaro', 'APAN_CIMS', 'C10H17NO4_CIMS']","[0.20409311545725267, 0.771340608073061, 0.7719102378820913, 0.861246972749904, 0.973639661871475]","[0.9583460002229525, 0.4050336663374805, 0.4041545846528132, 0.2582536519291262, 0.05202580883079966]","[0, 3, 3, 0, 2]","[21, 21, 21, 21, 21]","[1634, 1616, 1616, 117, 1495]"
9,N2O5_CIMS,"['NO2_LIF', 'O3_ppbv', 'ClNO2_CIMS', 'HNO3_CIMS']","[0.843406314149416, 0.9664921106636497, 0.9694340386111722, 0.9841329742169392]","[0.28866578925289677, 0.0658930000249236, 0.06019764478203227, 0.03148228905892114]","[226, 170, 145, 67]","[300, 300, 300, 300]","[1354, 1308, 1356, 1354]"
