,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
0,Br2_CIMS,[],[],[],[],[],[]
1,BrO_CIMS,[],[],[],[],[],[]
2,Cl2_CIMS,[],[],[],[],[],[]
3,ClNO2_CIMS,[],[],[],[],[],[]
4,BrCl_CIMS,[],[],[],[],[],[]
5,NCl3_CIMS,[],[],[],[],[],[]
6,NO_LIF,[],[],[],[],[],[]
7,NO2_LIF,['NOy_LIF'],[0.20441224093216862],[0.958215635757089],[1],[23],[1657]
8,NOy_LIF,[],[],[],[],[],[]
9,N2O5_CIMS,[],[],[],[],[],[]
10,C4H7NO5_CIMS,[],[],[],[],[],[]
11,ISOPN_CIMS,['MACR_WAS'],[0.5434955580520135],[0.7046125783777304],[13],[178],[185]
12,C5H10O3_CIMS,['MACR_WAS'],[0.588660584202097],[0.6534787166068459],[13],[184],[185]
13,C5H9NO5_CIMS,[],[],[],[],[],[]
14,C10H17NO4_CIMS,[],[],[],[],[],[]
15,HNO3_CIMS,[],[],[],[],[],[]
16,Methanol_PTR,[],[],[],[],[],[]
17,Acetonitrile_PTR,[],[],[],[],[],[]
18,Acetaldehyde_PTR,['Acrolein_PTR'],[0.5600797054076584],[0.6863107235904706],[2],[249],[1431]
19,Ethanol_PTR,[],[],[],[],[],[]
20,Methanethiol_PTR,['DMS_PTR'],[0.5914408868108914],[0.6501976774083464],[1],[251],[1414]
21,Acrolein_PTR,[],[],[],[],[],[]
22,Acetone_Propanal_PTR,[],[],[],[],[],[]
23,DMS_PTR,[],[],[],[],[],[]
24,MVK_MACR_PTR,['MACR_WAS'],[0.410686825659633],[0.8313363312296143],[41],[247],[157]
25,Benzene_PTR,[],[],[],[],[],[]
26,Toluene_PTR,[],[],[],[],[],[]
27,Styrene_PTR,['C8Aromatics_PTR'],[0.4912024020864678],[0.758720200184484],[4],[251],[1429]
28,Benzaldehyde_PTR,[],[],[],[],[],[]
29,C8Aromatics_PTR,[],[],[],[],[],[]
30,C9Aromatics_PTR,['x3_x4_EthylToluene_WAS'],[0.4631595964684672],[0.7854831881991666],[41],[247],[157]
31,Naphthalene_PTR,[],[],[],[],[],[]
32,Octanal_PTR,[],[],[],[],[],[]
33,Monoterpenes_PTR,[],[],[],[],[],[]
34,Nonanal_PTR,[],[],[],[],[],[]
35,C7H4ClF3_PTR,[],[],[],[],[],[]
36,D5_siloxane_PTR,[],[],[],[],[],[]
37,PAN_CIMS,[],[],[],[],[],[]
38,APAN_CIMS,[],[],[],[],[],[]
39,PPN_CIMS,['PAN_CIMS'],[0.40938358993284363],[0.8324050762936973],[6],[1563],[117]
40,HCOOH_CIMS,[],[],[],[],[],[]
41,HONO_CIMS,[],[],[],[],[],[]
42,O3_ppbv,[],[],[],[],[],[]
43,CO2_Piccaro,[],[],[],[],[],[]
44,CH4_Piccaro,[],[],[],[],[],[]
45,CO_Piccaro,['Benzene_WAS'],[0.5977913660806408],[0.6426454826394413],[7],[49],[191]
46,H2O_Piccaro,[],[],[],[],[],[]
47,HCHO_CRDS,[],[],[],[],[],[]
48,H2O_CRDS,[],[],[],[],[],[]
49,CH4_CRDS,[],[],[],[],[],[]
50,Acetone_WAS,[],[],[],[],[],[]
51,Benzene_WAS,['CO_Piccaro'],[0.5131013377316194],[0.7367270172180227],[1440],[1482],[191]
52,C2Cl4_WAS,[],[],[],[],[],[]
53,C2HCl3_WAS,[],[],[],[],[],[]
54,CCl4_WAS,[],[],[],[],[],[]
55,CF2Cl2_WAS,[],[],[],[],[],[]
56,CH2Cl2_WAS,[],[],[],[],[],[]
57,Ethyl_WAS,['C8Aromatics_PTR'],[0.5590901826687298],[0.6874181676434463],[1276],[1482],[157]
58,Ethane_WAS,['CH4_CRDS'],[0.5582086492278631],[0.6884031039272045],[802],[1482],[119]
59,Ethene_WAS,[],[],[],[],[],[]
60,Ethyne_WAS,[],[],[],[],[],[]
61,Isoprene_WAS,[],[],[],[],[],[]
62,Limonene_WAS,['Alpha_Pinene_WAS'],[0.5758360327649112],[0.6684128633695681],[36],[1518],[162]
63,MACR_WAS,['MVK_MACR_PTR'],[0.3840871368581808],[0.8524770713000851],[1276],[1482],[157]
64,Propane_WAS,[],[],[],[],[],[]
65,Propene_WAS,[],[],[],[],[],[]
66,Toluene_WAS,[],[],[],[],[],[]
67,Alpha_Pinene_WAS,['Monoterpenes_PTR'],[0.5591295117101912],[0.6873741891347231],[1276],[1482],[157]
68,Beta_Pinene_WAS,['Monoterpenes_PTR'],[0.5872397556794863],[0.6551494693494972],[1276],[1482],[157]
69,iButane_WAS,['nButane'],[0.556200503505902],[0.6906409998997811],[131],[1482],[107]
70,iPentane_WAS,[],[],[],[],[],[]
71,m_p_Xylene_WAS,['C8Aromatics_PTR'],[0.548462202840741],[0.699189212055082],[1276],[1482],[157]
72,nButane_WAS,[],[],[],[],[],[]
73,nHeptane_WAS,['nOctane_WAS'],[0.21494815527794758],[0.9537972905426073],[10],[1493],[187]
74,nHexane_WAS,['nPentane'],[0.5664384911284966],[0.679147435768072],[131],[1482],[107]
75,nNonane_WAS,[],[],[],[],[],[]
76,nOctane_WAS,['nNonane_WAS'],[0.35674866099812624],[0.8727303928760439],[1],[1483],[197]
77,nPentane_WAS,['Isopentane'],[0.5508093615467554],[0.6966090472324558],[131],[1482],[107]
78,o_Xylene_WAS,['C8Aromatics_PTR'],[0.5263407652986644],[0.7229653987848162],[1276],[1482],[157]
79,x135_TriMethylBenzene_WAS,['C9Aromatics_PTR'],[0.42870830557292927],[0.8162091887327879],[1276],[1482],[157]
80,x224_TriMethylPentane_WAS,[],[],[],[],[],[]
81,nDecane_WAS,[],[],[],[],[],[]
82,x3_x4_EthylToluene_WAS,['C9Aromatics_PTR'],[0.43216669498514093],[0.8132319477456201],[1276],[1482],[157]
83,x13_Butadiene_WAS,['Ethene_WAS'],[0.48650351096410355],[0.7633143338196005],[31],[1513],[167]
84,nPropylBenzene_WAS,['C9Aromatics_PTR'],[0.4614064901902698],[0.7871040508102964],[1276],[1482],[157]
85,x2_EthylToluene_WAS,['x124_TriMethylBenzene_WAS'],[0.10205029409050317],[0.9895857374760418],[2],[1484],[196]
86,x124_TriMethylBenzene_WAS,['C9Aromatics_PTR'],[0.44647246201238816],[0.8006623406645966],[1276],[1482],[157]
87,iPropylBenzene_WAS,['nPropylBenzene_WAS'],[0.20288705807731353],[0.9588368416647328],[63],[1545],[135]
88,x123_TriMethylBenzene_WAS,['x124_TriMethylBenzene_WAS'],[0.1712412288331101],[0.9706764415477265],[13],[1495],[185]
89,MethylCycloPentane_WAS,['nHexane_WAS'],[0.12772633848870046],[0.9836859824562699],[3],[1485],[195]
90,x3_MethylPentane_WAS,[],[],[],[],[],[]
91,x2_MethylPentane_WAS,[],[],[],[],[],[]
92,x1_Butene_WAS,[],[],[],[],[],[]
93,CycloPentane_WAS,[],[],[],[],[],[]
94,x22_DiMethylButane_WAS,['x2_Methylpentane'],[0.5730636259676788],[0.6715980805927764],[131],[1482],[107]
95,x1_Pentene_WAS,['c2Pentene_WAS'],[0.3000523851361082],[0.9099685661741326],[1],[1483],[196]
96,MethylCycloHexane_WAS,[],[],[],[],[],[]
97,c2Pentene_WAS,['t2Pentene_WAS'],[0.056893764297695444],[0.9967630995840383],[1],[1483],[197]
98,t2Pentene_WAS,[],[],[],[],[],[]
99,c2Butene_WAS,['t2Butene_WAS'],[0.17121751180212355],[0.9706845636522897],[3],[1509],[157]
100,t2Butene_WAS,['c2Butene_WAS'],[0.17078336953849993],[0.9708330406890762],[14],[1520],[157]
101,iPropylONO2_WAS,[],[],[],[],[],[]
102,CFCl3_WAS,[],[],[],[],[],[]
103,nPropylONO2_WAS,[],[],[],[],[],[]
104,Furan_WAS,[],[],[],[],[],[]
105,CH3Br_WAS,[],[],[],[],[],[]
106,Ethylene,[],[],[],[],[],[]
107,Acetylene,[],[],[],[],[],[]
108,nDecane,[],[],[],[],[],[]
109,Ethylbenzene,['Toluene'],[0.3938958592245081],[0.8448460520857864],[193],[1635],[45]
110,Ethane,[],[],[],[],[],[]
111,mpEthyltoluene,[],[],[],[],[],[]
112,oXylene,['Toluene'],[0.15966609779129337],[0.9745067372161011],[193],[1635],[45]
113,buta13diene,[],[],[],[],[],[]
114,Styrene,[],[],[],[],[],[]
115,mpXylene,['Toluene'],[0.16336757652844702],[0.973311034939222],[193],[1635],[45]
116,x135_Trimethylbenzene,[],[],[],[],[],[]
117,nPropylbenzene,[],[],[],[],[],[]
118,oEthyltoluene,[],[],[],[],[],[]
119,x224_Trimethylpentane,[],[],[],[],[],[]
120,Toluene,[],[],[],[],[],[]
121,x124_Trimethylbenzene,[],[],[],[],[],[]
122,Isopropylbenzene,[],[],[],[],[],[]
123,Formaldehyde,[],[],[],[],[],[]
124,Benzene,[],[],[],[],[],[]
125,x123_Trimethylbenzene,[],[],[],[],[],[]
126,nHeptane,[],[],[],[],[],[]
127,nNonane,[],[],[],[],[],[]
128,Methylcyclopentane,[],[],[],[],[],[]
129,Propylene,[],[],[],[],[],[]
130,x3_Methylpentane,[],[],[],[],[],[]
131,nHexane,[],[],[],[],[],[]
132,x2_Methylpentane,[],[],[],[],[],[]
133,But1ene,[],[],[],[],[],[]
134,Cyclopentane,[],[],[],[],[],[]
135,nOctane,[],[],[],[],[],[]
136,Isobutane,[],[],[],[],[],[]
137,x22_Dimethylbutane,[],[],[],[],[],[]
138,Propane,[],[],[],[],[],[]
139,Pent1ene,[],[],[],[],[],[]
140,Methylcyclohexane,[],[],[],[],[],[]
141,nButane,['nButane_WAS'],[0.5359144859427454],[0.7127956637567229],[91],[1442],[107]
142,nPentane,[],[],[],[],[],[]
143,cis2Pentene,[],[],[],[],[],[]
144,trans2Pentene,[],[],[],[],[],[]
145,Isopentane,['nPentane_WAS'],[0.5829321178317541],[0.660190146000186],[91],[1442],[107]
146,cis2Butene,[],[],[],[],[],[]
147,trans2Butene,[],[],[],[],[],[]
148,Isoprene,['Isoprene_WAS'],[0.4070817079794226],[0.8342844830285561],[91],[1442],[107]
149,x23_Dimethylpentane,[],[],[],[],[],[]
150,x3_Methylhexane,[],[],[],[],[],[]
151,x2_Methylhexane,[],[],[],[],[],[]
152,x234_Trimethylpentane,[],[],[],[],[],[]
153,x24_Dimethylpentane,[],[],[],[],[],[]
154,x23_Dimethylbutane,[],[],[],[],[],[]
155,Cyclohexane,[],[],[],[],[],[]
156,Hex1ene,[],[],[],[],[],[]
157,x3_Methylheptane,[],[],[],[],[],[]
158,nUndecane,[],[],[],[],[],[]
159,pDiethylbenzene,[],[],[],[],[],[]
160,mDiethylbenzene,[],[],[],[],[],[]
161,nDodecane,[],[],[],[],[],[]
162,x2_Methylheptane,[],[],[],[],[],[]
163,Alphapinene,['Monoterpenes_PTR'],[0.47396779973937997],[0.7753545248102109],[1391],[1635],[42]
164,Betapinene,[],[],[],[],[],[]
165,NO,[],[],[],[],[],[]
166,NO2,[],[],[],[],[],[]
167,NOy,[],[],[],[],[],[]
168,O3,[],[],[],[],[],[]
