,voc_udaq_name,voc_noaa_name,points_considered_in_odr,odr_eq_adj,metrics_init_slope,metrics_init_intercept,metrics_init_rmse,metrics_init_r2,metrics_corr_slope,metrics_corr_intercept,metrics_corr_rmse,metrics_corr_r2,did_slope_improve,slope_distance_from_1_init,slope_distance_from_1_corr,slope_distance_improvement_val,intercept_error_init,intercept_error_corr,did_rmse_improve,rmse_percent_improvement,rmse_normalized_init,rmse_normalized_corr,r2_at_least_half,total_slope_intercept_rmse_score_init,total_slope_intercept_rmse_score_corr,should_correction_be_applied_from_score_eval
0,nDodecane,ML_NoVar_nDodecane,,,,,,,,,,,,,,,,,,,,,,,,
1,Ethane,Ethane_WAS,621.0,Correction applied: O_hat = -0.7638 + 0.0141 * M,0.01413515844348959,-0.7631530676241756,205.70315939963803,0.4758011828988198,0.9997783221663589,0.00044250164633950084,1.0624538215636556,0.4758011828988192,True,0.9858648415565104,0.0002216778336411318,0.9856431637228693,0.3823295966526001,0.00022168747416528557,True,99.48350145682521,103.05456310130373,0.532275317093383,False,104.42275753951284,0.5327186824011895,True
2,Ethylene,Ethene_WAS,617.0,Correction applied: O_hat = -0.4516 + 0.0044 * M,0.004349964346814622,-0.4516267615695424,207.85096888354417,0.6115704196549757,0.9999878126782674,4.8792437403124566e-06,0.24832843491283263,0.6115704196549754,True,0.9956500356531853,1.2187321732581857e-05,0.9956378483314527,1.130874644204468,1.2217639649246256e-05,True,99.88052572655943,520.4593936525126,0.6218150791196182,True,522.5859183323703,0.621839484081,True
3,Propane,Propane_WAS,621.0,Correction applied: O_hat = -0.6880 + 0.0083 * M,0.00833509536515014,-0.6876491749501038,206.83831368128747,0.23208117555961272,0.9997672656392826,0.0002186114299845008,1.0857313762149112,0.23208117555961288,True,0.9916649046348499,0.0002327343607173571,0.9914321702741326,0.7320248096795783,0.00023271894485992284,True,99.47508207889962,220.1860813953217,1.1557962010127283,False,221.90977110963613,1.1562616543183055,True
4,Propylene,Propene_WAS,582.0,Correction applied: O_hat = -0.1474 + 0.0014 * M,0.0013900360287816727,-0.14737998099416819,210.85886201140784,0.32593857701298296,0.9999969649906606,3.722046436207825e-07,0.14460264404298884,0.32593857701298296,True,0.9986099639712184,3.0350093394027056e-06,0.998606928961879,1.1499445994371915,2.904157789476848e-06,True,99.9314220694053,1645.243865400452,1.128274196128126,False,1647.3924199638604,1.128280135295255,True
5,Acetylene,Ethyne_WAS,621.0,Correction applied: O_hat = -0.1638 + 0.0020 * M,0.001967533164012376,-0.16378181729942604,207.66751110254273,0.606968251834559,0.9999977371240553,4.867063990376256e-07,0.11337753303202769,0.606968251834559,True,0.9980324668359877,2.2628759447362867e-06,0.9980302039600429,0.7434998261506821,2.2094401505469636e-06,True,99.94540429919438,942.7222200105998,0.514685802665112,True,944.4637523035865,0.5146902749812072,True
6,nButane,nButane_WAS,565.0,Correction applied: O_hat = -0.4296 + 0.0050 * M,0.004976881967994464,-0.4294955390493074,211.34864842065667,0.1623707108483309,0.9998700630788817,7.289639180397784e-05,0.827376750138318,0.16237071084833107,True,0.9950231180320055,0.00012993692111828992,0.9948931811108872,0.7659722107364999,0.00013000509972327506,True,99.60852517566539,376.92403470657825,1.4755627027424656,False,378.68503003534676,1.4758226447633072,True
7,Isobutane,iButane_WAS,621.0,Correction applied: O_hat = -0.2236 + 0.0024 * M,0.0023825998671007957,-0.2235907389665203,207.63753644036072,0.2579426727787546,0.9999835572383272,3.9818514422002926e-06,0.2893892252133799,0.2579426727787546,True,0.9976174001328992,1.64427616727858e-05,0.9976009573712264,0.9258494404353204,1.6488137866075627e-05,True,99.86062769276957,859.7900691918279,1.1983092567708618,False,861.7135360323962,1.1983421876704006,True
8,trans2Butene,t2Butene_WAS,312.0,Correction applied: O_hat = -0.0015 + 0.0001 * M,6.878717547001965e-05,-0.0014508692481932028,210.91588972532648,0.06137357889636901,0.9999972791784164,3.825104540974906e-08,0.01985533967033605,0.061373578896369095,True,0.99993121282453,2.720821583590549e-06,0.9999284920029464,0.1195013741912036,3.150561290348919e-06,True,99.99058613379191,17372.164095644628,1.6353922854131064,False,17373.283528231645,1.6353981567959803,True
9,cis2Butene,c2Butene_WAS,420.0,Correction applied: O_hat = -0.0003 + 0.0001 * M,9.092053494150719e-05,-0.00031228734259813786,218.56426436842344,0.06821733881063313,0.9999995059140304,8.657601843655581e-09,0.026125995221739782,0.06821733881063313,True,0.9999090794650585,4.940859695823363e-07,0.9999085853790889,0.01710063580487347,4.7408420347817834e-07,True,99.98804653848732,11968.42578962334,1.4306411704356425,False,11969.442799338609,1.4306421386058157,True
