,Varname,Duplicate_name,filled_with_name,fillcase1,before_change_gap_count1,after_change_gap_count1,number_gaps_filled_by_change1,percent_of_gaps_filled_by_change1,odr_eq_adj_used_for_correction,rmse_used,r2_used
0,Br2_CIMS,,,No dup so stays vars,563,563,0,0.0,,,
1,BrO_CIMS,,,No dup so stays vars,1012,1012,0,0.0,,,
2,Cl2_CIMS,,,No dup so stays vars,524,524,0,0.0,,,
3,ClNO2_CIMS,,,No dup so stays vars,537,537,0,0.0,,,
4,BrCl_CIMS,,,No dup so stays vars,559,559,0,0.0,,,
5,NCl3_CIMS,,,No dup so stays vars,701,701,0,0.0,,,
6,NO_LIF,NO,NO initial,Filled with duplicate initial,260,231,29,11.153846153846155,,0.8577816174239329,0.5637922209362046
7,NO2_LIF,NO2,NO2 corrected,Filled with duplicate corrected,260,212,48,18.461538461538463,Correction applied: O_hat = -1.2949 + 1.0029 * M,1.822183203689276,0.7800482818748249
8,NOy_LIF,NOy,NOy corrected,Filled with duplicate corrected,277,230,47,16.967509025270758,Correction applied: O_hat = 0.5014 + 1.3346 * M,2.4805365809479363,0.7633877274875721
9,N2O5_CIMS,,,No dup so stays vars,1676,1676,0,0.0,,,
10,C4H7NO5_CIMS,,,No dup so stays vars,519,519,0,0.0,,,
11,ISOPN_CIMS,,,No dup so stays vars,520,520,0,0.0,,,
12,C5H10O3_CIMS,,,No dup so stays vars,524,524,0,0.0,,,
13,C5H9NO5_CIMS,,,No dup so stays vars,527,527,0,0.0,,,
14,C10H17NO4_CIMS,,,No dup so stays vars,528,528,0,0.0,,,
15,HNO3_CIMS,,,No dup so stays vars,527,527,0,0.0,,,
16,Methanol_PTR,,,No dup so stays vars,702,702,0,0.0,,,
17,Acetonitrile_PTR,,,No dup so stays vars,702,702,0,0.0,,,
18,Acetaldehyde_PTR,,,No dup so stays vars,706,706,0,0.0,,,
19,Ethanol_PTR,,,No dup so stays vars,702,702,0,0.0,,,
20,Methanethiol_PTR,,,No dup so stays vars,711,711,0,0.0,,,
21,Acrolein_PTR,Acrolein_WAS,,No fill from dup due to low r squared,702,702,0,0.0,,,
22,Acetone_Propanal_PTR,,,No dup so stays vars,702,702,0,0.0,,,
23,DMS_PTR,,,No dup so stays vars,750,750,0,0.0,,,
24,MVK_MACR_PTR,,,No dup so stays vars,702,702,0,0.0,,,
25,Benzene_PTR,"['Benzene_WAS', 'Benzene']","[nan, nan]","['No fill from dup due to low r squared', 'No fill from dup due to low r squared']","[np.int64(704), np.int64(704)]","[np.int64(704), np.int64(704)]","[np.int64(0), np.int64(0)]","[np.float64(0.0), np.float64(0.0)]","[nan, nan]","[nan, nan]","[nan, nan]"
26,Toluene_PTR,"['Toluene_WAS', 'Toluene']","['Toluene_WAS', nan]","['Filled with duplicate corrected', 'No fill from dup due to low r squared']","[np.int64(702), np.int64(629)]","[np.int64(629), np.int64(629)]","[np.int64(73), np.int64(0)]","[np.float64(10.3988603988604), np.float64(0.0)]","['Correction applied: O_hat = 0.0183 + 1.3266 * M', nan]","[np.float64(0.16814723626406422), nan]","[0.7319619121655672, nan]"
27,Styrene_PTR,Styrene,,No dup so stays vars,726,726,0,0.0,,,
28,Benzaldehyde_PTR,,,No dup so stays vars,2209,2209,0,0.0,,,
29,C8Aromatics_PTR,,,No dup so stays vars,702,702,0,0.0,,,
30,C9Aromatics_PTR,,,No dup so stays vars,702,702,0,0.0,,,
31,Naphthalene_PTR,,,No dup so stays vars,1783,1783,0,0.0,,,
32,Octanal_PTR,,,No dup so stays vars,702,702,0,0.0,,,
33,Monoterpenes_PTR,,,No dup so stays vars,702,702,0,0.0,,,
34,Nonanal_PTR,,,No dup so stays vars,702,702,0,0.0,,,
35,C7H4ClF3_PTR,,,No dup so stays vars,714,714,0,0.0,,,
36,D5_siloxane_PTR,,,No dup so stays vars,703,703,0,0.0,,,
37,PAN_CIMS,,,No dup so stays vars,2129,2129,0,0.0,,,
38,APAN_CIMS,,,No dup so stays vars,2154,2154,0,0.0,,,
39,PPN_CIMS,,,No dup so stays vars,2143,2143,0,0.0,,,
40,HCOOH_CIMS,,,No dup so stays vars,526,526,0,0.0,,,
41,HONO_CIMS,,,No dup so stays vars,541,541,0,0.0,,,
42,O3_ppbv,O3,O3 corrected,Filled with duplicate corrected,370,311,59,15.945945945945947,Correction applied: O_hat = -1.2559 + 1.0828 * M,4.144124043829285,0.9231642330814551
43,CO2_Piccaro,,,No dup so stays vars,224,224,0,0.0,,,
44,CH4_Piccaro,CH4_CRDS,CH4_CRDS corrected,Filled with duplicate corrected,224,199,25,11.160714285714286,Correction applied: O_hat = 41.2942 + 1.0051 * M,8.681566828441458,0.9874600647223368
45,CO_Piccaro,,,No dup so stays vars,256,256,0,0.0,,,
46,H2O_Piccaro,H2O_CRDS,H2O_CRDS corrected,Filled with duplicate corrected,224,198,26,11.607142857142858,Correction applied: O_hat = 0.0000 + 1.0141 * M,84226.11182813034,0.9994366689173192
47,HCHO_CRDS,Formaldehyde,Formaldehyde corrected,Filled with duplicate corrected,1556,0,1556,100.0,Correction applied: O_hat = -0.1990 + 1.0465 * M,0.229452870988377,0.964340412823113
48,H2O_CRDS,H2O_Piccaro,H2O_Piccaro corrected,Filled with duplicate corrected,1556,198,1358,87.27506426735219,Correction applied: O_hat = 0.0000 + 0.9861 * M,83057.07791445445,0.9994209572293469
