,varname,Duplicate_name,fillcase1,before_change_gap_count1,number_gaps_filled_by_change1,percent_of_gaps_filled_by_change1
0,Br2_CIMS,,"No dup, stays vars",539,0,0.0
1,BrO_CIMS,,"No dup, stays vars",988,0,0.0
2,Cl2_CIMS,,"No dup, stays vars",500,0,0.0
3,ClNO2_CIMS,,"No dup, stays vars",513,0,0.0
4,BrCl_CIMS,,"No dup, stays vars",535,0,0.0
5,NCl3_CIMS,,"No dup, stays vars",677,0,0.0
6,NO_LIF,NO,"Filled with duplicate initial, high r2, RMSE does not improve with correction",259,29,11.196911196911197
7,NO2_LIF,NO2,"Filled with duplicate corrected, RMSE improves with correction",259,47,18.146718146718147
8,NOy_LIF,NOy,"Filled with duplicate corrected, RMSE improves with correction",276,46,16.666666666666664
9,N2O5_CIMS,,"No dup, stays vars",1652,0,0.0
10,C4H7NO5_CIMS,,"No dup, stays vars",495,0,0.0
11,ISOPN_CIMS,,"No dup, stays vars",496,0,0.0
12,C5H10O3_CIMS,,"No dup, stays vars",500,0,0.0
13,C5H9NO5_CIMS,,"No dup, stays vars",503,0,0.0
14,C10H17NO4_CIMS,,"No dup, stays vars",504,0,0.0
15,HNO3_CIMS,,"No dup, stays vars",503,0,0.0
16,Methanol_PTR,,"No dup, stays vars",702,0,0.0
17,Acetonitrile_PTR,,"No dup, stays vars",702,0,0.0
18,Acetaldehyde_PTR,,"No dup, stays vars",706,0,0.0
19,Ethanol_PTR,,"No dup, stays vars",702,0,0.0
20,Methanethiol_PTR,,"No dup, stays vars",708,0,0.0
21,Acrolein_PTR,Acrolein_WAS,No fill from dup due to low r squared,702,0,0.0
22,Acetone_Propanal_PTR,,"No dup, stays vars",702,0,0.0
23,DMS_PTR,,"No dup, stays vars",745,0,0.0
24,MVK_MACR_PTR,,"No dup, stays vars",702,0,0.0
25,Benzene_PTR,"['Benzene_WAS', 'Benzene']",Needs filling for double dups,704,0,0.0
26,Toluene_PTR,"['Toluene_WAS', 'Toluene']",Needs filling for double dups,702,0,0.0
27,Styrene_PTR,Styrene,"No dup, stays vars",726,0,0.0
28,Benzaldehyde_PTR,,"No dup, stays vars",2202,0,0.0
29,C8Aromatics_PTR,,"No dup, stays vars",702,0,0.0
30,C9Aromatics_PTR,,"No dup, stays vars",702,0,0.0
31,Naphthalene_PTR,,"No dup, stays vars",1783,0,0.0
32,Octanal_PTR,,"No dup, stays vars",702,0,0.0
33,Monoterpenes_PTR,,"No dup, stays vars",702,0,0.0
34,Nonanal_PTR,,"No dup, stays vars",702,0,0.0
35,C7H4ClF3_PTR,,"No dup, stays vars",714,0,0.0
36,D5_siloxane_PTR,,"No dup, stays vars",703,0,0.0
37,PAN_CIMS,,"No dup, stays vars",2105,0,0.0
38,APAN_CIMS,,"No dup, stays vars",2130,0,0.0
39,PPN_CIMS,,"No dup, stays vars",2119,0,0.0
40,HCOOH_CIMS,,"No dup, stays vars",502,0,0.0
41,HONO_CIMS,,"No dup, stays vars",517,0,0.0
42,O3_ppbv,O3,"Filled with duplicate corrected, RMSE improves with correction",346,59,17.052023121387283
43,CO2_Piccaro,,"No dup, stays vars",212,0,0.0
44,CH4_Piccaro,CH4_CRDS,"Filled with duplicate corrected, RMSE improves with correction",212,25,11.79245283018868
45,CO_Piccaro,,"No dup, stays vars",244,0,0.0
46,H2O_Piccaro,H2O_CRDS,"Filled with duplicate corrected, RMSE improves with correction",212,26,12.264150943396226
47,HCHO_CRDS,Formaldehyde,"Filled with duplicate corrected, RMSE improves with correction",1532,1532,100.0
48,H2O_CRDS,H2O_Piccaro,"Filled with duplicate corrected, RMSE improves with correction",1532,1346,87.85900783289817
49,CH4_CRDS,CH4_Piccaro,"Filled with duplicate corrected, RMSE improves with correction",1536,1349,87.82552083333334
50,Acetone_WAS,,"No dup, stays vars",2966,0,0.0
51,Benzene_WAS,"['Benzene_PTR', 'Benzene']",Needs filling for double dups,2966,0,0.0
52,C2Cl4_WAS,,"No dup, stays vars",2966,0,0.0
53,C2HCl3_WAS,,"No dup, stays vars",3135,0,0.0
54,CCl4_WAS,,"No dup, stays vars",2966,0,0.0
55,CF2Cl2_WAS,,"No dup, stays vars",2966,0,0.0
56,CH2Cl2_WAS,,"No dup, stays vars",2966,0,0.0
57,Ethyl_WAS,Ethylbenzene,No fill from dup due to low r squared,2966,0,0.0
58,Ethane_WAS,Ethane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
59,Ethene_WAS,Ethylene,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
60,Ethyne_WAS,Acetylene,No fill from dup due to low r squared,2966,0,0.0
61,Isoprene_WAS,Isoprene,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
62,Limonene_WAS,,"No dup, stays vars",3053,0,0.0
63,MACR_WAS,,"No dup, stays vars",2966,0,0.0
64,Propane_WAS,Propane,"Filled with duplicate initial, high r2, RMSE does not improve with correction",2966,302,10.182063385030343
65,Propene_WAS,Propylene,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
66,Toluene_WAS,"['Toluene_PTR', 'Toluene']",Needs filling for double dups,2966,0,0.0
67,Alpha_Pinene_WAS,Alpha-pinene,"Filled with duplicate corrected, RMSE improves with correction",2966,67,2.258934592043156
68,Beta_Pinene_WAS,Beta-pinene,"No dup, stays vars",2966,0,0.0
69,iButane_WAS,Isobutane,"Filled with duplicate initial, high r2, RMSE does not improve with correction",2966,302,10.182063385030343
70,iPentane_WAS,Isopentane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
71,iPropylONO2_WAS,,"No dup, stays vars",2973,0,0.0
72,m_p_Xylene_WAS,mpXylene,No fill from dup due to low r squared,2966,0,0.0
73,nButane_WAS,nButane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
74,nHeptane_WAS,nHeptane,"Filled with duplicate initial, high r2, RMSE does not improve with correction",2977,302,10.1444407121263
75,nHexane_WAS,nHexane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
76,nNonane_WAS,nNonane,No fill from dup due to low r squared,2966,0,0.0
77,nOctane_WAS,nOctane,"Filled with duplicate corrected, RMSE improves with correction",2967,302,10.178631614425345
78,nPentane_WAS,nPentane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
79,o_Xylene_WAS,oXylene,No fill from dup due to low r squared,2966,0,0.0
80,x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,No fill from dup due to low r squared,2976,0,0.0
81,x224_TriMethylPentane_WAS,x224_Trimethylpentane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
82,nDecane_WAS,nDecane,No fill from dup due to low r squared,2966,0,0.0
83,x3_x4_EthylToluene_WAS,mpEthyltoluene,"Filled with duplicate corrected, RMSE improves with correction",2966,64,2.157788267026298
84,x13_Butadiene_WAS,buta13diene,No fill from dup due to low r squared,3021,0,0.0
85,nPropylBenzene_WAS,nPropylbenzene,No fill from dup due to low r squared,2966,0,0.0
86,x2_EthylToluene_WAS,oEthyltoluene,No fill from dup due to low r squared,2968,0,0.0
87,x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,No fill from dup due to low r squared,2966,0,0.0
88,iPropylBenzene_WAS,Isopropylbenzene,No fill from dup due to low r squared,3050,0,0.0
89,x123_TriMethylBenzene_WAS,x123_Trimethylbenzene,No fill from dup due to low r squared,2985,0,0.0
90,MethylCycloPentane_WAS,Methylcyclopentane,"Filled with duplicate corrected, RMSE improves with correction",2969,302,10.171775008420344
91,x3_MethylPentane_WAS,x3_Methylpentane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
92,x2_MethylPentane_WAS,x2_Methylpentane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
93,x1_Butene_WAS,But1ene,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
94,CycloPentane_WAS,Cyclopentane,"Filled with duplicate initial, high r2, RMSE does not improve with correction",2970,302,10.168350168350168
95,x22_DiMethylButane_WAS,x22_Dimethylbutane,"Filled with duplicate initial, high r2, RMSE does not improve with correction",2966,302,10.182063385030343
96,x1_Pentene_WAS,Pent1ene,"Filled with duplicate corrected, RMSE improves with correction",2967,303,10.212335692618806
97,MethylCycloHexane_WAS,Methylcyclohexane,"Filled with duplicate corrected, RMSE improves with correction",2966,302,10.182063385030343
98,c2Pentene_WAS,cis2Pentene,No fill from dup due to low r squared,2967,0,0.0
99,t2Pentene_WAS,trans2Pentene,No fill from dup due to low r squared,2966,0,0.0
100,c2Butene_WAS,cis2Butene,"Filled with duplicate corrected, RMSE improves with correction",3005,316,10.515806988352745
101,t2Butene_WAS,trans2Butene,No fill from dup due to low r squared,3018,0,0.0
102,CFCl3_WAS,,"No dup, stays vars",2966,0,0.0
103,nPropylONO2_WAS,,"No dup, stays vars",3238,0,0.0
104,Furan_WAS,,"No dup, stays vars",2985,0,0.0
105,CH3Br_WAS,,"No dup, stays vars",2966,0,0.0
106,Ethylene,Ethene_WAS,"Filled with duplicate corrected, RMSE improves with correction",2816,152,5.3977272727272725
107,Acetylene,Ethyne_WAS,"Filled with duplicate corrected, RMSE improves with correction",2816,152,5.3977272727272725
