,Varname,tracers_filled_name,before_change_gap_count1,after_change_gap_count1,number_gaps_filled_by_change1,percent_of_gaps_filled_by_change1,odr_eq_adj_used_for_correction,norm_rmse_used,r2_used
0,Br2_CIMS,,563,563,0,0.0,,,
1,BrO_CIMS,,1012,1012,0,0.0,,,
2,Cl2_CIMS,,524,524,0,0.0,,,
3,ClNO2_CIMS,,537,537,0,0.0,,,
4,BrCl_CIMS,,559,559,0,0.0,,,
5,NCl3_CIMS,,701,701,0,0.0,,,
6,NO_LIF,,231,231,0,0.0,,,
7,NO2_LIF,"30    CO2_Piccaro
15     CO_Piccaro
Name: tracer, dtype: object","[np.int64(212), np.int64(154)]","[np.int64(154), np.int64(154)]","[np.int64(58), np.int64(0)]","[np.float64(27.358490566037734), np.float64(0.0)]",y = -5.055007661865929 + 0.048418825626183576* M,0.5327341222255527,0.7161943550165699
8,NOy_LIF,"0    NO2_LIF
Name: tracer, dtype: object",[np.int64(230)],[np.int64(212)],[np.int64(18)],[np.float64(7.82608695652174)],y = 1.002003700567588 + 1.3861327639247447* M,0.2441365149567239,0.9403973620647853
9,N2O5_CIMS,,1676,1676,0,0.0,,,
10,C4H7NO5_CIMS,,519,519,0,0.0,,,
11,ISOPN_CIMS,"3    MVK_MACR_PTR
Name: tracer, dtype: object",[np.int64(520)],[np.int64(465)],[np.int64(55)],[np.float64(10.576923076923077)],y = -0.0028610058076095407 + 0.03708669718450848* M,0.4748965155209142,0.7744732995460941
12,C5H10O3_CIMS,,524,524,0,0.0,,,
13,C5H9NO5_CIMS,,527,527,0,0.0,,,
14,C10H17NO4_CIMS,,528,528,0,0.0,,,
15,HNO3_CIMS,,527,527,0,0.0,,,
16,Methanol_PTR,,702,702,0,0.0,,,
17,Acetonitrile_PTR,,702,702,0,0.0,,,
18,Acetaldehyde_PTR,"30    Acrolein_PTR
Name: tracer, dtype: object",[np.int64(706)],[np.int64(704)],[np.int64(2)],[np.float64(0.28328611898017)],y = -0.7401173608754439 + 10.837995892882992* M,0.36627967373460113,0.8658392006088742
19,Ethanol_PTR,,702,702,0,0.0,,,
20,Methanethiol_PTR,,711,711,0,0.0,,,
21,Acrolein_PTR,"9    Benzene_WAS
Name: tracer, dtype: object",[np.int64(702)],[np.int64(670)],[np.int64(32)],[np.float64(4.5584045584045585)],y = 0.11372447534148171 + 0.9405178426259955* M,0.5927299372295147,0.6486712215118956
22,Acetone_Propanal_PTR,,702,702,0,0.0,,,
23,DMS_PTR,,750,750,0,0.0,,,
24,MVK_MACR_PTR,"6    MACR_WAS
Name: tracer, dtype: object",[np.int64(702)],[np.int64(670)],[np.int64(32)],[np.float64(4.5584045584045585)],y = 0.04905652448493269 + 3.5098161560887613* M,0.3246600315992042,0.8945958638820037
25,Benzene_PTR,"3    Toluene_WAS
Name: tracer, dtype: object",[np.int64(704)],[np.int64(672)],[np.int64(32)],[np.float64(4.545454545454546)],y = 0.024297974288831622 + 0.590267839584576* M,0.5762989160677958,0.6678795593390836
26,Toluene_PTR,"3    Benzene_WAS
Name: tracer, dtype: object",[np.int64(629)],[np.int64(629)],[np.int64(0)],[np.float64(0.0)],y = -0.07451275136528236 + 3.033842501798631* M,0.4519191695785027,0.7957690641674765
27,Styrene_PTR,"18    C8Aromatics_PTR
Name: tracer, dtype: object",[np.int64(726)],[np.int64(706)],[np.int64(20)],[np.float64(2.7548209366391188)],y = -0.00034620435470098394 + 0.11392522627382552* M,0.4400579896296282,0.80634896576313
28,Benzaldehyde_PTR,,2209,2209,0,0.0,,,
