,Varname,tracers_filled_name,before_change_gap_count1,after_change_gap_count1,number_gaps_filled_by_change1,percent_of_gaps_filled_by_change1,odr_eq_adj_used_for_correction,norm_rmse_used,r2_used
0,Br2_CIMS,,563,563,0,0.0,,,
1,BrO_CIMS,,1012,1012,0,0.0,,,
2,Cl2_CIMS,,524,524,0,0.0,,,
3,ClNO2_CIMS,,537,537,0,0.0,,,
4,BrCl_CIMS,,559,559,0,0.0,,,
5,NCl3_CIMS,,701,701,0,0.0,,,
6,NO_LIF,,231,231,0,0.0,,,
7,NO2_LIF,"1    NOy_LIF
Name: tracer, dtype: object",[np.int64(154)],[np.int64(154)],[np.int64(0)],[np.float64(0.0)],y = -0.5304629130690806 + 0.8342526010479023* M,0.20441224093216862,0.958215635757089
8,NOy_LIF,,212,212,0,0.0,,,
9,N2O5_CIMS,,1676,1676,0,0.0,,,
10,C4H7NO5_CIMS,,519,519,0,0.0,,,
11,ISOPN_CIMS,"13    MACR_WAS
Name: tracer, dtype: object",[np.int64(465)],[np.int64(452)],[np.int64(13)],[np.float64(2.795698924731183)],y = 0.0006597048119762476 + 0.08019023092090341* M,0.5434955580520135,0.7046125783777304
12,C5H10O3_CIMS,"10    MACR_WAS
Name: tracer, dtype: object",[np.int64(524)],[np.int64(512)],[np.int64(12)],[np.float64(2.2900763358778624)],y = -0.010085202790075718 + 0.5986655916953143* M,0.588660584202097,0.6534787166068459
13,C5H9NO5_CIMS,,527,527,0,0.0,,,
14,C10H17NO4_CIMS,,528,528,0,0.0,,,
15,HNO3_CIMS,,527,527,0,0.0,,,
16,Methanol_PTR,,702,702,0,0.0,,,
17,Acetonitrile_PTR,,702,702,0,0.0,,,
18,Acetaldehyde_PTR,"31    Acrolein_PTR
Name: tracer, dtype: object",[np.int64(704)],[np.int64(702)],[np.int64(2)],[np.float64(0.2840909090909091)],y = -0.8702665030648711 + 11.245210581856982* M,0.5600797054076584,0.6863107235904706
19,Ethanol_PTR,,702,702,0,0.0,,,
20,Methanethiol_PTR,"1    DMS_PTR
Name: tracer, dtype: object",[np.int64(711)],[np.int64(710)],[np.int64(1)],[np.float64(0.14064697609001406)],y = 0.0023435993209444225 + 0.12512716079687014* M,0.5914408868108914,0.6501976774083464
21,Acrolein_PTR,,670,670,0,0.0,,,
22,Acetone_Propanal_PTR,,702,702,0,0.0,,,
23,DMS_PTR,,750,750,0,0.0,,,
24,MVK_MACR_PTR,"7    MACR_WAS
Name: tracer, dtype: object",[np.int64(670)],[np.int64(629)],[np.int64(41)],[np.float64(6.119402985074627)],y = 0.033802217306448654 + 3.507918816591362* M,0.410686825659633,0.8313363312296143
25,Benzene_PTR,,672,672,0,0.0,,,
26,Toluene_PTR,,629,629,0,0.0,,,
27,Styrene_PTR,"19    C8Aromatics_PTR
Name: tracer, dtype: object",[np.int64(706)],[np.int64(702)],[np.int64(4)],[np.float64(0.56657223796034)],y = -0.0013496494050990293 + 0.12141113075975124* M,0.4912024020864678,0.758720200184484
28,Benzaldehyde_PTR,,2209,2209,0,0.0,,,
29,C8Aromatics_PTR,,670,670,0,0.0,,,
30,C9Aromatics_PTR,"19    x3_x4_EthylToluene_WAS
Name: tracer, dtype: object",[np.int64(670)],[np.int64(629)],[np.int64(41)],[np.float64(6.119402985074627)],y = 0.013271164518490171 + 2.4311263639612615* M,0.4631595964684672,0.7854831881991666
31,Naphthalene_PTR,,1696,1696,0,0.0,,,
32,Octanal_PTR,,702,702,0,0.0,,,
33,Monoterpenes_PTR,,702,702,0,0.0,,,
