,NOAA_Species_Name,UDAQ_Species_Name,Calibration_Equation,RMSE_Original,RMSE_Calibrated,RMSE_Improvement,,
0,ML_NoVar_0,nDodecane,,,,,,
1,Ethane_WAS,Ethane,Calibration equation: O_hat = -0.1756 + 0.9544 * M,0.569847837,0.494422034,13.23613041,,UDAQ > ML
2,Ethene_WAS,Ethylene,Calibration equation: O_hat = -0.1157 + 0.9818 * M,0.221796277,0.183156036,17.42150132,,
3,Propane_WAS,Propane,Calibration equation: O_hat = -0.1499 + 0.9890 * M,0.740057803,0.722157161,2.418816748,,
4,Propene_WAS,Propylene,Calibration equation: O_hat = -0.0859 + 1.1352 * M,0.102030157,0.079215369,22.3608285,,
5,Ethyne_WAS,Acetylene,Calibration equation: O_hat = 0.0589 + 0.9730 * M,0.15101388,0.141052023,6.596649784,,
6,nButane_WAS,nButane,Calibration equation: O_hat = -0.2141 + 1.2997 * M,0.391716157,0.35911175,8.32347773,,
7,iButane_WAS,Isobutane,Calibration equation: O_hat = 0.0099 + 0.8993 * M,0.218731138,0.216338118,1.094046071,,
8,t2Butene_WAS,trans2Butene,Calibration equation: O_hat = 0.0070 + 0.5066 * M,0.020523694,0.017656915,13.96814467,,
9,c2Butene_WAS,cis2Butene,Calibration equation: O_hat = 0.0033 + 1.6364 * M,0.016172485,0.012639008,21.84869678,,
10,x13_Butadiene_WAS,buta13diene,Calibration equation: O_hat = 0.0073 + 0.0226 * M,0.064480107,0.012185835,81.10140452,,
11,nPentane_WAS,nPentane,Calibration equation: O_hat = -0.1903 + 1.1797 * M,0.307159644,0.2783704,9.372729734,,
12,iPentane_WAS,Isopentane,Calibration equation: O_hat = -0.3099 + 1.2347 * M,0.495738424,0.450140112,9.198059003,,
13,x1_Pentene_WAS,Pent1ene,Calibration equation: O_hat = -0.0183 + 0.8547 * M,0.028272173,0.013933154,50.7177822,,
14,t2Pentene_WAS,trans2Pentene,Calibration equation: O_hat = 0.0012 + 0.6035 * M,0.026623413,0.021890826,17.77603248,,
15,c2Pentene_WAS,cis2Pentene,Calibration equation: O_hat = 0.0052 + 0.6511 * M,0.016949141,0.016014802,5.512603694,,
16,x3_MethylPentane_WAS,x3_Methylpentane,Calibration equation: O_hat = -0.0195 + 0.9217 * M,0.050787721,0.042460033,16.39704857,,
17,nHexane_WAS,nHexane,Calibration equation: O_hat = -0.0148 + 0.9131 * M,0.07809072,0.071702666,8.180298612,,
18,nHeptane_WAS,nHeptane,Calibration equation: O_hat = -0.0013 + 1.0245 * M,0.034814079,0.034775924,0.109595976,,
19,nOctane_WAS,nOctane,Calibration equation: O_hat = 0.0033 + 1.5618 * M,0.028887413,0.019243464,33.38460409,,
20,nNonane_WAS,nNonane,Calibration equation: O_hat = 0.0133 + 0.2170 * M,0.01824116,0.010230827,43.91350692,,
21,nDecane_WAS,nDecane,Calibration equation: O_hat = 0.0176 + 0.0779 * M,0.035917236,0.013805396,61.56331164,,
22,CycloPentane_WAS,Cyclopentane,Calibration equation: O_hat = 0.0009 + 0.9909 * M,0.021775497,0.02176341,0.055504038,,
23,Isoprene_WAS,Isoprene,Calibration equation: O_hat = 0.0177 + 0.7647 * M,0.196544514,0.161576824,17.79123172,,
24,x22_DiMethylButane_WAS,x22_Dimethylbutane,Calibration equation: O_hat = 0.0047 + 0.8655 * M,0.016074137,0.015567782,3.150124408,,
25,ML_NoVar_25,Hex1ene,,,,,,
26,ML_NoVar_26,x24_Dimethylpentane,,,,,,
27,ML_NoVar_27,Cyclohexane,,,,,,
28,ML_NoVar_28,x3_Methylhexane,,,,,,
29,x224_TriMethylPentane_WAS,x224_Trimethylpentane,Calibration equation: O_hat = 0.0191 + 0.7070 * M,0.057547724,0.04861988,15.51380897,,
30,ML_NoVar_30,x234_Trimethylpentane,,,,,,
31,ML_NoVar_31,x3_Methylheptane,,,,,,
32,MethylCycloHexane_WAS,Methylcyclohexane,Calibration equation: O_hat = 0.0091 + 1.4545 * M,0.035396023,0.022419168,36.6619017,,
33,MethylCycloPentane_WAS,Methylcyclopentane,Calibration equation: O_hat = 0.0153 + 0.7090 * M,0.047531165,0.042132707,11.35772258,,
34,ML_NoVar_34,x2_Methylhexane,,,,,,
35,x1_Butene_WAS,But1ene,Calibration equation: O_hat = -0.0245 + 1.1922 * M,0.022723954,0.014727494,35.18956384,,
36,ML_NoVar_36,x23_Dimethylbutane,,,,,,
37,x2_MethylPentane_WAS,x2_Methylpentane,Calibration equation: O_hat = -0.0178 + 0.6228 * M,0.10646163,0.049197517,53.7884993,,
38,ML_NoVar_38,x23_Dimethylpentane,,,,,,
39,HCHO_CRDS,Formaldehyde,Calibration equation: O_hat = -0.1498 + 1.0271 * M,0.244430851,0.228334274,6.585329179,,
40,ML_NoVar_40,nUndecane,,,,,,
41,ML_NoVar_41,x2_Methylheptane,,,,,,
42,m_p_Xylene_WAS,mpXylene,Calibration equation: O_hat = 0.0201 + 0.3741 * M,0.104504867,0.042484164,59.34719141,,
43,Benzene_PTR,Benzene,Calibration equation: O_hat = 0.0300 + 0.8961 * M,0.175032221,0.174089877,0.538383154,,
44,Toluene_PTR,Toluene,Calibration equation: O_hat = 0.0527 + 0.6045 * M,0.290482179,0.220075406,24.23789747,,
45,Ethyl_WAS,Ethylbenzene,Calibration equation: O_hat = 0.0059 + 0.5437 * M,0.020065589,0.0148157,26.16364496,,
46,o_Xylene_WAS,oXylene,Calibration equation: O_hat = 0.0068 + 0.4730 * M,0.030613834,0.018960259,38.06637023,,
47,x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,Calibration equation: O_hat = 0.0098 + 0.1419 * M,0.012032892,0.007128825,40.75550896,,
48,x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,Calibration equation: O_hat = 0.0031 + 0.4298 * M,0.022420801,0.010657243,52.46716005,,
49,nPropylBenzene_WAS,nPropylbenzene,Calibration equation: O_hat = 0.0040 + 0.0849 * M,0.008001401,0.003536452,55.80208795,,
50,iPropylBenzene_WAS,Isopropylbenzene,Calibration equation: O_hat = 0.0021 + -0.0038 * M,0.003832627,0.001644803,57.08419613,,
51,x2_EthylToluene_WAS,oEthyltoluene,Calibration equation: O_hat = 0.0032 + 0.0878 * M,0.013292314,0.002862243,78.46693151,,
52,x3_x4_EthylToluene_WAS,mpEthyltoluene,Calibration equation: O_hat = 0.0070 + 0.2759 * M,0.030454339,0.009617119,68.42118794,,
53,ML_NoVar_54,mDiethylbenzene,,,,,,
54,ML_NoVar_55,pDiethylbenzene,,,,,,
55,Styrene_PTR,Styrene,,,,,,
56,x123_TriMethylBenzene_WAS,x123_Trimethylbenzene,Calibration equation: O_hat = 0.0031 + 0.0258 * M,0.010235063,0.002559854,74.98936839,,
