ML_VOC_Name,UDAQ_VOC_Name,Slope_tracer_model_fit,Intercept_tracer_model_fit,Rsquared_tracer_model_fit,InputFields_placeholder
ML_NoVar_0,nDodecane,,,,
Ethane_WAS,Ethane,-0.6930183172939134,0.013753317978339542,0.4803208218769369,
Ethene_WAS,Ethylene,-0.0223885800864897,0.0020774211310765,0.2973812347506512,
Propane_WAS,Propane,-0.0651899987745977,0.0047054594508555,0.1424212910220897,
Propene_WAS,Propylene,-0.0153918899494834,0.0006600659592141,0.1746795834790677,
Ethyne_WAS,Acetylene,0.0369277902669393,0.0010259579874037,0.3194672142375885,
nButane_WAS,nButane,-0.0626034635171814,0.0027989380251308,0.1247698400621327,
iButane_WAS,Isobutane,-0.0242616765906811,0.0012974906110698,0.159925320825193,
t2Butene_WAS,trans2Butene,0.0069954247111386,2.4020060376931902e-05,0.020854790059045,
c2Butene_WAS,cis2Butene,0.0040852491903381,4.339020348923816e-05,0.0419891973646705,
x13_Butadiene_WAS,buta13diene,0.002712940673475,3.0469718197903614e-05,0.1341787071384526,
nPentane_WAS,nPentane,-0.0580681787447682,0.0020477464684815,0.1296388807665649,
iPentane_WAS,Isopentane,-0.0934870239327078,0.0030826171816551,0.1239712314894269,
x1_Pentene_WAS,Pent1ene,0.0048464844346937,6.992428259067329e-05,0.1280881646150639,
t2Pentene_WAS,trans2Pentene,0.0108896741980843,5.597256006456578e-05,0.053029306892506,
c2Pentene_WAS,cis2Pentene,0.007739913067148,4.069645807060602e-05,0.0579452507950759,
x3_MethylPentane_WAS,x3_Methylpentane,-0.002277387612134,0.0003850816415087,0.2041677023330197,
nHexane_WAS,nHexane,-0.0066153279102302,0.0006970864029031,0.1851012222371131,
nHeptane_WAS,nHeptane,-0.0094528173963641,0.0003429769582403,0.1709856092587375,
nOctane_WAS,nOctane,-0.0093021860501759,0.0002159728734169,0.1504860334183859,
nNonane_WAS,nNonane,0.0013243506000383,0.0001116882267553,0.1246753632446444,
nDecane_WAS,nDecane,0.0042379076301288,0.0001133122368591,0.1929709877958311,
CycloPentane_WAS,Cyclopentane,-0.0038573427322446,0.0001534479293947,0.1757030170193375,
Isoprene_WAS,Isoprene,0.1900878354438814,0.0004137588340311,0.0124643854808016,
x22_DiMethylButane_WAS,x22_Dimethylbutane,0.0004006292758778,7.297078972672016e-05,0.1479764560608562,
ML_NoVar_25,Hex1ene,0.0174747382619673,1.8719441710903268e-05,0.0541710771342655,
ML_NoVar_26,x24_Dimethylpentane,-0.0019252854915925,0.000155500882906,0.1675325430535158,
ML_NoVar_27,Cyclohexane,-0.0164114916251498,0.0001858297548676,0.1341947557588113,
ML_NoVar_28,x3_Methylhexane,0.0094852678321484,0.0002426697104532,0.1685205982149412,
x224_TriMethylPentane_WAS,x224_Trimethylpentane,0.0064035275033033,0.0003858571245018,0.1997268889520491,
ML_NoVar_30,x234_Trimethylpentane,0.0104086486526491,0.0001015221394729,0.1327788374071932,
ML_NoVar_31,x3_Methylheptane,0.0365120966367835,6.571847251882353e-05,0.0105452526971491,
MethylCycloHexane_WAS,Methylcyclohexane,-0.0190863563921209,0.0003003740586941,0.1020417134453524,
MethylCycloPentane_WAS,Methylcyclopentane,0.0028879523317859,0.0002981490022951,0.1924416672459566,
ML_NoVar_34,x2_Methylhexane,0.0073651319550965,0.0001957529275128,0.1545064515145084,
x1_Butene_WAS,But1ene,0.0014646687907598,0.000108019278393,0.1830947734450825,
ML_NoVar_36,x23_Dimethylbutane,0.0126537046281364,0.0001815928889534,0.1934519292586939,
x2_MethylPentane_WAS,x2_Methylpentane,0.0010703832663422,0.0004414972474792,0.1981610636933393,
ML_NoVar_38,x23_Dimethylpentane,0.0067402131364475,0.0002150832307087,0.163428586858747,
ML_NoVar_40,nUndecane,0.0060330768674534,-2.5216640198683112e-06,0.0009633107615676,
ML_NoVar_41,x2_Methylheptane,,,,
m_p_Xylene_WAS,mpXylene,0.0273838648382266,0.0004153553303741,0.1487636599519387,
Benzene_PTR,Benzene,-0.0879915510794938,0.0012729793854122,0.2980819818672944,
Toluene_PTR,Toluene,-0.1432924861686793,0.0024131497686439,0.3359334280456464,
Ethyl_WAS,Ethylbenzene,0.0046674653546112,0.0001653067641841,0.160013963470943,
o_Xylene_WAS,oXylene,0.0072701515514287,0.0001891367948982,0.153727679498986,
x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,0.0030870456285478,6.325769218356746e-05,0.1546494532833516,
x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,0.002421817596431,0.000133879174206,0.1331894462759701,
nPropylBenzene_WAS,nPropylbenzene,-5.907160111790277e-05,3.916171614917722e-05,0.1548642011956061,
iPropylBenzene_WAS,Isopropylbenzene,0.0003260572644375,1.6151476068550814e-05,0.1239092589725772,
x2_EthylToluene_WAS,oEthyltoluene,-0.0003166395048108,3.564399889209712e-05,0.1510260107272562,
x3_x4_EthylToluene_WAS,mpEthyltoluene,0.0007705043388872,0.0001263368587224,0.1587865560234292,
ML_NoVar_54,mDiethylbenzene,,,,
