,NOAA_Species_Name,UDAQ_Species_Name,Calibration_Equation,RMSE_Original,RMSE_Calibrated,RMSE_Improvement
0,ML_NoVar_0,nDodecane,,,,
1,Ethane_WAS,Ethane,Calibration equation: O_hat = -0.3290 + 1.0237 * M,0.5698478365221639,0.5032151807274235,11.693061116350957
2,Ethene_WAS,Ethylene,Calibration equation: O_hat = -0.1852 + 1.1189 * M,0.22179627711839076,0.18973142945881386,14.456891736943483
3,Propane_WAS,Propane,Calibration equation: O_hat = -0.3636 + 1.1943 * M,0.7400578033875056,0.7616469745470598,-2.917227689611935
4,Propene_WAS,Propylene,Calibration equation: O_hat = -0.1273 + 1.3716 * M,0.10203015691691007,0.08408682309004645,17.586304254609814
5,Ethyne_WAS,Acetylene,Calibration equation: O_hat = -0.0415 + 1.5085 * M,0.1510138801795409,0.16250781080205443,-7.611174952162248
6,nButane_WAS,nButane,Calibration equation: O_hat = -0.3622 + 1.5803 * M,0.39171615747203475,0.38429260145550437,1.8951365357096268
7,iButane_WAS,Isobutane,Calibration equation: O_hat = -0.0738 + 1.2389 * M,0.21873113777786857,0.23688966721228777,-8.301757865338777
8,t2Butene_WAS,trans2Butene,Calibration equation: O_hat = 0.0025 + 0.9901 * M,0.020523694328616192,0.020276770357980436,1.2031165865273545
9,c2Butene_WAS,cis2Butene,Calibration equation: O_hat = -0.0001 + 2.2183 * M,0.016172484803080894,0.014292366049513611,11.625416727608343
10,x13_Butadiene_WAS,buta13diene,Calibration equation: O_hat = 0.0070 + 0.0266 * M,0.06448010719963514,0.012186472881534575,81.10041466928031
11,nPentane_WAS,nPentane,Calibration equation: O_hat = -0.3186 + 1.4688 * M,0.3071596437201268,0.2992136757226374,2.586917962676587
12,iPentane_WAS,Isopentane,Calibration equation: O_hat = -0.5206 + 1.5590 * M,0.4957384244731112,0.4874976820910316,1.6623166523430524
13,x1_Pentene_WAS,Pent1ene,Calibration equation: O_hat = -0.0332 + 1.2058 * M,0.028272173060895987,0.01531671444195538,45.82406379246332
14,t2Pentene_WAS,trans2Pentene,Calibration equation: O_hat = -0.0157 + 1.1292 * M,0.026623412990562555,0.025462880165066544,4.359068560846783
15,c2Pentene_WAS,cis2Pentene,Calibration equation: O_hat = -0.0061 + 1.3912 * M,0.01694914070512726,0.019875006999386508,-17.2626231923023
16,x3_MethylPentane_WAS,x3_Methylpentane,Calibration equation: O_hat = -0.0362 + 1.0909 * M,0.050787720649851355,0.044371698559166575,12.633018392219494
17,nHexane_WAS,nHexane,Calibration equation: O_hat = -0.0355 + 1.0462 * M,0.078090720189825,0.07421118721223997,4.967982070282563
18,nHeptane_WAS,nHeptane,Calibration equation: O_hat = -0.0094 + 1.1709 * M,0.034814078580412085,0.03610531815266091,-3.708958056340264
19,nOctane_WAS,nOctane,Calibration equation: O_hat = -0.0005 + 1.7617 * M,0.02888741268808833,0.02012609051118544,30.329203489087842
20,nNonane_WAS,nNonane,Calibration equation: O_hat = 0.0124 + 0.3193 * M,0.018241159519952112,0.010385959767825246,43.06305058916281
21,nDecane_WAS,nDecane,Calibration equation: O_hat = 0.0174 + 0.0916 * M,0.0359172358923448,0.013814029285132064,61.53927510864969
22,CycloPentane_WAS,Cyclopentane,Calibration equation: O_hat = -0.0058 + 1.2528 * M,0.021775496623751413,0.02330193421545575,-7.009886470462353
23,Isoprene_WAS,Isoprene,Calibration equation: O_hat = -0.0097 + 0.8478 * M,0.19654451359854355,0.1649955438691404,16.051819077404634
24,x22_DiMethylButane_WAS,x22_Dimethylbutane,Calibration equation: O_hat = 0.0000 + 1.2435 * M,0.016074136863046398,0.017239978157327182,-7.252901379488643
25,ML_NoVar_25,Hex1ene,,,,
26,ML_NoVar_26,x24_Dimethylpentane,,,,
27,ML_NoVar_27,Cyclohexane,,,,
28,ML_NoVar_28,x3_Methylhexane,,,,
29,x224_TriMethylPentane_WAS,x224_Trimethylpentane,Calibration equation: O_hat = 0.0089 + 0.8235 * M,0.05754772415548609,0.05007183924006144,12.990756845962888
30,ML_NoVar_30,x234_Trimethylpentane,,,,
31,ML_NoVar_31,x3_Methylheptane,,,,
32,MethylCycloHexane_WAS,Methylcyclohexane,Calibration equation: O_hat = 0.0067 + 1.5734 * M,0.035396022562125526,0.023047671838252064,34.886266393915264
33,MethylCycloPentane_WAS,Methylcyclopentane,Calibration equation: O_hat = 0.0046 + 0.8803 * M,0.047531165295119006,0.044045098567594906,7.334275744933367
34,ML_NoVar_34,x2_Methylhexane,,,,
35,x1_Butene_WAS,But1ene,Calibration equation: O_hat = -0.0385 + 1.5511 * M,0.022723953862135004,0.016102263909265085,29.13969106363863
36,ML_NoVar_36,x23_Dimethylbutane,,,,
37,x2_MethylPentane_WAS,x2_Methylpentane,Calibration equation: O_hat = -0.0290 + 0.6903 * M,0.10646163008294794,0.04999270209713157,53.04157746017929
38,ML_NoVar_38,x23_Dimethylpentane,,,,
39,HCHO_CRDS,Formaldehyde,Calibration equation: O_hat = -0.1990 + 1.0465 * M,0.24443085058199593,0.22945286618810912,6.1276980210247025
40,ML_NoVar_40,nUndecane,,,,
41,ML_NoVar_41,x2_Methylheptane,,,,
42,m_p_Xylene_WAS,mpXylene,Calibration equation: O_hat = 0.0070 + 0.4587 * M,0.10450486732304537,0.043182318510754034,58.679131779318105
43,Benzene_PTR,Benzene,Calibration equation: O_hat = -0.2646 + 2.8120 * M,0.17515964903739828,0.2752185908717495,-57.124424708676855
44,Toluene_PTR,Toluene,Calibration equation: O_hat = -0.0575 + 0.8526 * M,0.2803929405769558,0.23004445247655086,17.956403608737233
45,Ethyl_WAS,Ethylbenzene,Calibration equation: O_hat = -0.0034 + 0.8207 * M,0.02006558900313377,0.015937603383106312,20.572461737269528
