time_local,Mobile Lab O3,time_UTC
2024-07-15 00:00:00,,2024-07-15 06:00:00
2024-07-15 01:00:00,,2024-07-15 07:00:00
2024-07-15 02:00:00,,2024-07-15 08:00:00
2024-07-15 03:00:00,,2024-07-15 09:00:00
2024-07-15 04:00:00,,2024-07-15 10:00:00
2024-07-15 05:00:00,,2024-07-15 11:00:00
2024-07-15 06:00:00,,2024-07-15 12:00:00
2024-07-15 07:00:00,,2024-07-15 13:00:00
2024-07-15 08:00:00,,2024-07-15 14:00:00
2024-07-15 09:00:00,,2024-07-15 15:00:00
2024-07-15 10:00:00,,2024-07-15 16:00:00
2024-07-15 11:00:00,,2024-07-15 17:00:00
2024-07-15 12:00:00,,2024-07-15 18:00:00
2024-07-15 13:00:00,,2024-07-15 19:00:00
2024-07-15 14:00:00,,2024-07-15 20:00:00
2024-07-15 15:00:00,,2024-07-15 21:00:00
2024-07-15 16:00:00,,2024-07-15 22:00:00
2024-07-15 17:00:00,,2024-07-15 23:00:00
2024-07-15 18:00:00,,2024-07-16 00:00:00
2024-07-15 19:00:00,,2024-07-16 01:00:00
2024-07-15 20:00:00,,2024-07-16 02:00:00
2024-07-15 21:00:00,,2024-07-16 03:00:00
2024-07-15 22:00:00,,2024-07-16 04:00:00
2024-07-15 23:00:00,,2024-07-16 05:00:00
2024-07-16 00:00:00,,2024-07-16 06:00:00
2024-07-16 01:00:00,,2024-07-16 07:00:00
2024-07-16 02:00:00,,2024-07-16 08:00:00
2024-07-16 03:00:00,,2024-07-16 09:00:00
2024-07-16 04:00:00,,2024-07-16 10:00:00
2024-07-16 05:00:00,,2024-07-16 11:00:00
2024-07-16 06:00:00,,2024-07-16 12:00:00
2024-07-16 07:00:00,,2024-07-16 13:00:00
2024-07-16 08:00:00,,2024-07-16 14:00:00
2024-07-16 09:00:00,,2024-07-16 15:00:00
2024-07-16 10:00:00,60.56880239196551,2024-07-16 16:00:00
2024-07-16 11:00:00,66.72671108305514,2024-07-16 17:00:00
2024-07-16 12:00:00,75.76636111111111,2024-07-16 18:00:00
2024-07-16 13:00:00,83.4276388888889,2024-07-16 19:00:00
2024-07-16 14:00:00,76.63572222222223,2024-07-16 20:00:00
2024-07-16 15:00:00,71.46733333333333,2024-07-16 21:00:00
2024-07-16 16:00:00,68.03025,2024-07-16 22:00:00
2024-07-16 17:00:00,69.59672222222223,2024-07-16 23:00:00
2024-07-16 18:00:00,68.4271727490666,2024-07-17 00:00:00
2024-07-16 19:00:00,65.53444444444445,2024-07-17 01:00:00
2024-07-16 20:00:00,56.76380555555556,2024-07-17 02:00:00
2024-07-16 21:00:00,52.45275,2024-07-17 03:00:00
2024-07-16 22:00:00,54.69336111111111,2024-07-17 04:00:00
2024-07-16 23:00:00,57.631527777777784,2024-07-17 05:00:00
2024-07-17 00:00:00,58.24055555555556,2024-07-17 06:00:00
2024-07-17 01:00:00,58.17444444444445,2024-07-17 07:00:00
2024-07-17 02:00:00,54.11547222222222,2024-07-17 08:00:00
2024-07-17 03:00:00,53.57275,2024-07-17 09:00:00
2024-07-17 04:00:00,52.097166666666666,2024-07-17 10:00:00
2024-07-17 05:00:00,52.72408333333333,2024-07-17 11:00:00
2024-07-17 06:00:00,52.491305555555556,2024-07-17 12:00:00
2024-07-17 07:00:00,50.946416666666664,2024-07-17 13:00:00
2024-07-17 08:00:00,49.17733333333333,2024-07-17 14:00:00
2024-07-17 09:00:00,51.08129823511428,2024-07-17 15:00:00
2024-07-17 10:00:00,53.86847409312192,2024-07-17 16:00:00
2024-07-17 11:00:00,58.75180555555555,2024-07-17 17:00:00
2024-07-17 12:00:00,69.31147222222222,2024-07-17 18:00:00
2024-07-17 13:00:00,74.30566666666667,2024-07-17 19:00:00
2024-07-17 14:00:00,77.10686111111112,2024-07-17 20:00:00
2024-07-17 15:00:00,80.366508361787,2024-07-17 21:00:00
2024-07-17 16:00:00,82.10088087999563,2024-07-17 22:00:00
2024-07-17 17:00:00,81.12069444444445,2024-07-17 23:00:00
2024-07-17 18:00:00,82.89663777424003,2024-07-18 00:00:00
2024-07-17 19:00:00,77.403,2024-07-18 01:00:00
2024-07-17 20:00:00,68.8155,2024-07-18 02:00:00
2024-07-17 21:00:00,60.128416666666666,2024-07-18 03:00:00
2024-07-17 22:00:00,59.98225,2024-07-18 04:00:00
2024-07-17 23:00:00,56.983222222222224,2024-07-18 05:00:00
2024-07-18 00:00:00,61.150277777777774,2024-07-18 06:00:00
2024-07-18 01:00:00,59.95633333333333,2024-07-18 07:00:00
2024-07-18 02:00:00,57.236361111111115,2024-07-18 08:00:00
2024-07-18 03:00:00,56.44438888888889,2024-07-18 09:00:00
2024-07-18 04:00:00,55.80111111111111,2024-07-18 10:00:00
2024-07-18 05:00:00,53.049166666666665,2024-07-18 11:00:00
2024-07-18 06:00:00,42.35819444444444,2024-07-18 12:00:00
2024-07-18 07:00:00,40.40302777777778,2024-07-18 13:00:00
2024-07-18 08:00:00,42.596944444444446,2024-07-18 14:00:00
2024-07-18 09:00:00,44.36258333333333,2024-07-18 15:00:00
2024-07-18 10:00:00,53.63858945723658,2024-07-18 16:00:00
2024-07-18 11:00:00,64.41234681438034,2024-07-18 17:00:00
2024-07-18 12:00:00,75.06847645189809,2024-07-18 18:00:00
2024-07-18 13:00:00,78.9101571778112,2024-07-18 19:00:00
2024-07-18 14:00:00,,2024-07-18 20:00:00
2024-07-18 15:00:00,,2024-07-18 21:00:00
2024-07-18 16:00:00,,2024-07-18 22:00:00
2024-07-18 17:00:00,,2024-07-18 23:00:00
2024-07-18 18:00:00,59.00098642805069,2024-07-19 00:00:00
2024-07-18 19:00:00,57.1780873965057,2024-07-19 01:00:00
2024-07-18 20:00:00,54.80766666666667,2024-07-19 02:00:00
2024-07-18 21:00:00,52.73330555555556,2024-07-19 03:00:00
2024-07-18 22:00:00,46.244055555555555,2024-07-19 04:00:00
2024-07-18 23:00:00,48.667611111111114,2024-07-19 05:00:00
2024-07-19 00:00:00,53.52558333333333,2024-07-19 06:00:00
2024-07-19 01:00:00,52.69605555555555,2024-07-19 07:00:00
2024-07-19 02:00:00,49.575611111111115,2024-07-19 08:00:00
2024-07-19 03:00:00,43.888416666666664,2024-07-19 09:00:00
2024-07-19 04:00:00,40.840555555555554,2024-07-19 10:00:00
2024-07-19 05:00:00,39.775416666666665,2024-07-19 11:00:00
2024-07-19 06:00:00,38.47313888888889,2024-07-19 12:00:00
2024-07-19 07:00:00,36.367305555555554,2024-07-19 13:00:00
2024-07-19 08:00:00,29.874833333333335,2024-07-19 14:00:00
2024-07-19 09:00:00,39.10838888888888,2024-07-19 15:00:00
2024-07-19 10:00:00,49.81975,2024-07-19 16:00:00
2024-07-19 11:00:00,57.43230555555556,2024-07-19 17:00:00
2024-07-19 12:00:00,61.508,2024-07-19 18:00:00
2024-07-19 13:00:00,74.08055624954389,2024-07-19 19:00:00
2024-07-19 14:00:00,77.49402214739442,2024-07-19 20:00:00
2024-07-19 15:00:00,75.49675,2024-07-19 21:00:00
2024-07-19 16:00:00,70.56297222222223,2024-07-19 22:00:00
2024-07-19 17:00:00,66.07033333333332,2024-07-19 23:00:00
2024-07-19 18:00:00,65.27153833660877,2024-07-20 00:00:00
2024-07-19 19:00:00,63.30188888888889,2024-07-20 01:00:00
2024-07-19 20:00:00,59.60358333333333,2024-07-20 02:00:00
2024-07-19 21:00:00,51.838388888888886,2024-07-20 03:00:00
2024-07-19 22:00:00,50.60352777777778,2024-07-20 04:00:00
2024-07-19 23:00:00,49.99019444444445,2024-07-20 05:00:00
2024-07-20 00:00:00,50.16858333333334,2024-07-20 06:00:00
2024-07-20 01:00:00,50.088388888888886,2024-07-20 07:00:00
2024-07-20 02:00:00,48.24388888888889,2024-07-20 08:00:00
2024-07-20 03:00:00,45.111694444444446,2024-07-20 09:00:00
2024-07-20 04:00:00,42.72497222222223,2024-07-20 10:00:00
2024-07-20 05:00:00,43.678555555555555,2024-07-20 11:00:00
2024-07-20 06:00:00,39.40455555555556,2024-07-20 12:00:00
2024-07-20 07:00:00,37.29819444444445,2024-07-20 13:00:00
2024-07-20 08:00:00,36.849333333333334,2024-07-20 14:00:00
2024-07-20 09:00:00,43.86236111111111,2024-07-20 15:00:00
2024-07-20 10:00:00,45.50491666666667,2024-07-20 16:00:00
