,Br2_CIMS,BrO_CIMS,Cl2_CIMS,ClNO2_CIMS,BrCl_CIMS,NO_LIF,NO2_LIF,N2O5_CIMS,HNO3_CIMS,Methanol_PTR,Acetonitrile_PTR,Acetaldehyde_PTR,Ethanol_PTR,Acrolein_PTR,DMS_PTR,Isoprene_PTR,MVK_MACR_PTR,Benzene_PTR,Toluene_PTR,Styrene_PTR,Monoterpenes_PTR,PAN_CIMS,PPN_CIMS,HCOOH_CIMS,HONO_CIMS,O3_ppbv,Temp_K,Pressure_mb,WindSpd_ms,jNO2_meas,CH4_Piccaro,CO_Piccaro,HCHO_CRDS,H2O_CRDS,CH4_CRDS,RH_percent
2024-07-14,12.0,12.0,12.0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,6.0,6.0,12.0,12.0,12.0,12.0
2024-07-15,18.0,16.0,16.0,16.0,16.0,0.0,0.0,17.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,24.0,24.0,16.0,18.0,48.0,35.0,35.0,35.0,4.0,0.0,0.0,48.0,48.0,48.0,35.0
2024-07-16,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-17,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-18,11.0,16.0,11.0,11.0,12.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,35.0,35.0,12.0,11.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,48.0,48.0,48.0,9.0
2024-07-19,8.0,14.0,8.0,8.0,8.0,1.0,0.0,11.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,31.0,31.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-20,2.0,8.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-21,12.0,20.0,12.0,12.0,12.0,0.0,0.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-22,15.0,16.0,15.0,15.0,15.0,13.0,13.0,26.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,37.0,37.0,15.0,15.0,13.0,13.0,13.0,13.0,12.0,0.0,0.0,48.0,48.0,48.0,13.0
2024-07-23,13.0,21.0,12.0,12.0,13.0,22.0,22.0,25.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,35.0,35.0,12.0,12.0,9.0,9.0,9.0,9.0,22.0,9.0,9.0,48.0,48.0,48.0,9.0
2024-07-24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-26,13.0,16.0,13.0,12.0,12.0,11.0,11.0,24.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,36.0,36.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,48.0,48.0,48.0,11.0
2024-07-27,0.0,10.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,48.0,48.0,0.0
2024-07-28,15.0,14.0,12.0,12.0,13.0,10.0,10.0,24.0,13.0,11.0,11.0,11.0,11.0,11.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,35.0,35.0,12.0,12.0,10.0,10.0,10.0,10.0,13.0,10.0,10.0,48.0,48.0,48.0,10.0
2024-07-29,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,46.0,46.0,0.0
